job_id,stimulus_id,task,condition,format,paraphrase_idx,audio_path,prompt,options,ground_truth,raw_response,parsed,correct,error,factors
key_id/A_major_progression_0::audio::mcq,key_id/A_major_progression_0,key_id,audio,mcq,2,stimuli/key/A_major_progression_0.wav,"Name the key of the passage you just heard.
A. E major
B. D major
C. F# minor
D. A major
Answer with the letter of the correct option only (A, B, C, or D). Do not explain.",E major|D major|F# minor|A major,A major,,,,,"{""form"": ""progression"", ""mode"": ""major"", ""program"": ""violin"", ""soundfont"": ""fluidr3"", ""tonic_pc"": 9}"
key_id/A_major_progression_1::audio::mcq,key_id/A_major_progression_1,key_id,audio,mcq,1,stimuli/key/A_major_progression_1.wav,"Listen to this clip and identify its musical key (e.g. D major, F# minor).
A. F# minor
B. E major
C. D major
D. A major
Answer with the letter of the correct option only (A, B, C, or D). Do not explain.",F# minor|E major|D major|A major,A major,C,D major,False,,"{""form"": ""progression"", ""mode"": ""major"", ""program"": ""piano"", ""soundfont"": ""musescore"", ""tonic_pc"": 9}"
key_id/A_major_progression_1::audio::explain,key_id/A_major_progression_1,key_id,audio,explain,0,stimuli/key/A_major_progression_1.wav,"What key is this music in?
First give your answer. Then explain exactly what you heard that supports it: name the specific notes/chords/beats and their approximate timestamps in seconds.",,A major,"The music is in the key of **C minor**.

Here is a breakdown of what I heard that supports this conclusion:

*   **0:00:** The piece begins with a **C minor chord** (notes C, Eb, and G). This chord immediately establishes the feeling of C minor as the tonic, or ""home"" key.
*   **0:01:** The second chord is a **D diminished chord** (notes D, F, and A). In the key of C minor, this is the ii° (supertonic) chord, which naturally leads away from the tonic.
*   **0:02:** The third chord is a **G major chord** (notes G, B-natural, and D). This is the most important clue. It functions as the V (dominant) chord. In a minor key, the dominant chord is often made major by raising the 7th note of the scale (in this case, changing Bb to B-natural) to create a strong ""leading tone"" that pulls the listener's ear back to the tonic.
*   **0:04:** The progression resolves back to the **C minor chord**. The powerful V to i (G major to C minor) cadence at the end provides a strong sense of finality and confirms C minor as the key.",,,,"{""form"": ""progression"", ""mode"": ""major"", ""program"": ""piano"", ""soundfont"": ""musescore"", ""tonic_pc"": 9}"
key_id/A_major_scale_0::audio::mcq,key_id/A_major_scale_0,key_id,audio,mcq,2,stimuli/key/A_major_scale_0.wav,"Name the key of the passage you just heard.
A. D major
B. A major
C. E major
D. F# minor
Answer with the letter of the correct option only (A, B, C, or D). Do not explain.",D major|A major|E major|F# minor,A major,A,D major,False,,"{""form"": ""scale"", ""mode"": ""major"", ""program"": ""piano"", ""soundfont"": ""fluidr3"", ""tonic_pc"": 9}"
key_id/A_major_scale_1::audio::mcq,key_id/A_major_scale_1,key_id,audio,mcq,2,stimuli/key/A_major_scale_1.wav,"Name the key of the passage you just heard.
A. A major
B. F# minor
C. D major
D. E major
Answer with the letter of the correct option only (A, B, C, or D). Do not explain.",A major|F# minor|D major|E major,A major,C,D major,False,,"{""form"": ""scale"", ""mode"": ""major"", ""program"": ""flute"", ""soundfont"": ""fluidr3"", ""tonic_pc"": 9}"
key_id/A_major_scale_1::audio::open,key_id/A_major_scale_1,key_id,audio,open,0,stimuli/key/A_major_scale_1.wav,"What key is this music in?
Give a short, direct answer.",,A major,C major.,C major.,False,,"{""form"": ""scale"", ""mode"": ""major"", ""program"": ""flute"", ""soundfont"": ""fluidr3"", ""tonic_pc"": 9}"
key_id/A_minor_progression_0::audio::mcq,key_id/A_minor_progression_0,key_id,audio,mcq,0,stimuli/key/A_minor_progression_0.wav,"What key is this music in?
A. D minor
B. C major
C. A minor
D. E minor
Answer with the letter of the correct option only (A, B, C, or D). Do not explain.",D minor|C major|A minor|E minor,A minor,C,A minor,True,,"{""form"": ""progression"", ""mode"": ""minor"", ""program"": ""piano"", ""soundfont"": ""fluidr3"", ""tonic_pc"": 9}"
key_id/A_minor_progression_1::audio::mcq,key_id/A_minor_progression_1,key_id,audio,mcq,0,stimuli/key/A_minor_progression_1.wav,"What key is this music in?
A. D minor
B. A minor
C. E minor
D. C major
Answer with the letter of the correct option only (A, B, C, or D). Do not explain.",D minor|A minor|E minor|C major,A minor,B,A minor,True,,"{""form"": ""progression"", ""mode"": ""minor"", ""program"": ""piano"", ""soundfont"": ""musescore"", ""tonic_pc"": 9}"
key_id/A_minor_scale_0::audio::mcq,key_id/A_minor_scale_0,key_id,audio,mcq,2,stimuli/key/A_minor_scale_0.wav,"Name the key of the passage you just heard.
A. C major
B. A minor
C. E minor
D. D minor
Answer with the letter of the correct option only (A, B, C, or D). Do not explain.",C major|A minor|E minor|D minor,A minor,A,C major,False,,"{""form"": ""scale"", ""mode"": ""minor"", ""program"": ""flute"", ""soundfont"": ""fluidr3"", ""tonic_pc"": 9}"
key_id/A_minor_scale_1::audio::mcq,key_id/A_minor_scale_1,key_id,audio,mcq,0,stimuli/key/A_minor_scale_1.wav,"What key is this music in?
A. A minor
B. C major
C. E minor
D. D minor
Answer with the letter of the correct option only (A, B, C, or D). Do not explain.",A minor|C major|E minor|D minor,A minor,B,C major,False,,"{""form"": ""scale"", ""mode"": ""minor"", ""program"": ""piano"", ""soundfont"": ""musescore"", ""tonic_pc"": 9}"
