job_id,stimulus_id,task,condition,format,paraphrase_idx,audio_path,prompt,options,ground_truth,raw_response,parsed,correct,error,factors
progression_id/12-bar-blues_54_1::audio::mcq,progression_id/12-bar-blues_54_1,progression_id,audio,mcq,2,stimuli/progressions/12-bar-blues_54_1.wav,"Identify the chord progression in this passage.
A. 12-bar-blues
B. I-IV-V-I
C. ii-V-I
D. I-V-vi-IV
Answer with the letter of the correct option only (A, B, C, or D). Do not explain.",12-bar-blues|I-IV-V-I|ii-V-I|I-V-vi-IV,12-bar-blues,D,I-V-vi-IV,False,,"{""program"": ""flute"", ""progression"": ""12-bar-blues"", ""soundfont"": ""fluidr3"", ""tonic"": 54}"
progression_id/12-bar-blues_54_1::audio::open,progression_id/12-bar-blues_54_1,progression_id,audio,open,1,stimuli/progressions/12-bar-blues_54_1.wav,"Listen to the harmony. What progression is being played?
Give a short, direct answer.",,12-bar-blues,G minor – E-flat major – C minor – G minor,G minor – E-flat major – C minor – G minor,False,,"{""program"": ""flute"", ""progression"": ""12-bar-blues"", ""soundfont"": ""fluidr3"", ""tonic"": 54}"
progression_id/12-bar-blues_54_1::audio::explain,progression_id/12-bar-blues_54_1,progression_id,audio,explain,0,stimuli/progressions/12-bar-blues_54_1.wav,"Which chord progression does this clip follow?
First give your answer. Then explain exactly what you heard that supports it: name the specific notes/chords/beats and their approximate timestamps in seconds.",,12-bar-blues,"The chord progression is **i – V – iv – V** in the key of C minor.

**Explanation:**

The audio consists of a four-chord progression played on a synth pad, with each chord lasting for two beats (approximately 2 seconds each).

*   **00:00 - 00:02:** The first chord is a **C minor (i)**. The root note is C, and the chord is built on the notes C, E-flat, and G.
*   **00:02 - 00:04:** The progression moves to a **G major (V)**. The root note is G, and the chord is built on the notes G, B, and D.
*   **00:04 - 00:06:** The next chord is an **F minor (iv)**. The root note is F, and the chord is built on the notes F, A-flat, and C.
*   **00:06 - 00:08:** The progression resolves to a **G major (V)** again, creating a cadential feel.",,,,"{""program"": ""flute"", ""progression"": ""12-bar-blues"", ""soundfont"": ""fluidr3"", ""tonic"": 54}"
progression_id/12-bar-blues_54_4::audio::mcq,progression_id/12-bar-blues_54_4,progression_id,audio,mcq,0,stimuli/progressions/12-bar-blues_54_4.wav,"Which chord progression does this clip follow?
A. I-IV-V-I
B. I-V-vi-IV
C. 12-bar-blues
D. ii-V-I
Answer with the letter of the correct option only (A, B, C, or D). Do not explain.",I-IV-V-I|I-V-vi-IV|12-bar-blues|ii-V-I,12-bar-blues,D,ii-V-I,False,,"{""program"": ""violin"", ""progression"": ""12-bar-blues"", ""soundfont"": ""musescore"", ""tonic"": 54}"
progression_id/12-bar-blues_54_4::audio::open,progression_id/12-bar-blues_54_4,progression_id,audio,open,1,stimuli/progressions/12-bar-blues_54_4.wav,"Listen to the harmony. What progression is being played?
Give a short, direct answer.",,12-bar-blues,G minor - E-flat major - C minor - F minor,G minor - E-flat major - C minor - F minor,False,,"{""program"": ""violin"", ""progression"": ""12-bar-blues"", ""soundfont"": ""musescore"", ""tonic"": 54}"
progression_id/12-bar-blues_54_7::audio::mcq,progression_id/12-bar-blues_54_7,progression_id,audio,mcq,0,stimuli/progressions/12-bar-blues_54_7.wav,"Which chord progression does this clip follow?
A. I-V-vi-IV
B. 12-bar-blues
C. I-IV-V-I
D. ii-V-I
Answer with the letter of the correct option only (A, B, C, or D). Do not explain.",I-V-vi-IV|12-bar-blues|I-IV-V-I|ii-V-I,12-bar-blues,A,I-V-vi-IV,False,,"{""program"": ""piano"", ""progression"": ""12-bar-blues"", ""soundfont"": ""musescore"", ""tonic"": 54}"
progression_id/12-bar-blues_56_5::audio::mcq,progression_id/12-bar-blues_56_5,progression_id,audio,mcq,0,stimuli/progressions/12-bar-blues_56_5.wav,"Which chord progression does this clip follow?
A. I-V-vi-IV
B. ii-V-I
C. I-IV-V-I
D. 12-bar-blues
Answer with the letter of the correct option only (A, B, C, or D). Do not explain.",I-V-vi-IV|ii-V-I|I-IV-V-I|12-bar-blues,12-bar-blues,A,I-V-vi-IV,False,,"{""program"": ""flute"", ""progression"": ""12-bar-blues"", ""soundfont"": ""fluidr3"", ""tonic"": 56}"
progression_id/12-bar-blues_56_5::audio::open,progression_id/12-bar-blues_56_5,progression_id,audio,open,0,stimuli/progressions/12-bar-blues_56_5.wav,"Which chord progression does this clip follow?
Give a short, direct answer.",,12-bar-blues,I–IV–V–I,I–IV–V–I,False,,"{""program"": ""flute"", ""progression"": ""12-bar-blues"", ""soundfont"": ""fluidr3"", ""tonic"": 56}"
progression_id/12-bar-blues_58_0::audio::mcq,progression_id/12-bar-blues_58_0,progression_id,audio,mcq,1,stimuli/progressions/12-bar-blues_58_0.wav,"Listen to the harmony. What progression is being played?
A. I-V-vi-IV
B. 12-bar-blues
C. I-IV-V-I
D. ii-V-I
Answer with the letter of the correct option only (A, B, C, or D). Do not explain.",I-V-vi-IV|12-bar-blues|I-IV-V-I|ii-V-I,12-bar-blues,A,I-V-vi-IV,False,,"{""program"": ""violin"", ""progression"": ""12-bar-blues"", ""soundfont"": ""fluidr3"", ""tonic"": 58}"
progression_id/12-bar-blues_58_2::audio::mcq,progression_id/12-bar-blues_58_2,progression_id,audio,mcq,0,stimuli/progressions/12-bar-blues_58_2.wav,"Which chord progression does this clip follow?
A. I-V-vi-IV
B. ii-V-I
C. 12-bar-blues
D. I-IV-V-I
Answer with the letter of the correct option only (A, B, C, or D). Do not explain.",I-V-vi-IV|ii-V-I|12-bar-blues|I-IV-V-I,12-bar-blues,A,I-V-vi-IV,False,,"{""program"": ""synth_lead"", ""progression"": ""12-bar-blues"", ""soundfont"": ""musescore"", ""tonic"": 58}"
