job_id,stimulus_id,task,condition,format,paraphrase_idx,audio_path,prompt,options,ground_truth,raw_response,parsed,correct,error,factors
progression_id/12-bar-blues_54_1::audio::mcq,progression_id/12-bar-blues_54_1,progression_id,audio,mcq,2,stimuli/progressions/12-bar-blues_54_1.wav,"Identify the chord progression in this passage.
A. 12-bar-blues
B. I-IV-V-I
C. ii-V-I
D. I-V-vi-IV
Answer with the letter of the correct option only (A, B, C, or D). Do not explain.",12-bar-blues|I-IV-V-I|ii-V-I|I-V-vi-IV,12-bar-blues,B,I-IV-V-I,False,,"{""program"": ""flute"", ""progression"": ""12-bar-blues"", ""soundfont"": ""fluidr3"", ""tonic"": 54}"
progression_id/12-bar-blues_54_1::audio::open,progression_id/12-bar-blues_54_1,progression_id,audio,open,1,stimuli/progressions/12-bar-blues_54_1.wav,"Listen to the harmony. What progression is being played?
Give a short, direct answer.",,12-bar-blues,"E major, A major.","E major, A major.",False,,"{""program"": ""flute"", ""progression"": ""12-bar-blues"", ""soundfont"": ""fluidr3"", ""tonic"": 54}"
progression_id/12-bar-blues_54_1::audio::explain,progression_id/12-bar-blues_54_1,progression_id,audio,explain,0,stimuli/progressions/12-bar-blues_54_1.wav,"Which chord progression does this clip follow?
First give your answer. Then explain exactly what you heard that supports it: name the specific notes/chords/beats and their approximate timestamps in seconds.",,12-bar-blues,"The chord progression in this clip follows a pattern of C# major, F# major, and E major. Here's the breakdown:

1. **C# major**: This chord is played from the beginning (0.00 seconds) until 1.44 seconds.
2. **F# major**: This chord is played from 1.44 seconds until 3.28 seconds.
3. **E major**: This chord is played from 3.28 seconds until 13.46 seconds.

The specific notes in each chord are as follows:
- **C# major**: C#4, E4, G#4
- **F# major**: F#4, A4, C#5
- **E major**: E4, G#4, B4

The progression is smooth and transitions seamlessly from one chord to the next, creating a harmonious and melodic sound.",,,,"{""program"": ""flute"", ""progression"": ""12-bar-blues"", ""soundfont"": ""fluidr3"", ""tonic"": 54}"
progression_id/12-bar-blues_54_4::audio::mcq,progression_id/12-bar-blues_54_4,progression_id,audio,mcq,0,stimuli/progressions/12-bar-blues_54_4.wav,"Which chord progression does this clip follow?
A. I-IV-V-I
B. I-V-vi-IV
C. 12-bar-blues
D. ii-V-I
Answer with the letter of the correct option only (A, B, C, or D). Do not explain.",I-IV-V-I|I-V-vi-IV|12-bar-blues|ii-V-I,12-bar-blues,D,ii-V-I,False,,"{""program"": ""violin"", ""progression"": ""12-bar-blues"", ""soundfont"": ""musescore"", ""tonic"": 54}"
progression_id/12-bar-blues_54_4::audio::open,progression_id/12-bar-blues_54_4,progression_id,audio,open,1,stimuli/progressions/12-bar-blues_54_4.wav,"Listen to the harmony. What progression is being played?
Give a short, direct answer.",,12-bar-blues,E major.,E major.,False,,"{""program"": ""violin"", ""progression"": ""12-bar-blues"", ""soundfont"": ""musescore"", ""tonic"": 54}"
progression_id/12-bar-blues_54_7::audio::mcq,progression_id/12-bar-blues_54_7,progression_id,audio,mcq,0,stimuli/progressions/12-bar-blues_54_7.wav,"Which chord progression does this clip follow?
A. I-V-vi-IV
B. 12-bar-blues
C. I-IV-V-I
D. ii-V-I
Answer with the letter of the correct option only (A, B, C, or D). Do not explain.",I-V-vi-IV|12-bar-blues|I-IV-V-I|ii-V-I,12-bar-blues,C,I-IV-V-I,False,,"{""program"": ""piano"", ""progression"": ""12-bar-blues"", ""soundfont"": ""musescore"", ""tonic"": 54}"
progression_id/12-bar-blues_56_5::audio::mcq,progression_id/12-bar-blues_56_5,progression_id,audio,mcq,0,stimuli/progressions/12-bar-blues_56_5.wav,"Which chord progression does this clip follow?
A. I-V-vi-IV
B. ii-V-I
C. I-IV-V-I
D. 12-bar-blues
Answer with the letter of the correct option only (A, B, C, or D). Do not explain.",I-V-vi-IV|ii-V-I|I-IV-V-I|12-bar-blues,12-bar-blues,A,I-V-vi-IV,False,,"{""program"": ""flute"", ""progression"": ""12-bar-blues"", ""soundfont"": ""fluidr3"", ""tonic"": 56}"
progression_id/12-bar-blues_56_5::audio::open,progression_id/12-bar-blues_56_5,progression_id,audio,open,0,stimuli/progressions/12-bar-blues_56_5.wav,"Which chord progression does this clip follow?
Give a short, direct answer.",,12-bar-blues,"F# major, C# major.","F# major, C# major.",False,,"{""program"": ""flute"", ""progression"": ""12-bar-blues"", ""soundfont"": ""fluidr3"", ""tonic"": 56}"
progression_id/12-bar-blues_58_0::audio::mcq,progression_id/12-bar-blues_58_0,progression_id,audio,mcq,1,stimuli/progressions/12-bar-blues_58_0.wav,"Listen to the harmony. What progression is being played?
A. I-V-vi-IV
B. 12-bar-blues
C. I-IV-V-I
D. ii-V-I
Answer with the letter of the correct option only (A, B, C, or D). Do not explain.",I-V-vi-IV|12-bar-blues|I-IV-V-I|ii-V-I,12-bar-blues,D,ii-V-I,False,,"{""program"": ""violin"", ""progression"": ""12-bar-blues"", ""soundfont"": ""fluidr3"", ""tonic"": 58}"
progression_id/12-bar-blues_58_2::audio::mcq,progression_id/12-bar-blues_58_2,progression_id,audio,mcq,0,stimuli/progressions/12-bar-blues_58_2.wav,"Which chord progression does this clip follow?
A. I-V-vi-IV
B. ii-V-I
C. 12-bar-blues
D. I-IV-V-I
Answer with the letter of the correct option only (A, B, C, or D). Do not explain.",I-V-vi-IV|ii-V-I|12-bar-blues|I-IV-V-I,12-bar-blues,D,I-IV-V-I,False,,"{""program"": ""synth_lead"", ""progression"": ""12-bar-blues"", ""soundfont"": ""musescore"", ""tonic"": 58}"
