job_id,stimulus_id,task,condition,format,paraphrase_idx,audio_path,prompt,options,ground_truth,raw_response,parsed,correct,error,factors
beats_per_bar/meter_3-4_00::audio::mcq,beats_per_bar/meter_3-4_00,beats_per_bar,audio,mcq,2,stimuli/meter/meter_3-4_00.wav,"Count the beats between the strong accents. How many beats per measure does this rhythm have?
A. 7
B. 4
C. 5
D. 3
Answer with the letter of the correct option only (A, B, C, or D). Do not explain.",7|4|5|3,3,C,5,False,,"{""beats"": 3, ""bpm"": 111.7, ""meter"": ""3/4"", ""n_bars"": 7}"
beats_per_bar/meter_3-4_00::audio::open,beats_per_bar/meter_3-4_00,beats_per_bar,audio,open,1,stimuli/meter/meter_3-4_00.wav,"This rhythm repeats in cycles, each starting with a stronger beat. How many beats long is each cycle?
Give a short, direct answer.",,3,8,8,False,,"{""beats"": 3, ""bpm"": 111.7, ""meter"": ""3/4"", ""n_bars"": 7}"
beats_per_bar/meter_3-4_01::audio::mcq,beats_per_bar/meter_3-4_01,beats_per_bar,audio,mcq,1,stimuli/meter/meter_3-4_01.wav,"This rhythm repeats in cycles, each starting with a stronger beat. How many beats long is each cycle?
A. 6
B. 3
C. 5
D. 4
Answer with the letter of the correct option only (A, B, C, or D). Do not explain.",6|3|5|4,3,C,5,False,,"{""beats"": 3, ""bpm"": 136.6, ""meter"": ""3/4"", ""n_bars"": 8}"
beats_per_bar/meter_3-4_02::audio::mcq,beats_per_bar/meter_3-4_02,beats_per_bar,audio,mcq,2,stimuli/meter/meter_3-4_02.wav,"Count the beats between the strong accents. How many beats per measure does this rhythm have?
A. 4
B. 3
C. 6
D. 7
Answer with the letter of the correct option only (A, B, C, or D). Do not explain.",4|3|6|7,3,A,4,False,,"{""beats"": 3, ""bpm"": 110.9, ""meter"": ""3/4"", ""n_bars"": 7}"
beats_per_bar/meter_3-4_03::audio::mcq,beats_per_bar/meter_3-4_03,beats_per_bar,audio,mcq,0,stimuli/meter/meter_3-4_03.wav,"Listen to the accent pattern of this rhythm. How many beats are there per bar (one accented beat starts each bar)?
A. 3
B. 4
C. 6
D. 5
Answer with the letter of the correct option only (A, B, C, or D). Do not explain.",3|4|6|5,3,D,5,False,,"{""beats"": 3, ""bpm"": 134.7, ""meter"": ""3/4"", ""n_bars"": 8}"
beats_per_bar/meter_3-4_04::audio::mcq,beats_per_bar/meter_3-4_04,beats_per_bar,audio,mcq,0,stimuli/meter/meter_3-4_04.wav,"Listen to the accent pattern of this rhythm. How many beats are there per bar (one accented beat starts each bar)?
A. 4
B. 3
C. 5
D. 6
Answer with the letter of the correct option only (A, B, C, or D). Do not explain.",4|3|5|6,3,C,5,False,,"{""beats"": 3, ""bpm"": 90.7, ""meter"": ""3/4"", ""n_bars"": 6}"
beats_per_bar/meter_3-4_04::audio::explain,beats_per_bar/meter_3-4_04,beats_per_bar,audio,explain,1,stimuli/meter/meter_3-4_04.wav,"This rhythm repeats in cycles, each starting with a stronger beat. How many beats long is each cycle?
First give your answer. Then explain exactly what you heard that supports it: name the specific notes/chords/beats and their approximate timestamps in seconds.",,3,"6

The cycle consists of six beats in total. The first beat is a strong, low-pitched ""thump"" at 0:00. This is followed by five higher-pitched, quicker ""clicks"" at approximately 0:01, 0:02, 0:03, 0:04, and 0:05. The cycle then repeats with the strong ""thump"" at 0:06, followed by the five ""clicks"" at 0:07, 0:08, 0:09, 0:10, and 0:11.",,,,"{""beats"": 3, ""bpm"": 90.7, ""meter"": ""3/4"", ""n_bars"": 6}"
beats_per_bar/meter_3-4_05::audio::mcq,beats_per_bar/meter_3-4_05,beats_per_bar,audio,mcq,2,stimuli/meter/meter_3-4_05.wav,"Count the beats between the strong accents. How many beats per measure does this rhythm have?
A. 3
B. 5
C. 4
D. 6
Answer with the letter of the correct option only (A, B, C, or D). Do not explain.",3|5|4|6,3,C,4,False,,"{""beats"": 3, ""bpm"": 106.7, ""meter"": ""3/4"", ""n_bars"": 6}"
beats_per_bar/meter_3-4_05::audio::open,beats_per_bar/meter_3-4_05,beats_per_bar,audio,open,0,stimuli/meter/meter_3-4_05.wav,"Listen to the accent pattern of this rhythm. How many beats are there per bar (one accented beat starts each bar)?
Give a short, direct answer.",,3,4,4,False,,"{""beats"": 3, ""bpm"": 106.7, ""meter"": ""3/4"", ""n_bars"": 6}"
beats_per_bar/meter_3-4_06::audio::mcq,beats_per_bar/meter_3-4_06,beats_per_bar,audio,mcq,1,stimuli/meter/meter_3-4_06.wav,"This rhythm repeats in cycles, each starting with a stronger beat. How many beats long is each cycle?
A. 3
B. 7
C. 5
D. 6
Answer with the letter of the correct option only (A, B, C, or D). Do not explain.",3|7|5|6,3,D,6,False,,"{""beats"": 3, ""bpm"": 120.8, ""meter"": ""3/4"", ""n_bars"": 7}"
