job_id,stimulus_id,task,condition,format,paraphrase_idx,audio_path,prompt,options,ground_truth,raw_response,parsed,correct,error,factors
interval_id/M2_harmonic_51_0::audio::mcq,interval_id/M2_harmonic_51_0,interval_id,audio,mcq,0,stimuli/intervals/M2_harmonic_51_0.wav,"Two notes are played. What is the musical interval between them?
A. minor second
B. major second
C. minor third
D. perfect fourth
Answer with the letter of the correct option only (A, B, C, or D). Do not explain.",minor second|major second|minor third|perfect fourth,major second,C,minor third,False,,"{""interval_short"": ""M2"", ""presentation"": ""harmonic"", ""program"": ""flute"", ""root"": 51, ""root_name"": ""D#3"", ""semitones"": 2, ""soundfont"": ""musescore""}"
interval_id/M2_harmonic_51_0::audio::open,interval_id/M2_harmonic_51_0,interval_id,audio,open,1,stimuli/intervals/M2_harmonic_51_0.wav,"Listen to the two pitches. Name the interval they form.
Give a short, direct answer.",,major second,First interval is from G2 to F2.,First interval is from G2 to F2.,False,,"{""interval_short"": ""M2"", ""presentation"": ""harmonic"", ""program"": ""flute"", ""root"": 51, ""root_name"": ""D#3"", ""semitones"": 2, ""soundfont"": ""musescore""}"
interval_id/M2_harmonic_58_1::audio::mcq,interval_id/M2_harmonic_58_1,interval_id,audio,mcq,1,stimuli/intervals/M2_harmonic_58_1.wav,"Listen to the two pitches. Name the interval they form.
A. minor third
B. major second
C. tritone
D. minor second
Answer with the letter of the correct option only (A, B, C, or D). Do not explain.",minor third|major second|tritone|minor second,major second,C,tritone,False,,"{""interval_short"": ""M2"", ""presentation"": ""harmonic"", ""program"": ""synth_lead"", ""root"": 58, ""root_name"": ""A#3"", ""semitones"": 2, ""soundfont"": ""musescore""}"
interval_id/M2_harmonic_65_3::audio::mcq,interval_id/M2_harmonic_65_3,interval_id,audio,mcq,1,stimuli/intervals/M2_harmonic_65_3.wav,"Listen to the two pitches. Name the interval they form.
A. major second
B. minor third
C. minor second
D. minor seventh
Answer with the letter of the correct option only (A, B, C, or D). Do not explain.",major second|minor third|minor second|minor seventh,major second,C,minor second,False,,"{""interval_short"": ""M2"", ""presentation"": ""harmonic"", ""program"": ""flute"", ""root"": 65, ""root_name"": ""F4"", ""semitones"": 2, ""soundfont"": ""fluidr3""}"
interval_id/M2_harmonic_70_2::audio::mcq,interval_id/M2_harmonic_70_2,interval_id,audio,mcq,1,stimuli/intervals/M2_harmonic_70_2.wav,"Listen to the two pitches. Name the interval they form.
A. minor second
B. major third
C. major second
D. minor third
Answer with the letter of the correct option only (A, B, C, or D). Do not explain.",minor second|major third|major second|minor third,major second,D,minor third,False,,"{""interval_short"": ""M2"", ""presentation"": ""harmonic"", ""program"": ""flute"", ""root"": 70, ""root_name"": ""A#4"", ""semitones"": 2, ""soundfont"": ""timgm""}"
interval_id/M2_melodic_asc_53_3::audio::mcq,interval_id/M2_melodic_asc_53_3,interval_id,audio,mcq,1,stimuli/intervals/M2_melodic_asc_53_3.wav,"Listen to the two pitches. Name the interval they form.
A. major second
B. minor second
C. perfect fifth
D. minor third
Answer with the letter of the correct option only (A, B, C, or D). Do not explain.",major second|minor second|perfect fifth|minor third,major second,C,perfect fifth,False,,"{""interval_short"": ""M2"", ""presentation"": ""melodic_asc"", ""program"": ""piano"", ""root"": 53, ""root_name"": ""F3"", ""semitones"": 2, ""soundfont"": ""fluidr3""}"
interval_id/M2_melodic_asc_61_0::audio::mcq,interval_id/M2_melodic_asc_61_0,interval_id,audio,mcq,2,stimuli/intervals/M2_melodic_asc_61_0.wav,"What interval do you hear between the notes in this clip?
A. minor third
B. major second
C. major third
D. minor second
Answer with the letter of the correct option only (A, B, C, or D). Do not explain.",minor third|major second|major third|minor second,major second,C,major third,False,,"{""interval_short"": ""M2"", ""presentation"": ""melodic_asc"", ""program"": ""synth_lead"", ""root"": 61, ""root_name"": ""C#4"", ""semitones"": 2, ""soundfont"": ""timgm""}"
interval_id/M2_melodic_asc_62_2::audio::mcq,interval_id/M2_melodic_asc_62_2,interval_id,audio,mcq,1,stimuli/intervals/M2_melodic_asc_62_2.wav,"Listen to the two pitches. Name the interval they form.
A. major second
B. perfect fourth
C. minor second
D. minor third
Answer with the letter of the correct option only (A, B, C, or D). Do not explain.",major second|perfect fourth|minor second|minor third,major second,B,perfect fourth,False,,"{""interval_short"": ""M2"", ""presentation"": ""melodic_asc"", ""program"": ""synth_lead"", ""root"": 62, ""root_name"": ""D4"", ""semitones"": 2, ""soundfont"": ""musescore""}"
interval_id/M2_melodic_asc_64_1::audio::mcq,interval_id/M2_melodic_asc_64_1,interval_id,audio,mcq,2,stimuli/intervals/M2_melodic_asc_64_1.wav,"What interval do you hear between the notes in this clip?
A. minor second
B. major second
C. minor third
D. perfect fifth
Answer with the letter of the correct option only (A, B, C, or D). Do not explain.",minor second|major second|minor third|perfect fifth,major second,C,minor third,False,,"{""interval_short"": ""M2"", ""presentation"": ""melodic_asc"", ""program"": ""flute"", ""root"": 64, ""root_name"": ""E4"", ""semitones"": 2, ""soundfont"": ""timgm""}"
interval_id/M2_melodic_desc_49_2::audio::mcq,interval_id/M2_melodic_desc_49_2,interval_id,audio,mcq,0,stimuli/intervals/M2_melodic_desc_49_2.wav,"Two notes are played. What is the musical interval between them?
A. minor third
B. minor second
C. major second
D. major sixth
Answer with the letter of the correct option only (A, B, C, or D). Do not explain.",minor third|minor second|major second|major sixth,major second,C,major second,True,,"{""interval_short"": ""M2"", ""presentation"": ""melodic_desc"", ""program"": ""synth_lead"", ""root"": 49, ""root_name"": ""C#3"", ""semitones"": 2, ""soundfont"": ""fluidr3""}"
