job_id,stimulus_id,task,condition,format,paraphrase_idx,audio_path,prompt,options,ground_truth,raw_response,parsed,correct,error,factors
pitch_note_id/pitch/048_synth_lead_musescore_1::audio::mcq,pitch_note_id/pitch/048_synth_lead_musescore_1,pitch_note_id,audio,mcq,1,stimuli/pitch/048_synth_lead_musescore_1.wav,"A single note is played. Which note is it (C, C#, D, ...)?
A. C
B. B
C. C#
D. F#
Answer with the letter of the correct option only (A, B, C, or D). Do not explain.",C|B|C#|F#,C,C,C#,True,,"{""midi"": 48, ""note_name"": ""C3"", ""octave"": 3, ""pitch_class"": ""C"", ""program"": ""synth_lead"", ""soundfont"": ""musescore""}"
pitch_note_id/pitch/048_violin_timgm_0::audio::mcq,pitch_note_id/pitch/048_violin_timgm_0,pitch_note_id,audio,mcq,1,stimuli/pitch/048_violin_timgm_0.wav,"A single note is played. Which note is it (C, C#, D, ...)?
A. A#
B. B
C. C#
D. C
Answer with the letter of the correct option only (A, B, C, or D). Do not explain.",A#|B|C#|C,C,D,C,True,,"{""midi"": 48, ""note_name"": ""C3"", ""octave"": 3, ""pitch_class"": ""C"", ""program"": ""violin"", ""soundfont"": ""timgm""}"
pitch_note_id/pitch/048_violin_timgm_0::audio::explain,pitch_note_id/pitch/048_violin_timgm_0,pitch_note_id,audio,explain,0,stimuli/pitch/048_violin_timgm_0.wav,"Listen to this note. What is its pitch class (note name, ignoring octave)?
First give your answer. Then explain exactly what you heard that supports it: name the specific notes/chords/beats and their approximate timestamps in seconds.",,C,"F

I heard a single, sustained note starting at 00:00 and ending at 00:02. The pitch of this note is F.",,,,"{""midi"": 48, ""note_name"": ""C3"", ""octave"": 3, ""pitch_class"": ""C"", ""program"": ""violin"", ""soundfont"": ""timgm""}"
pitch_note_id/pitch/049_piano_timgm_1::audio::mcq,pitch_note_id/pitch/049_piano_timgm_1,pitch_note_id,audio,mcq,1,stimuli/pitch/049_piano_timgm_1.wav,"A single note is played. Which note is it (C, C#, D, ...)?
A. C#
B. C
C. F#
D. D
Answer with the letter of the correct option only (A, B, C, or D). Do not explain.",C#|C|F#|D,C#,B,C,False,,"{""midi"": 49, ""note_name"": ""C#3"", ""octave"": 3, ""pitch_class"": ""C#"", ""program"": ""piano"", ""soundfont"": ""timgm""}"
pitch_note_id/pitch/049_piano_timgm_1::audio::explain,pitch_note_id/pitch/049_piano_timgm_1,pitch_note_id,audio,explain,2,stimuli/pitch/049_piano_timgm_1.wav,"Identify the musical note you hear, by letter name only.
First give your answer. Then explain exactly what you heard that supports it: name the specific notes/chords/beats and their approximate timestamps in seconds.",,C#,"C

I heard a single, sustained note starting at 00:00 and ending at 00:03. The pitch of this note is C.",,,,"{""midi"": 49, ""note_name"": ""C#3"", ""octave"": 3, ""pitch_class"": ""C#"", ""program"": ""piano"", ""soundfont"": ""timgm""}"
pitch_note_id/pitch/049_synth_lead_fluidr3_0::audio::mcq,pitch_note_id/pitch/049_synth_lead_fluidr3_0,pitch_note_id,audio,mcq,0,stimuli/pitch/049_synth_lead_fluidr3_0.wav,"Listen to this note. What is its pitch class (note name, ignoring octave)?
A. D
B. A#
C. C
D. C#
Answer with the letter of the correct option only (A, B, C, or D). Do not explain.",D|A#|C|C#,C#,D,C#,True,,"{""midi"": 49, ""note_name"": ""C#3"", ""octave"": 3, ""pitch_class"": ""C#"", ""program"": ""synth_lead"", ""soundfont"": ""fluidr3""}"
pitch_note_id/pitch/050_flute_fluidr3_0::audio::mcq,pitch_note_id/pitch/050_flute_fluidr3_0,pitch_note_id,audio,mcq,0,stimuli/pitch/050_flute_fluidr3_0.wav,"Listen to this note. What is its pitch class (note name, ignoring octave)?
A. D#
B. C#
C. D
D. C
Answer with the letter of the correct option only (A, B, C, or D). Do not explain.",D#|C#|D|C,D,C,D,True,,"{""midi"": 50, ""note_name"": ""D3"", ""octave"": 3, ""pitch_class"": ""D"", ""program"": ""flute"", ""soundfont"": ""fluidr3""}"
pitch_note_id/pitch/050_flute_fluidr3_0::audio::open,pitch_note_id/pitch/050_flute_fluidr3_0,pitch_note_id,audio,open,1,stimuli/pitch/050_flute_fluidr3_0.wav,"A single note is played. Which note is it (C, C#, D, ...)?
Give a short, direct answer.",,D,D,D,True,,"{""midi"": 50, ""note_name"": ""D3"", ""octave"": 3, ""pitch_class"": ""D"", ""program"": ""flute"", ""soundfont"": ""fluidr3""}"
pitch_note_id/pitch/050_flute_fluidr3_1::audio::mcq,pitch_note_id/pitch/050_flute_fluidr3_1,pitch_note_id,audio,mcq,2,stimuli/pitch/050_flute_fluidr3_1.wav,"Identify the musical note you hear, by letter name only.
A. D
B. D#
C. C#
D. E
Answer with the letter of the correct option only (A, B, C, or D). Do not explain.",D|D#|C#|E,D,A,D,True,,"{""midi"": 50, ""note_name"": ""D3"", ""octave"": 3, ""pitch_class"": ""D"", ""program"": ""flute"", ""soundfont"": ""fluidr3""}"
pitch_note_id/pitch/051_flute_timgm_0::audio::mcq,pitch_note_id/pitch/051_flute_timgm_0,pitch_note_id,audio,mcq,0,stimuli/pitch/051_flute_timgm_0.wav,"Listen to this note. What is its pitch class (note name, ignoring octave)?
A. B
B. E
C. D
D. D#
Answer with the letter of the correct option only (A, B, C, or D). Do not explain.",B|E|D|D#,D#,B,E,False,,"{""midi"": 51, ""note_name"": ""D#3"", ""octave"": 3, ""pitch_class"": ""D#"", ""program"": ""flute"", ""soundfont"": ""timgm""}"
pitch_note_id/pitch/051_flute_timgm_0::audio::open,pitch_note_id/pitch/051_flute_timgm_0,pitch_note_id,audio,open,0,stimuli/pitch/051_flute_timgm_0.wav,"Listen to this note. What is its pitch class (note name, ignoring octave)?
Give a short, direct answer.",,D#,G,G,False,,"{""midi"": 51, ""note_name"": ""D#3"", ""octave"": 3, ""pitch_class"": ""D#"", ""program"": ""flute"", ""soundfont"": ""timgm""}"
pitch_note_id/pitch/051_piano_fluidr3_1::audio::mcq,pitch_note_id/pitch/051_piano_fluidr3_1,pitch_note_id,audio,mcq,1,stimuli/pitch/051_piano_fluidr3_1.wav,"A single note is played. Which note is it (C, C#, D, ...)?
A. E
B. D
C. D#
D. A#
Answer with the letter of the correct option only (A, B, C, or D). Do not explain.",E|D|D#|A#,D#,C,D#,True,,"{""midi"": 51, ""note_name"": ""D#3"", ""octave"": 3, ""pitch_class"": ""D#"", ""program"": ""piano"", ""soundfont"": ""fluidr3""}"
pitch_note_id/pitch/051_piano_fluidr3_1::audio::explain,pitch_note_id/pitch/051_piano_fluidr3_1,pitch_note_id,audio,explain,1,stimuli/pitch/051_piano_fluidr3_1.wav,"A single note is played. Which note is it (C, C#, D, ...)?
First give your answer. Then explain exactly what you heard that supports it: name the specific notes/chords/beats and their approximate timestamps in seconds.",,D#,"The note played is **D**.

**Explanation:**

At **00:00**, a single, clear, and sustained note is played on what sounds like a piano or electric piano. The pitch is distinctly higher than C but lower than E. The note has a bright, slightly metallic timbre with a clear fundamental frequency and harmonics, consistent with a piano.

By comparing the pitch to a standard piano keyboard:
- C is the note just below middle C (C4).
- D is the next note up from C.
- E is the next note up from D.

The note is clearly higher than C but not as high as E. It matches the pitch of **D4** (approximately 293.66 Hz), which is the D above middle C.

No other notes, chords, or rhythmic elements are present. The note is held for about 2 seconds and then cuts off cleanly at **00:02**.",,,,"{""midi"": 51, ""note_name"": ""D#3"", ""octave"": 3, ""pitch_class"": ""D#"", ""program"": ""piano"", ""soundfont"": ""fluidr3""}"
pitch_note_id/pitch/052_violin_fluidr3_0::audio::mcq,pitch_note_id/pitch/052_violin_fluidr3_0,pitch_note_id,audio,mcq,2,stimuli/pitch/052_violin_fluidr3_0.wav,"Identify the musical note you hear, by letter name only.
A. D#
B. E
C. F#
D. F
Answer with the letter of the correct option only (A, B, C, or D). Do not explain.",D#|E|F#|F,E,B,E,True,,"{""midi"": 52, ""note_name"": ""E3"", ""octave"": 3, ""pitch_class"": ""E"", ""program"": ""violin"", ""soundfont"": ""fluidr3""}"
