job_id,stimulus_id,task,condition,format,paraphrase_idx,audio_path,prompt,options,ground_truth,raw_response,parsed,correct,error,factors
mode_id/blues_57_bare_scale::audio::mcq,mode_id/blues_57_bare_scale,mode_id,audio,mcq,1,stimuli/mode/blues_57_bare_scale.wav,"Listen to the clip. Which scale/mode is being used?
A. blues scale
B. Lydian
C. major
D. Locrian
Answer with the letter of the correct option only (A, B, C, or D). Do not explain.",blues scale|Lydian|major|Locrian,blues scale,C,major,False,,"{""form"": ""bare_scale"", ""mode"": ""blues"", ""program"": ""violin"", ""soundfont"": ""timgm"", ""tonic_midi"": 57}"
mode_id/blues_57_bare_scale::audio::explain,mode_id/blues_57_bare_scale,mode_id,audio,explain,1,stimuli/mode/blues_57_bare_scale.wav,"Listen to the clip. Which scale/mode is being used?
First give your answer. Then explain exactly what you heard that supports it: name the specific notes/chords/beats and their approximate timestamps in seconds.",,blues scale,"**Answer:** The scale being used is the **A minor natural scale**.

**Explanation:**

The melody played on the violin is a descending run of the A minor natural scale. The specific notes and their approximate timestamps are:

*   **00:00 - 00:01:** A (the root note)
*   **00:01 - 00:02:** G
*   **00:02 - 00:03:** F
*   **00:03 - 00:04:** E
*   **00:04 - 00:05:** D
*   **00:05 - 00:06:** C
*   **00:06 - 00:07:** B
*   **00:07 - 00:08:** A (the root note again)

This sequence of notes (A-G-F-E-D-C-B-A) is the exact descending form of the A minor natural scale. The scale is confirmed by the presence of the B-natural, which is the defining characteristic of the natural minor scale (as opposed to the harmonic minor, which would have a B-sharp).",,,,"{""form"": ""bare_scale"", ""mode"": ""blues"", ""program"": ""violin"", ""soundfont"": ""timgm"", ""tonic_midi"": 57}"
mode_id/blues_57_melody_drone::audio::mcq,mode_id/blues_57_melody_drone,mode_id,audio,mcq,0,stimuli/mode/blues_57_melody_drone.wav,"What scale or mode is this music based on?
A. blues scale
B. major
C. melodic minor
D. Locrian
Answer with the letter of the correct option only (A, B, C, or D). Do not explain.",blues scale|major|melodic minor|Locrian,blues scale,C,melodic minor,False,,"{""form"": ""melody_drone"", ""mode"": ""blues"", ""program"": ""synth_lead"", ""soundfont"": ""timgm"", ""tonic_midi"": 57}"
mode_id/blues_60_bare_scale::audio::mcq,mode_id/blues_60_bare_scale,mode_id,audio,mcq,0,stimuli/mode/blues_60_bare_scale.wav,"What scale or mode is this music based on?
A. Phrygian
B. major pentatonic
C. natural minor
D. blues scale
Answer with the letter of the correct option only (A, B, C, or D). Do not explain.",Phrygian|major pentatonic|natural minor|blues scale,blues scale,C,natural minor,False,,"{""form"": ""bare_scale"", ""mode"": ""blues"", ""program"": ""flute"", ""soundfont"": ""musescore"", ""tonic_midi"": 60}"
mode_id/blues_60_bare_scale::audio::open,mode_id/blues_60_bare_scale,mode_id,audio,open,2,stimuli/mode/blues_60_bare_scale.wav,"Identify the mode or scale type of this passage.
Give a short, direct answer.",,blues scale,Major,Major,False,,"{""form"": ""bare_scale"", ""mode"": ""blues"", ""program"": ""flute"", ""soundfont"": ""musescore"", ""tonic_midi"": 60}"
mode_id/blues_60_melody_drone::audio::mcq,mode_id/blues_60_melody_drone,mode_id,audio,mcq,0,stimuli/mode/blues_60_melody_drone.wav,"What scale or mode is this music based on?
A. Lydian
B. Dorian
C. blues scale
D. major
Answer with the letter of the correct option only (A, B, C, or D). Do not explain.",Lydian|Dorian|blues scale|major,blues scale,D,major,False,,"{""form"": ""melody_drone"", ""mode"": ""blues"", ""program"": ""flute"", ""soundfont"": ""timgm"", ""tonic_midi"": 60}"
mode_id/blues_60_melody_drone::audio::open,mode_id/blues_60_melody_drone,mode_id,audio,open,1,stimuli/mode/blues_60_melody_drone.wav,"Listen to the clip. Which scale/mode is being used?
Give a short, direct answer.",,blues scale,C major,C major,False,,"{""form"": ""melody_drone"", ""mode"": ""blues"", ""program"": ""flute"", ""soundfont"": ""timgm"", ""tonic_midi"": 60}"
mode_id/blues_62_bare_scale::audio::mcq,mode_id/blues_62_bare_scale,mode_id,audio,mcq,0,stimuli/mode/blues_62_bare_scale.wav,"What scale or mode is this music based on?
A. blues scale
B. natural minor
C. Mixolydian
D. melodic minor
Answer with the letter of the correct option only (A, B, C, or D). Do not explain.",blues scale|natural minor|Mixolydian|melodic minor,blues scale,C,Mixolydian,False,,"{""form"": ""bare_scale"", ""mode"": ""blues"", ""program"": ""synth_lead"", ""soundfont"": ""timgm"", ""tonic_midi"": 62}"
mode_id/blues_62_melody_drone::audio::mcq,mode_id/blues_62_melody_drone,mode_id,audio,mcq,2,stimuli/mode/blues_62_melody_drone.wav,"Identify the mode or scale type of this passage.
A. whole-tone
B. blues scale
C. Mixolydian
D. major
Answer with the letter of the correct option only (A, B, C, or D). Do not explain.",whole-tone|blues scale|Mixolydian|major,blues scale,D,major,False,,"{""form"": ""melody_drone"", ""mode"": ""blues"", ""program"": ""piano"", ""soundfont"": ""fluidr3"", ""tonic_midi"": 62}"
mode_id/blues_64_bare_scale::audio::mcq,mode_id/blues_64_bare_scale,mode_id,audio,mcq,0,stimuli/mode/blues_64_bare_scale.wav,"What scale or mode is this music based on?
A. whole-tone
B. melodic minor
C. blues scale
D. Phrygian
Answer with the letter of the correct option only (A, B, C, or D). Do not explain.",whole-tone|melodic minor|blues scale|Phrygian,blues scale,D,Phrygian,False,,"{""form"": ""bare_scale"", ""mode"": ""blues"", ""program"": ""synth_lead"", ""soundfont"": ""timgm"", ""tonic_midi"": 64}"
