job_id,stimulus_id,task,condition,format,paraphrase_idx,audio_path,prompt,options,ground_truth,raw_response,parsed,correct,error,factors
progression_id/12-bar-blues_54_1::audio::mcq,progression_id/12-bar-blues_54_1,progression_id,audio,mcq,2,stimuli/progressions/12-bar-blues_54_1.wav,"Identify the chord progression in this passage.
A. 12-bar-blues
B. I-IV-V-I
C. ii-V-I
D. I-V-vi-IV
Answer with the letter of the correct option only (A, B, C, or D). Do not explain.",12-bar-blues|I-IV-V-I|ii-V-I|I-V-vi-IV,12-bar-blues,B,I-IV-V-I,False,,"{""program"": ""flute"", ""progression"": ""12-bar-blues"", ""soundfont"": ""fluidr3"", ""tonic"": 54}"
progression_id/12-bar-blues_54_1::audio::open,progression_id/12-bar-blues_54_1,progression_id,audio,open,1,stimuli/progressions/12-bar-blues_54_1.wav,"Listen to the harmony. What progression is being played?
Give a short, direct answer.",,12-bar-blues,i - III - iv - i,i - III - iv - i,False,,"{""program"": ""flute"", ""progression"": ""12-bar-blues"", ""soundfont"": ""fluidr3"", ""tonic"": 54}"
progression_id/12-bar-blues_54_1::audio::explain,progression_id/12-bar-blues_54_1,progression_id,audio,explain,0,stimuli/progressions/12-bar-blues_54_1.wav,"Which chord progression does this clip follow?
First give your answer. Then explain exactly what you heard that supports it: name the specific notes/chords/beats and their approximate timestamps in seconds.",,12-bar-blues,"The chord progression is: **i - VI - i - V - VI - i - V** in a minor key.

Here is a detailed breakdown of what I heard to identify this progression:

The piece is in the key of **C minor**.

*   **0:00 - 0:03:** The clip begins with a sustained **C minor chord (i)**. The notes are clearly C in the bass, with G and Eb above it. This establishes the tonic, or ""home"" chord.
*   **0:03 - 0:05:** The chord changes to an **Ab major chord (VI)**. The bass moves down to Ab, and the other notes are C and Eb.
*   **0:05 - 0:06:** The progression returns to the **C minor chord (i)**.
*   **0:06 - 0:08:** The chord changes to a **G major chord (V)**. The bass note is G, and crucially, the third of the chord is a B natural (not the Bb that is in the C natural minor scale). This use of the raised 7th degree (the leading tone) makes this a strong dominant V chord, creating tension that wants to resolve back to the tonic.
*   **0:08 - 0:09:** The progression moves back to the **Ab major chord (VI)**.
*   **0:09 - 0:10:** The harmony returns to the tonic **C minor chord (i)**.
*   **0:10 - 0:11:** The clip ends on the **G major chord (V)**, leaving the progression unresolved and hanging with tension.",,,,"{""program"": ""flute"", ""progression"": ""12-bar-blues"", ""soundfont"": ""fluidr3"", ""tonic"": 54}"
progression_id/12-bar-blues_54_4::audio::mcq,progression_id/12-bar-blues_54_4,progression_id,audio,mcq,0,stimuli/progressions/12-bar-blues_54_4.wav,"Which chord progression does this clip follow?
A. I-IV-V-I
B. I-V-vi-IV
C. 12-bar-blues
D. ii-V-I
Answer with the letter of the correct option only (A, B, C, or D). Do not explain.",I-IV-V-I|I-V-vi-IV|12-bar-blues|ii-V-I,12-bar-blues,,,,,"{""program"": ""violin"", ""progression"": ""12-bar-blues"", ""soundfont"": ""musescore"", ""tonic"": 54}"
progression_id/12-bar-blues_54_4::audio::open,progression_id/12-bar-blues_54_4,progression_id,audio,open,1,stimuli/progressions/12-bar-blues_54_4.wav,"Listen to the harmony. What progression is being played?
Give a short, direct answer.",,12-bar-blues,The progression is: **I - V - vi - IV - I - IV - I** (or C - G - Am - F - C - F - C).,The progression is: **I - V - vi - IV - I - IV - I** (or C - G - Am - F - C - F - C).,False,,"{""program"": ""violin"", ""progression"": ""12-bar-blues"", ""soundfont"": ""musescore"", ""tonic"": 54}"
progression_id/12-bar-blues_54_7::audio::mcq,progression_id/12-bar-blues_54_7,progression_id,audio,mcq,0,stimuli/progressions/12-bar-blues_54_7.wav,"Which chord progression does this clip follow?
A. I-V-vi-IV
B. 12-bar-blues
C. I-IV-V-I
D. ii-V-I
Answer with the letter of the correct option only (A, B, C, or D). Do not explain.",I-V-vi-IV|12-bar-blues|I-IV-V-I|ii-V-I,12-bar-blues,A,I-V-vi-IV,False,,"{""program"": ""piano"", ""progression"": ""12-bar-blues"", ""soundfont"": ""musescore"", ""tonic"": 54}"
progression_id/12-bar-blues_56_5::audio::mcq,progression_id/12-bar-blues_56_5,progression_id,audio,mcq,0,stimuli/progressions/12-bar-blues_56_5.wav,"Which chord progression does this clip follow?
A. I-V-vi-IV
B. ii-V-I
C. I-IV-V-I
D. 12-bar-blues
Answer with the letter of the correct option only (A, B, C, or D). Do not explain.",I-V-vi-IV|ii-V-I|I-IV-V-I|12-bar-blues,12-bar-blues,A,I-V-vi-IV,False,,"{""program"": ""flute"", ""progression"": ""12-bar-blues"", ""soundfont"": ""fluidr3"", ""tonic"": 56}"
progression_id/12-bar-blues_56_5::audio::open,progression_id/12-bar-blues_56_5,progression_id,audio,open,0,stimuli/progressions/12-bar-blues_56_5.wav,"Which chord progression does this clip follow?
Give a short, direct answer.",,12-bar-blues,Cm - G - Cm - Ab - G - Cm - Ab - G,Cm - G - Cm - Ab - G - Cm - Ab - G,False,,"{""program"": ""flute"", ""progression"": ""12-bar-blues"", ""soundfont"": ""fluidr3"", ""tonic"": 56}"
progression_id/12-bar-blues_58_0::audio::mcq,progression_id/12-bar-blues_58_0,progression_id,audio,mcq,1,stimuli/progressions/12-bar-blues_58_0.wav,"Listen to the harmony. What progression is being played?
A. I-V-vi-IV
B. 12-bar-blues
C. I-IV-V-I
D. ii-V-I
Answer with the letter of the correct option only (A, B, C, or D). Do not explain.",I-V-vi-IV|12-bar-blues|I-IV-V-I|ii-V-I,12-bar-blues,C,I-IV-V-I,False,,"{""program"": ""violin"", ""progression"": ""12-bar-blues"", ""soundfont"": ""fluidr3"", ""tonic"": 58}"
progression_id/12-bar-blues_58_2::audio::mcq,progression_id/12-bar-blues_58_2,progression_id,audio,mcq,0,stimuli/progressions/12-bar-blues_58_2.wav,"Which chord progression does this clip follow?
A. I-V-vi-IV
B. ii-V-I
C. 12-bar-blues
D. I-IV-V-I
Answer with the letter of the correct option only (A, B, C, or D). Do not explain.",I-V-vi-IV|ii-V-I|12-bar-blues|I-IV-V-I,12-bar-blues,A,I-V-vi-IV,False,,"{""program"": ""synth_lead"", ""progression"": ""12-bar-blues"", ""soundfont"": ""musescore"", ""tonic"": 58}"
progression_id/12-bar-blues_58_3::audio::mcq,progression_id/12-bar-blues_58_3,progression_id,audio,mcq,1,stimuli/progressions/12-bar-blues_58_3.wav,"Listen to the harmony. What progression is being played?
A. 12-bar-blues
B. ii-V-I
C. I-V-vi-IV
D. I-IV-V-I
Answer with the letter of the correct option only (A, B, C, or D). Do not explain.",12-bar-blues|ii-V-I|I-V-vi-IV|I-IV-V-I,12-bar-blues,D,I-IV-V-I,False,,"{""program"": ""synth_lead"", ""progression"": ""12-bar-blues"", ""soundfont"": ""timgm"", ""tonic"": 58}"
progression_id/12-bar-blues_63_6::audio::mcq,progression_id/12-bar-blues_63_6,progression_id,audio,mcq,1,stimuli/progressions/12-bar-blues_63_6.wav,"Listen to the harmony. What progression is being played?
A. I-V-vi-IV
B. I-IV-V-I
C. 12-bar-blues
D. ii-V-I
Answer with the letter of the correct option only (A, B, C, or D). Do not explain.",I-V-vi-IV|I-IV-V-I|12-bar-blues|ii-V-I,12-bar-blues,A,I-V-vi-IV,False,,"{""program"": ""flute"", ""progression"": ""12-bar-blues"", ""soundfont"": ""timgm"", ""tonic"": 63}"
progression_id/I-IV-V-I_53_2::audio::mcq,progression_id/I-IV-V-I_53_2,progression_id,audio,mcq,1,stimuli/progressions/I-IV-V-I_53_2.wav,"Listen to the harmony. What progression is being played?
A. 12-bar-blues
B. I-V-vi-IV
C. I-IV-V-I
D. ii-V-I
Answer with the letter of the correct option only (A, B, C, or D). Do not explain.",12-bar-blues|I-V-vi-IV|I-IV-V-I|ii-V-I,I-IV-V-I,C,I-IV-V-I,True,,"{""program"": ""flute"", ""progression"": ""I-IV-V-I"", ""soundfont"": ""timgm"", ""tonic"": 53}"
progression_id/I-IV-V-I_53_2::audio::open,progression_id/I-IV-V-I_53_2,progression_id,audio,open,1,stimuli/progressions/I-IV-V-I_53_2.wav,"Listen to the harmony. What progression is being played?
Give a short, direct answer.",,I-IV-V-I,I - V - vi - IV,I - V - vi - IV,False,,"{""program"": ""flute"", ""progression"": ""I-IV-V-I"", ""soundfont"": ""timgm"", ""tonic"": 53}"
progression_id/I-IV-V-I_54_0::audio::mcq,progression_id/I-IV-V-I_54_0,progression_id,audio,mcq,2,stimuli/progressions/I-IV-V-I_54_0.wav,"Identify the chord progression in this passage.
A. I-V-vi-IV
B. ii-V-I
C. 12-bar-blues
D. I-IV-V-I
Answer with the letter of the correct option only (A, B, C, or D). Do not explain.",I-V-vi-IV|ii-V-I|12-bar-blues|I-IV-V-I,I-IV-V-I,D,I-IV-V-I,True,,"{""program"": ""synth_lead"", ""progression"": ""I-IV-V-I"", ""soundfont"": ""timgm"", ""tonic"": 54}"
progression_id/I-IV-V-I_54_3::audio::mcq,progression_id/I-IV-V-I_54_3,progression_id,audio,mcq,2,stimuli/progressions/I-IV-V-I_54_3.wav,"Identify the chord progression in this passage.
A. I-IV-V-I
B. I-V-vi-IV
C. 12-bar-blues
D. ii-V-I
Answer with the letter of the correct option only (A, B, C, or D). Do not explain.",I-IV-V-I|I-V-vi-IV|12-bar-blues|ii-V-I,I-IV-V-I,A,I-IV-V-I,True,,"{""program"": ""violin"", ""progression"": ""I-IV-V-I"", ""soundfont"": ""timgm"", ""tonic"": 54}"
progression_id/I-IV-V-I_55_1::audio::mcq,progression_id/I-IV-V-I_55_1,progression_id,audio,mcq,0,stimuli/progressions/I-IV-V-I_55_1.wav,"Which chord progression does this clip follow?
A. I-V-vi-IV
B. ii-V-I
C. 12-bar-blues
D. I-IV-V-I
Answer with the letter of the correct option only (A, B, C, or D). Do not explain.",I-V-vi-IV|ii-V-I|12-bar-blues|I-IV-V-I,I-IV-V-I,D,I-IV-V-I,True,,"{""program"": ""piano"", ""progression"": ""I-IV-V-I"", ""soundfont"": ""fluidr3"", ""tonic"": 55}"
progression_id/I-IV-V-I_55_1::audio::open,progression_id/I-IV-V-I_55_1,progression_id,audio,open,0,stimuli/progressions/I-IV-V-I_55_1.wav,"Which chord progression does this clip follow?
Give a short, direct answer.",,I-IV-V-I,I - vi - IV - V (C - Am - F - G),I - vi - IV - V (C - Am - F - G),False,,"{""program"": ""piano"", ""progression"": ""I-IV-V-I"", ""soundfont"": ""fluidr3"", ""tonic"": 55}"
progression_id/I-IV-V-I_59_4::audio::mcq,progression_id/I-IV-V-I_59_4,progression_id,audio,mcq,0,stimuli/progressions/I-IV-V-I_59_4.wav,"Which chord progression does this clip follow?
A. I-IV-V-I
B. I-V-vi-IV
C. ii-V-I
D. 12-bar-blues
Answer with the letter of the correct option only (A, B, C, or D). Do not explain.",I-IV-V-I|I-V-vi-IV|ii-V-I|12-bar-blues,I-IV-V-I,A,I-IV-V-I,True,,"{""program"": ""flute"", ""progression"": ""I-IV-V-I"", ""soundfont"": ""timgm"", ""tonic"": 59}"
