job_id,stimulus_id,task,condition,format,paraphrase_idx,audio_path,prompt,options,ground_truth,raw_response,parsed,correct,error,factors
mode_id/blues_57_bare_scale::audio::mcq,mode_id/blues_57_bare_scale,mode_id,audio,mcq,1,stimuli/mode/blues_57_bare_scale.wav,"Listen to the clip. Which scale/mode is being used?
A. blues scale
B. Lydian
C. major
D. Locrian
Answer with the letter of the correct option only (A, B, C, or D). Do not explain.",blues scale|Lydian|major|Locrian,blues scale,D,Locrian,False,,"{""form"": ""bare_scale"", ""mode"": ""blues"", ""program"": ""violin"", ""soundfont"": ""timgm"", ""tonic_midi"": 57}"
mode_id/blues_57_bare_scale::audio::explain,mode_id/blues_57_bare_scale,mode_id,audio,explain,1,stimuli/mode/blues_57_bare_scale.wav,"Listen to the clip. Which scale/mode is being used?
First give your answer. Then explain exactly what you heard that supports it: name the specific notes/chords/beats and their approximate timestamps in seconds.",,blues scale,"The scale/mode used is A minor. I heard the note A3 at approximately 2.50 seconds, which is a characteristic of the A minor scale.",,,,"{""form"": ""bare_scale"", ""mode"": ""blues"", ""program"": ""violin"", ""soundfont"": ""timgm"", ""tonic_midi"": 57}"
mode_id/blues_57_melody_drone::audio::mcq,mode_id/blues_57_melody_drone,mode_id,audio,mcq,0,stimuli/mode/blues_57_melody_drone.wav,"What scale or mode is this music based on?
A. blues scale
B. major
C. melodic minor
D. Locrian
Answer with the letter of the correct option only (A, B, C, or D). Do not explain.",blues scale|major|melodic minor|Locrian,blues scale,C,melodic minor,False,,"{""form"": ""melody_drone"", ""mode"": ""blues"", ""program"": ""synth_lead"", ""soundfont"": ""timgm"", ""tonic_midi"": 57}"
mode_id/blues_60_bare_scale::audio::mcq,mode_id/blues_60_bare_scale,mode_id,audio,mcq,0,stimuli/mode/blues_60_bare_scale.wav,"What scale or mode is this music based on?
A. Phrygian
B. major pentatonic
C. natural minor
D. blues scale
Answer with the letter of the correct option only (A, B, C, or D). Do not explain.",Phrygian|major pentatonic|natural minor|blues scale,blues scale,C,natural minor,False,,"{""form"": ""bare_scale"", ""mode"": ""blues"", ""program"": ""flute"", ""soundfont"": ""musescore"", ""tonic_midi"": 60}"
mode_id/blues_60_bare_scale::audio::open,mode_id/blues_60_bare_scale,mode_id,audio,open,2,stimuli/mode/blues_60_bare_scale.wav,"Identify the mode or scale type of this passage.
Give a short, direct answer.",,blues scale,F major.,F major.,False,,"{""form"": ""bare_scale"", ""mode"": ""blues"", ""program"": ""flute"", ""soundfont"": ""musescore"", ""tonic_midi"": 60}"
mode_id/blues_60_melody_drone::audio::mcq,mode_id/blues_60_melody_drone,mode_id,audio,mcq,0,stimuli/mode/blues_60_melody_drone.wav,"What scale or mode is this music based on?
A. Lydian
B. Dorian
C. blues scale
D. major
Answer with the letter of the correct option only (A, B, C, or D). Do not explain.",Lydian|Dorian|blues scale|major,blues scale,D,major,False,,"{""form"": ""melody_drone"", ""mode"": ""blues"", ""program"": ""flute"", ""soundfont"": ""timgm"", ""tonic_midi"": 60}"
mode_id/blues_60_melody_drone::audio::open,mode_id/blues_60_melody_drone,mode_id,audio,open,1,stimuli/mode/blues_60_melody_drone.wav,"Listen to the clip. Which scale/mode is being used?
Give a short, direct answer.",,blues scale,D minor,D minor,False,,"{""form"": ""melody_drone"", ""mode"": ""blues"", ""program"": ""flute"", ""soundfont"": ""timgm"", ""tonic_midi"": 60}"
mode_id/blues_62_bare_scale::audio::mcq,mode_id/blues_62_bare_scale,mode_id,audio,mcq,0,stimuli/mode/blues_62_bare_scale.wav,"What scale or mode is this music based on?
A. blues scale
B. natural minor
C. Mixolydian
D. melodic minor
Answer with the letter of the correct option only (A, B, C, or D). Do not explain.",blues scale|natural minor|Mixolydian|melodic minor,blues scale,D,melodic minor,False,,"{""form"": ""bare_scale"", ""mode"": ""blues"", ""program"": ""synth_lead"", ""soundfont"": ""timgm"", ""tonic_midi"": 62}"
mode_id/blues_62_melody_drone::audio::mcq,mode_id/blues_62_melody_drone,mode_id,audio,mcq,2,stimuli/mode/blues_62_melody_drone.wav,"Identify the mode or scale type of this passage.
A. whole-tone
B. blues scale
C. Mixolydian
D. major
Answer with the letter of the correct option only (A, B, C, or D). Do not explain.",whole-tone|blues scale|Mixolydian|major,blues scale,C,Mixolydian,False,,"{""form"": ""melody_drone"", ""mode"": ""blues"", ""program"": ""piano"", ""soundfont"": ""fluidr3"", ""tonic_midi"": 62}"
mode_id/blues_64_bare_scale::audio::mcq,mode_id/blues_64_bare_scale,mode_id,audio,mcq,0,stimuli/mode/blues_64_bare_scale.wav,"What scale or mode is this music based on?
A. whole-tone
B. melodic minor
C. blues scale
D. Phrygian
Answer with the letter of the correct option only (A, B, C, or D). Do not explain.",whole-tone|melodic minor|blues scale|Phrygian,blues scale,C,blues scale,True,,"{""form"": ""bare_scale"", ""mode"": ""blues"", ""program"": ""synth_lead"", ""soundfont"": ""timgm"", ""tonic_midi"": 64}"
mode_id/blues_64_bare_scale::audio::explain,mode_id/blues_64_bare_scale,mode_id,audio,explain,1,stimuli/mode/blues_64_bare_scale.wav,"Listen to the clip. Which scale/mode is being used?
First give your answer. Then explain exactly what you heard that supports it: name the specific notes/chords/beats and their approximate timestamps in seconds.",,blues scale,"The scale used is A major. I heard an A4 note at approximately 0.79s seconds, which is a characteristic of the A major scale.",,,,"{""form"": ""bare_scale"", ""mode"": ""blues"", ""program"": ""synth_lead"", ""soundfont"": ""timgm"", ""tonic_midi"": 64}"
mode_id/blues_64_melody_drone::audio::mcq,mode_id/blues_64_melody_drone,mode_id,audio,mcq,0,stimuli/mode/blues_64_melody_drone.wav,"What scale or mode is this music based on?
A. Phrygian
B. melodic minor
C. Locrian
D. blues scale
Answer with the letter of the correct option only (A, B, C, or D). Do not explain.",Phrygian|melodic minor|Locrian|blues scale,blues scale,B,melodic minor,False,,"{""form"": ""melody_drone"", ""mode"": ""blues"", ""program"": ""flute"", ""soundfont"": ""musescore"", ""tonic_midi"": 64}"
mode_id/dorian_57_bare_scale::audio::mcq,mode_id/dorian_57_bare_scale,mode_id,audio,mcq,0,stimuli/mode/dorian_57_bare_scale.wav,"What scale or mode is this music based on?
A. major pentatonic
B. Dorian
C. Locrian
D. blues scale
Answer with the letter of the correct option only (A, B, C, or D). Do not explain.",major pentatonic|Dorian|Locrian|blues scale,Dorian,D,blues scale,False,,"{""form"": ""bare_scale"", ""mode"": ""dorian"", ""program"": ""piano"", ""soundfont"": ""fluidr3"", ""tonic_midi"": 57}"
mode_id/dorian_57_melody_drone::audio::mcq,mode_id/dorian_57_melody_drone,mode_id,audio,mcq,2,stimuli/mode/dorian_57_melody_drone.wav,"Identify the mode or scale type of this passage.
A. Dorian
B. Phrygian
C. melodic minor
D. natural minor
Answer with the letter of the correct option only (A, B, C, or D). Do not explain.",Dorian|Phrygian|melodic minor|natural minor,Dorian,D,natural minor,False,,"{""form"": ""melody_drone"", ""mode"": ""dorian"", ""program"": ""synth_lead"", ""soundfont"": ""fluidr3"", ""tonic_midi"": 57}"
mode_id/dorian_60_bare_scale::audio::mcq,mode_id/dorian_60_bare_scale,mode_id,audio,mcq,2,stimuli/mode/dorian_60_bare_scale.wav,"Identify the mode or scale type of this passage.
A. minor pentatonic
B. natural minor
C. Dorian
D. Phrygian
Answer with the letter of the correct option only (A, B, C, or D). Do not explain.",minor pentatonic|natural minor|Dorian|Phrygian,Dorian,D,Phrygian,False,,"{""form"": ""bare_scale"", ""mode"": ""dorian"", ""program"": ""piano"", ""soundfont"": ""musescore"", ""tonic_midi"": 60}"
mode_id/dorian_60_melody_drone::audio::mcq,mode_id/dorian_60_melody_drone,mode_id,audio,mcq,0,stimuli/mode/dorian_60_melody_drone.wav,"What scale or mode is this music based on?
A. harmonic minor
B. natural minor
C. Dorian
D. Phrygian
Answer with the letter of the correct option only (A, B, C, or D). Do not explain.",harmonic minor|natural minor|Dorian|Phrygian,Dorian,C,Dorian,True,,"{""form"": ""melody_drone"", ""mode"": ""dorian"", ""program"": ""flute"", ""soundfont"": ""fluidr3"", ""tonic_midi"": 60}"
mode_id/dorian_62_bare_scale::audio::mcq,mode_id/dorian_62_bare_scale,mode_id,audio,mcq,1,stimuli/mode/dorian_62_bare_scale.wav,"Listen to the clip. Which scale/mode is being used?
A. blues scale
B. Dorian
C. melodic minor
D. major pentatonic
Answer with the letter of the correct option only (A, B, C, or D). Do not explain.",blues scale|Dorian|melodic minor|major pentatonic,Dorian,C,melodic minor,False,,"{""form"": ""bare_scale"", ""mode"": ""dorian"", ""program"": ""piano"", ""soundfont"": ""musescore"", ""tonic_midi"": 62}"
mode_id/dorian_62_melody_drone::audio::mcq,mode_id/dorian_62_melody_drone,mode_id,audio,mcq,0,stimuli/mode/dorian_62_melody_drone.wav,"What scale or mode is this music based on?
A. Mixolydian
B. natural minor
C. Dorian
D. Phrygian
Answer with the letter of the correct option only (A, B, C, or D). Do not explain.",Mixolydian|natural minor|Dorian|Phrygian,Dorian,B,natural minor,False,,"{""form"": ""melody_drone"", ""mode"": ""dorian"", ""program"": ""piano"", ""soundfont"": ""timgm"", ""tonic_midi"": 62}"
mode_id/dorian_64_bare_scale::audio::mcq,mode_id/dorian_64_bare_scale,mode_id,audio,mcq,2,stimuli/mode/dorian_64_bare_scale.wav,"Identify the mode or scale type of this passage.
A. harmonic minor
B. whole-tone
C. major
D. Dorian
Answer with the letter of the correct option only (A, B, C, or D). Do not explain.",harmonic minor|whole-tone|major|Dorian,Dorian,D,Dorian,True,,"{""form"": ""bare_scale"", ""mode"": ""dorian"", ""program"": ""piano"", ""soundfont"": ""timgm"", ""tonic_midi"": 64}"
mode_id/dorian_64_melody_drone::audio::mcq,mode_id/dorian_64_melody_drone,mode_id,audio,mcq,1,stimuli/mode/dorian_64_melody_drone.wav,"Listen to the clip. Which scale/mode is being used?
A. major pentatonic
B. major
C. Dorian
D. whole-tone
Answer with the letter of the correct option only (A, B, C, or D). Do not explain.",major pentatonic|major|Dorian|whole-tone,Dorian,C,Dorian,True,,"{""form"": ""melody_drone"", ""mode"": ""dorian"", ""program"": ""flute"", ""soundfont"": ""timgm"", ""tonic_midi"": 64}"
mode_id/dorian_64_melody_drone::audio::explain,mode_id/dorian_64_melody_drone,mode_id,audio,explain,1,stimuli/mode/dorian_64_melody_drone.wav,"Listen to the clip. Which scale/mode is being used?
First give your answer. Then explain exactly what you heard that supports it: name the specific notes/chords/beats and their approximate timestamps in seconds.",,Dorian,"The scale used is A minor. I heard the note A3 at approximately 2.50 seconds, which is a characteristic of the A minor scale.",,,,"{""form"": ""melody_drone"", ""mode"": ""dorian"", ""program"": ""flute"", ""soundfont"": ""timgm"", ""tonic_midi"": 64}"
mode_id/harmonic_minor_57_bare_scale::audio::mcq,mode_id/harmonic_minor_57_bare_scale,mode_id,audio,mcq,1,stimuli/mode/harmonic_minor_57_bare_scale.wav,"Listen to the clip. Which scale/mode is being used?
A. blues scale
B. Locrian
C. natural minor
D. harmonic minor
Answer with the letter of the correct option only (A, B, C, or D). Do not explain.",blues scale|Locrian|natural minor|harmonic minor,harmonic minor,D,harmonic minor,True,,"{""form"": ""bare_scale"", ""mode"": ""harmonic_minor"", ""program"": ""piano"", ""soundfont"": ""musescore"", ""tonic_midi"": 57}"
mode_id/harmonic_minor_57_bare_scale::audio::open,mode_id/harmonic_minor_57_bare_scale,mode_id,audio,open,0,stimuli/mode/harmonic_minor_57_bare_scale.wav,"What scale or mode is this music based on?
Give a short, direct answer.",,harmonic minor,D minor,D minor,False,,"{""form"": ""bare_scale"", ""mode"": ""harmonic_minor"", ""program"": ""piano"", ""soundfont"": ""musescore"", ""tonic_midi"": 57}"
mode_id/harmonic_minor_57_melody_drone::audio::mcq,mode_id/harmonic_minor_57_melody_drone,mode_id,audio,mcq,0,stimuli/mode/harmonic_minor_57_melody_drone.wav,"What scale or mode is this music based on?
A. Mixolydian
B. major
C. natural minor
D. harmonic minor
Answer with the letter of the correct option only (A, B, C, or D). Do not explain.",Mixolydian|major|natural minor|harmonic minor,harmonic minor,D,harmonic minor,True,,"{""form"": ""melody_drone"", ""mode"": ""harmonic_minor"", ""program"": ""flute"", ""soundfont"": ""musescore"", ""tonic_midi"": 57}"
mode_id/harmonic_minor_60_bare_scale::audio::mcq,mode_id/harmonic_minor_60_bare_scale,mode_id,audio,mcq,1,stimuli/mode/harmonic_minor_60_bare_scale.wav,"Listen to the clip. Which scale/mode is being used?
A. natural minor
B. Dorian
C. harmonic minor
D. melodic minor
Answer with the letter of the correct option only (A, B, C, or D). Do not explain.",natural minor|Dorian|harmonic minor|melodic minor,harmonic minor,D,melodic minor,False,,"{""form"": ""bare_scale"", ""mode"": ""harmonic_minor"", ""program"": ""piano"", ""soundfont"": ""musescore"", ""tonic_midi"": 60}"
