job_id,stimulus_id,task,condition,format,paraphrase_idx,audio_path,prompt,options,ground_truth,raw_response,parsed,correct,error,factors
tempo_bpm/tempo_000::audio::open,tempo_bpm/tempo_000,tempo_bpm,audio,open,2,stimuli/tempo/tempo_000.wav,"How fast is this clip in beats per minute? Give only a numeric answer.
Give a short, direct answer.",,134.1,120,120,False,,"{""bpm"": 134.1, ""meter"": ""4/4"", ""n_bars"": 6}"
tempo_bpm/tempo_001::audio::open,tempo_bpm/tempo_001,tempo_bpm,audio,open,2,stimuli/tempo/tempo_001.wav,"How fast is this clip in beats per minute? Give only a numeric answer.
Give a short, direct answer.",,143.0,120,120,False,,"{""bpm"": 143.0, ""meter"": ""4/4"", ""n_bars"": 6}"
tempo_bpm/tempo_002::audio::open,tempo_bpm/tempo_002,tempo_bpm,audio,open,0,stimuli/tempo/tempo_002.wav,"What is the tempo of this clip, in beats per minute? Answer with a number only.
Give a short, direct answer.",,150.2,120,120,False,,"{""bpm"": 150.2, ""meter"": ""4/4"", ""n_bars"": 7}"
tempo_bpm/tempo_003::audio::open,tempo_bpm/tempo_003,tempo_bpm,audio,open,0,stimuli/tempo/tempo_003.wav,"What is the tempo of this clip, in beats per minute? Answer with a number only.
Give a short, direct answer.",,179.5,120,120,False,,"{""bpm"": 179.5, ""meter"": ""4/4"", ""n_bars"": 8}"
tempo_bpm/tempo_004::audio::open,tempo_bpm/tempo_004,tempo_bpm,audio,open,1,stimuli/tempo/tempo_004.wav,"Estimate the BPM (beats per minute) of this rhythm. Reply with just the number.
Give a short, direct answer.",,100.3,60,60,False,,"{""bpm"": 100.3, ""meter"": ""4/4"", ""n_bars"": 5}"
tempo_bpm/tempo_005::audio::open,tempo_bpm/tempo_005,tempo_bpm,audio,open,1,stimuli/tempo/tempo_005.wav,"Estimate the BPM (beats per minute) of this rhythm. Reply with just the number.
Give a short, direct answer.",,173.4,120,120,False,,"{""bpm"": 173.4, ""meter"": ""4/4"", ""n_bars"": 8}"
tempo_bpm/tempo_006::audio::open,tempo_bpm/tempo_006,tempo_bpm,audio,open,1,stimuli/tempo/tempo_006.wav,"Estimate the BPM (beats per minute) of this rhythm. Reply with just the number.
Give a short, direct answer.",,70.0,120,120,False,,"{""bpm"": 70.0, ""meter"": ""4/4"", ""n_bars"": 4}"
tempo_bpm/tempo_007::audio::open,tempo_bpm/tempo_007,tempo_bpm,audio,open,1,stimuli/tempo/tempo_007.wav,"Estimate the BPM (beats per minute) of this rhythm. Reply with just the number.
Give a short, direct answer.",,142.2,120,120,False,,"{""bpm"": 142.2, ""meter"": ""4/4"", ""n_bars"": 6}"
tempo_bpm/tempo_008::audio::open,tempo_bpm/tempo_008,tempo_bpm,audio,open,2,stimuli/tempo/tempo_008.wav,"How fast is this clip in beats per minute? Give only a numeric answer.
Give a short, direct answer.",,75.5,60,60,False,,"{""bpm"": 75.5, ""meter"": ""4/4"", ""n_bars"": 4}"
tempo_bpm/tempo_009::audio::open,tempo_bpm/tempo_009,tempo_bpm,audio,open,2,stimuli/tempo/tempo_009.wav,"How fast is this clip in beats per minute? Give only a numeric answer.
Give a short, direct answer.",,99.0,120,120,False,,"{""bpm"": 99.0, ""meter"": ""4/4"", ""n_bars"": 5}"
tempo_bpm/tempo_010::audio::open,tempo_bpm/tempo_010,tempo_bpm,audio,open,0,stimuli/tempo/tempo_010.wav,"What is the tempo of this clip, in beats per minute? Answer with a number only.
Give a short, direct answer.",,79.4,60,60,False,,"{""bpm"": 79.4, ""meter"": ""4/4"", ""n_bars"": 4}"
tempo_bpm/tempo_010::audio::explain,tempo_bpm/tempo_010,tempo_bpm,audio,explain,2,stimuli/tempo/tempo_010.wav,"How fast is this clip in beats per minute? Give only a numeric answer.
First give your answer. Then explain exactly what you heard that supports it: name the specific notes/chords/beats and their approximate timestamps in seconds.",,79.4,"80

The tempo is established by a steady pulse of four beats per measure. The first beat of each measure is a high-pitched click, while beats two, three, and four are lower-pitched clicks.

- **High-pitched beat 1** occurs at 00:00.0
- **Low-pitched beat 2** occurs at 00:00.75
- **Low-pitched beat 3** occurs at 00:01.5
- **Low-pitched beat 4** occurs at 00:02.25
- **High-pitched beat 1** (of the next measure) occurs at 00:03.0

The interval between each consecutive beat is 0.75 seconds. To calculate the beats per minute (BPM), you divide 60 by the duration of a single beat: 60 / 0.75 = 80 BPM.",,,,"{""bpm"": 79.4, ""meter"": ""4/4"", ""n_bars"": 4}"
tempo_bpm/tempo_011::audio::open,tempo_bpm/tempo_011,tempo_bpm,audio,open,0,stimuli/tempo/tempo_011.wav,"What is the tempo of this clip, in beats per minute? Answer with a number only.
Give a short, direct answer.",,82.7,120,120,False,,"{""bpm"": 82.7, ""meter"": ""4/4"", ""n_bars"": 4}"
tempo_bpm/tempo_012::audio::open,tempo_bpm/tempo_012,tempo_bpm,audio,open,2,stimuli/tempo/tempo_012.wav,"How fast is this clip in beats per minute? Give only a numeric answer.
Give a short, direct answer.",,85.5,120,120,False,,"{""bpm"": 85.5, ""meter"": ""4/4"", ""n_bars"": 4}"
tempo_bpm/tempo_013::audio::open,tempo_bpm/tempo_013,tempo_bpm,audio,open,2,stimuli/tempo/tempo_013.wav,"How fast is this clip in beats per minute? Give only a numeric answer.
Give a short, direct answer.",,133.3,120,120,False,,"{""bpm"": 133.3, ""meter"": ""4/4"", ""n_bars"": 6}"
tempo_bpm/tempo_014::audio::open,tempo_bpm/tempo_014,tempo_bpm,audio,open,0,stimuli/tempo/tempo_014.wav,"What is the tempo of this clip, in beats per minute? Answer with a number only.
Give a short, direct answer.",,75.0,60,60,False,,"{""bpm"": 75.0, ""meter"": ""4/4"", ""n_bars"": 4}"
tempo_bpm/tempo_015::audio::open,tempo_bpm/tempo_015,tempo_bpm,audio,open,1,stimuli/tempo/tempo_015.wav,"Estimate the BPM (beats per minute) of this rhythm. Reply with just the number.
Give a short, direct answer.",,149.8,120,120,False,,"{""bpm"": 149.8, ""meter"": ""4/4"", ""n_bars"": 7}"
tempo_bpm/tempo_016::audio::open,tempo_bpm/tempo_016,tempo_bpm,audio,open,0,stimuli/tempo/tempo_016.wav,"What is the tempo of this clip, in beats per minute? Answer with a number only.
Give a short, direct answer.",,120.8,60,60,False,,"{""bpm"": 120.8, ""meter"": ""4/4"", ""n_bars"": 6}"
tempo_bpm/tempo_017::audio::open,tempo_bpm/tempo_017,tempo_bpm,audio,open,0,stimuli/tempo/tempo_017.wav,"What is the tempo of this clip, in beats per minute? Answer with a number only.
Give a short, direct answer.",,64.7,60,60,True,,"{""bpm"": 64.7, ""meter"": ""4/4"", ""n_bars"": 4}"
tempo_bpm/tempo_018::audio::open,tempo_bpm/tempo_018,tempo_bpm,audio,open,1,stimuli/tempo/tempo_018.wav,"Estimate the BPM (beats per minute) of this rhythm. Reply with just the number.
Give a short, direct answer.",,56.6,75,75,False,,"{""bpm"": 56.6, ""meter"": ""4/4"", ""n_bars"": 4}"
