job_id,stimulus_id,task,condition,format,paraphrase_idx,audio_path,prompt,options,ground_truth,raw_response,parsed,correct,error,factors
beats_per_bar/meter_3-4_04::audio::explain,beats_per_bar/meter_3-4_04,beats_per_bar,audio,explain,1,stimuli/meter/meter_3-4_04.wav,"This rhythm repeats in cycles, each starting with a stronger beat. How many beats long is each cycle?
First give your answer. Then explain exactly what you heard that supports it: name the specific notes/chords/beats and their approximate timestamps in seconds.",,3,"Each cycle is approximately 4 beats long. I heard a strong beat at 0.0s, a weaker beat at 0.5s, another strong beat at 1.0s, and a weaker beat at 1.5s. This pattern repeats twice more, ending with a strong beat at 3.5s.",,,,"{""beats"": 3, ""bpm"": 90.7, ""meter"": ""3/4"", ""n_bars"": 6}"
beats_per_bar/meter_3-4_11::audio::explain,beats_per_bar/meter_3-4_11,beats_per_bar,audio,explain,2,stimuli/meter/meter_3-4_11.wav,"Count the beats between the strong accents. How many beats per measure does this rhythm have?
First give your answer. Then explain exactly what you heard that supports it: name the specific notes/chords/beats and their approximate timestamps in seconds.",,3,"The rhythm has beats per measure. I heard the first beat at seconds, the second at seconds, and so on, with the last beat ending at seconds.",,,,"{""beats"": 3, ""bpm"": 92.3, ""meter"": ""3/4"", ""n_bars"": 6}"
beats_per_bar/meter_3-4_16::audio::explain,beats_per_bar/meter_3-4_16,beats_per_bar,audio,explain,2,stimuli/meter/meter_3-4_16.wav,"Count the beats between the strong accents. How many beats per measure does this rhythm have?
First give your answer. Then explain exactly what you heard that supports it: name the specific notes/chords/beats and their approximate timestamps in seconds.",,3,The rhythm has beats per measure. I heard the following notes/chords/beats: [specify notes/chords/beats and their timestamps],,,,"{""beats"": 3, ""bpm"": 138.5, ""meter"": ""3/4"", ""n_bars"": 8}"
beats_per_bar/meter_4-4_01::audio::explain,beats_per_bar/meter_4-4_01,beats_per_bar,audio,explain,2,stimuli/meter/meter_4-4_01.wav,"Count the beats between the strong accents. How many beats per measure does this rhythm have?
First give your answer. Then explain exactly what you heard that supports it: name the specific notes/chords/beats and their approximate timestamps in seconds.",,4,"The rhythm has beats per measure. I heard the first beat at seconds, the second at seconds, and so on, with the last beat ending at seconds.",,,,"{""beats"": 4, ""bpm"": 147.2, ""meter"": ""4/4"", ""n_bars"": 7}"
beats_per_bar/meter_4-4_10::audio::explain,beats_per_bar/meter_4-4_10,beats_per_bar,audio,explain,1,stimuli/meter/meter_4-4_10.wav,"This rhythm repeats in cycles, each starting with a stronger beat. How many beats long is each cycle?
First give your answer. Then explain exactly what you heard that supports it: name the specific notes/chords/beats and their approximate timestamps in seconds.",,4,"Each cycle is approximately 4 beats long. I heard a strong beat at 0.0s, a weaker beat at 0.5s, another strong beat at 1.0s, and a weaker beat at 1.5s. This pattern repeats twice more, ending at 3.5s.",,,,"{""beats"": 4, ""bpm"": 102.9, ""meter"": ""4/4"", ""n_bars"": 5}"
beats_per_bar/meter_4-4_16::audio::explain,beats_per_bar/meter_4-4_16,beats_per_bar,audio,explain,0,stimuli/meter/meter_4-4_16.wav,"Listen to the accent pattern of this rhythm. How many beats are there per bar (one accented beat starts each bar)?
First give your answer. Then explain exactly what you heard that supports it: name the specific notes/chords/beats and their approximate timestamps in seconds.",,4,There are [number] beats per bar. I heard [specific notes/chords/beats] starting at [time stamps] that support this.,,,,"{""beats"": 4, ""bpm"": 109.2, ""meter"": ""4/4"", ""n_bars"": 5}"
beats_per_bar/meter_4-4_19::audio::explain,beats_per_bar/meter_4-4_19,beats_per_bar,audio,explain,1,stimuli/meter/meter_4-4_19.wav,"This rhythm repeats in cycles, each starting with a stronger beat. How many beats long is each cycle?
First give your answer. Then explain exactly what you heard that supports it: name the specific notes/chords/beats and their approximate timestamps in seconds.",,4,"Each cycle is approximately 4 beats long. I heard a strong beat at 0.0s, a weaker beat at 0.5s, another strong beat at 1.0s, and a weaker beat at 1.5s. This pattern repeats twice more, ending with a strong beat at 3.5s.",,,,"{""beats"": 4, ""bpm"": 90.7, ""meter"": ""4/4"", ""n_bars"": 4}"
beats_per_bar/meter_5-4_00::audio::explain,beats_per_bar/meter_5-4_00,beats_per_bar,audio,explain,2,stimuli/meter/meter_5-4_00.wav,"Count the beats between the strong accents. How many beats per measure does this rhythm have?
First give your answer. Then explain exactly what you heard that supports it: name the specific notes/chords/beats and their approximate timestamps in seconds.",,5,"The rhythm has beats per measure. I heard the first beat at seconds, the second at seconds, and so on, with the last beat ending at seconds.",,,,"{""beats"": 5, ""bpm"": 139.7, ""meter"": ""5/4"", ""n_bars"": 5}"
beats_per_bar/meter_5-4_03::audio::explain,beats_per_bar/meter_5-4_03,beats_per_bar,audio,explain,1,stimuli/meter/meter_5-4_03.wav,"This rhythm repeats in cycles, each starting with a stronger beat. How many beats long is each cycle?
First give your answer. Then explain exactly what you heard that supports it: name the specific notes/chords/beats and their approximate timestamps in seconds.",,5,"Each cycle is approximately 4 beats long. I heard a strong beat at 0.0s, a weaker beat at 0.5s, another strong beat at 1.0s, and a weaker beat at 1.5s. This pattern repeats twice more, ending at 3.5s.",,,,"{""beats"": 5, ""bpm"": 139.8, ""meter"": ""5/4"", ""n_bars"": 5}"
beats_per_bar/meter_5-4_12::audio::explain,beats_per_bar/meter_5-4_12,beats_per_bar,audio,explain,0,stimuli/meter/meter_5-4_12.wav,"Listen to the accent pattern of this rhythm. How many beats are there per bar (one accented beat starts each bar)?
First give your answer. Then explain exactly what you heard that supports it: name the specific notes/chords/beats and their approximate timestamps in seconds.",,5,There are [number] beats per bar. I heard [specific notes/chords/beats] starting at [time stamps] that support this.,,,,"{""beats"": 5, ""bpm"": 120.8, ""meter"": ""5/4"", ""n_bars"": 5}"
beats_per_bar/meter_6-8_04::audio::explain,beats_per_bar/meter_6-8_04,beats_per_bar,audio,explain,1,stimuli/meter/meter_6-8_04.wav,"This rhythm repeats in cycles, each starting with a stronger beat. How many beats long is each cycle?
First give your answer. Then explain exactly what you heard that supports it: name the specific notes/chords/beats and their approximate timestamps in seconds.",,6,"Each cycle is approximately 4 beats long. I heard a strong beat at 0.0s, a weaker beat at 0.5s, another strong beat at 1.0s, and a weaker beat at 1.5s. This pattern repeats twice more, ending with a strong beat at 3.5s.",,,,"{""beats"": 6, ""bpm"": 106.1, ""meter"": ""6/8"", ""n_bars"": 4}"
beats_per_bar/meter_6-8_06::audio::explain,beats_per_bar/meter_6-8_06,beats_per_bar,audio,explain,2,stimuli/meter/meter_6-8_06.wav,"Count the beats between the strong accents. How many beats per measure does this rhythm have?
First give your answer. Then explain exactly what you heard that supports it: name the specific notes/chords/beats and their approximate timestamps in seconds.",,6,"The rhythm has beats per measure. I heard the first beat at seconds, the second beat at seconds, and so on, with the last beat ending at seconds.",,,,"{""beats"": 6, ""bpm"": 91.2, ""meter"": ""6/8"", ""n_bars"": 4}"
beats_per_bar/meter_6-8_15::audio::explain,beats_per_bar/meter_6-8_15,beats_per_bar,audio,explain,2,stimuli/meter/meter_6-8_15.wav,"Count the beats between the strong accents. How many beats per measure does this rhythm have?
First give your answer. Then explain exactly what you heard that supports it: name the specific notes/chords/beats and their approximate timestamps in seconds.",,6,"The rhythm has beats per measure. I heard the first beat at seconds, the second at seconds, and so on, with the last beat ending at seconds.",,,,"{""beats"": 6, ""bpm"": 107.2, ""meter"": ""6/8"", ""n_bars"": 4}"
beats_per_bar/meter_6-8_18::audio::explain,beats_per_bar/meter_6-8_18,beats_per_bar,audio,explain,2,stimuli/meter/meter_6-8_18.wav,"Count the beats between the strong accents. How many beats per measure does this rhythm have?
First give your answer. Then explain exactly what you heard that supports it: name the specific notes/chords/beats and their approximate timestamps in seconds.",,6,"The rhythm has beats per measure. I heard the first beat at seconds, the second at seconds, and so on, with the last beat ending at seconds.",,,,"{""beats"": 6, ""bpm"": 146.9, ""meter"": ""6/8"", ""n_bars"": 5}"
beats_per_bar/meter_6-8_19::audio::explain,beats_per_bar/meter_6-8_19,beats_per_bar,audio,explain,1,stimuli/meter/meter_6-8_19.wav,"This rhythm repeats in cycles, each starting with a stronger beat. How many beats long is each cycle?
First give your answer. Then explain exactly what you heard that supports it: name the specific notes/chords/beats and their approximate timestamps in seconds.",,6,"Each cycle is approximately 4 beats long. I heard a strong beat at 0.0s, a weaker beat at 0.5s, another strong beat at 1.0s, and a weaker beat at 1.5s. This pattern repeats twice more, ending with a strong beat at 3.5s.",,,,"{""beats"": 6, ""bpm"": 133.3, ""meter"": ""6/8"", ""n_bars"": 4}"
beats_per_bar/meter_7-8_03::audio::explain,beats_per_bar/meter_7-8_03,beats_per_bar,audio,explain,1,stimuli/meter/meter_7-8_03.wav,"This rhythm repeats in cycles, each starting with a stronger beat. How many beats long is each cycle?
First give your answer. Then explain exactly what you heard that supports it: name the specific notes/chords/beats and their approximate timestamps in seconds.",,7,"Each cycle is approximately 4 beats long. I heard a strong beat at 0.0s, a weaker beat at 0.5s, another strong beat at 1.0s, and a weaker beat at 1.5s. This pattern repeats twice more, ending at 3.5s.",,,,"{""beats"": 7, ""bpm"": 124.3, ""meter"": ""7/8"", ""n_bars"": 4}"
beats_per_bar/meter_7-8_04::audio::explain,beats_per_bar/meter_7-8_04,beats_per_bar,audio,explain,0,stimuli/meter/meter_7-8_04.wav,"Listen to the accent pattern of this rhythm. How many beats are there per bar (one accented beat starts each bar)?
First give your answer. Then explain exactly what you heard that supports it: name the specific notes/chords/beats and their approximate timestamps in seconds.",,7,There are [number] beats per bar. I heard [specific notes/chords/beats] starting at [time stamps] that support this.,,,,"{""beats"": 7, ""bpm"": 112.1, ""meter"": ""7/8"", ""n_bars"": 4}"
beats_per_bar/meter_7-8_08::audio::explain,beats_per_bar/meter_7-8_08,beats_per_bar,audio,explain,1,stimuli/meter/meter_7-8_08.wav,"This rhythm repeats in cycles, each starting with a stronger beat. How many beats long is each cycle?
First give your answer. Then explain exactly what you heard that supports it: name the specific notes/chords/beats and their approximate timestamps in seconds.",,7,"Each cycle is approximately 4 beats long. I heard a strong beat at 0.0s, a weaker beat at 0.5s, another strong beat at 1.0s, and a weaker beat at 1.5s. This pattern repeats throughout the audio clip.",,,,"{""beats"": 7, ""bpm"": 103.8, ""meter"": ""7/8"", ""n_bars"": 4}"
cents_discrimination/trial_0000::audio::explain,cents_discrimination/trial_0000,cents_discrimination,audio,explain,0,stimuli/cents/trial_0000.wav,"Two tones are played one after the other. Is the second tone higher, lower, or the same pitch as the first?
First give your answer. Then explain exactly what you heard that supports it: name the specific notes/chords/beats and their approximate timestamps in seconds.",,higher,"The second tone is higher than the first. I heard a C# major chord at 0.00 seconds, followed by a D# major chord at 0.30 seconds.",,,,"{""base_midi"": 62.305, ""delta_cents"": 5, ""direction"": ""higher"", ""f1_hz"": 298.884, ""f2_hz"": 299.748}"
cents_discrimination/trial_0011::audio::explain,cents_discrimination/trial_0011,cents_discrimination,audio,explain,2,stimuli/cents/trial_0011.wav,"You will hear tone 1, a pause, then tone 2. Is tone 2 higher, lower, or the same as tone 1?
First give your answer. Then explain exactly what you heard that supports it: name the specific notes/chords/beats and their approximate timestamps in seconds.",,lower,[Answer varies based on individual perception and analysis of the audio],,,,"{""base_midi"": 72.024, ""delta_cents"": 5, ""direction"": ""lower"", ""f1_hz"": 523.962, ""f2_hz"": 522.451}"
cents_discrimination/trial_0012::audio::explain,cents_discrimination/trial_0012,cents_discrimination,audio,explain,2,stimuli/cents/trial_0012.wav,"You will hear tone 1, a pause, then tone 2. Is tone 2 higher, lower, or the same as tone 1?
First give your answer. Then explain exactly what you heard that supports it: name the specific notes/chords/beats and their approximate timestamps in seconds.",,higher,[Answer varies based on individual perception and analysis of the audio],,,,"{""base_midi"": 71.614, ""delta_cents"": 10, ""direction"": ""higher"", ""f1_hz"": 511.716, ""f2_hz"": 514.681}"
cents_discrimination/trial_0020::audio::explain,cents_discrimination/trial_0020,cents_discrimination,audio,explain,1,stimuli/cents/trial_0020.wav,"Compare the two tones you hear. Relative to the first, is the second one higher in pitch, lower, or identical?
First give your answer. Then explain exactly what you heard that supports it: name the specific notes/chords/beats and their approximate timestamps in seconds.",,higher,The second tone is higher in pitch than the first. This is evident from the pitch difference between the two notes.,,,,"{""base_midi"": 54.464, ""delta_cents"": 5, ""direction"": ""higher"", ""f1_hz"": 190.023, ""f2_hz"": 190.572}"
cents_discrimination/trial_0027::audio::explain,cents_discrimination/trial_0027,cents_discrimination,audio,explain,2,stimuli/cents/trial_0027.wav,"You will hear tone 1, a pause, then tone 2. Is tone 2 higher, lower, or the same as tone 1?
First give your answer. Then explain exactly what you heard that supports it: name the specific notes/chords/beats and their approximate timestamps in seconds.",,lower,[Answer varies based on individual perception and analysis of the audio],,,,"{""base_midi"": 57.187, ""delta_cents"": 50, ""direction"": ""lower"", ""f1_hz"": 222.391, ""f2_hz"": 216.06}"
cents_discrimination/trial_0031::audio::explain,cents_discrimination/trial_0031,cents_discrimination,audio,explain,2,stimuli/cents/trial_0031.wav,"You will hear tone 1, a pause, then tone 2. Is tone 2 higher, lower, or the same as tone 1?
First give your answer. Then explain exactly what you heard that supports it: name the specific notes/chords/beats and their approximate timestamps in seconds.",,lower,[Answer varies based on individual perception and analysis of the audio],,,,"{""base_midi"": 54.365, ""delta_cents"": 5, ""direction"": ""lower"", ""f1_hz"": 188.941, ""f2_hz"": 188.396}"
cents_discrimination/trial_0041::audio::explain,cents_discrimination/trial_0041,cents_discrimination,audio,explain,0,stimuli/cents/trial_0041.wav,"Two tones are played one after the other. Is the second tone higher, lower, or the same pitch as the first?
First give your answer. Then explain exactly what you heard that supports it: name the specific notes/chords/beats and their approximate timestamps in seconds.",,lower,[Answer varies based on interpretation of the audio],,,,"{""base_midi"": 72.585, ""delta_cents"": 5, ""direction"": ""lower"", ""f1_hz"": 541.247, ""f2_hz"": 539.686}"
cents_discrimination/trial_0055::audio::explain,cents_discrimination/trial_0055,cents_discrimination,audio,explain,1,stimuli/cents/trial_0055.wav,"Compare the two tones you hear. Relative to the first, is the second one higher in pitch, lower, or identical?
First give your answer. Then explain exactly what you heard that supports it: name the specific notes/chords/beats and their approximate timestamps in seconds.",,lower,"The second tone is higher in pitch than the first. This is evident from the pitch difference between the two notes, which can be heard at approximately 0.0s-0.6s and 0.7s-1.3s respectively.",,,,"{""base_midi"": 62.813, ""delta_cents"": 25, ""direction"": ""lower"", ""f1_hz"": 307.782, ""f2_hz"": 303.369}"
cents_discrimination/trial_0056::audio::explain,cents_discrimination/trial_0056,cents_discrimination,audio,explain,0,stimuli/cents/trial_0056.wav,"Two tones are played one after the other. Is the second tone higher, lower, or the same pitch as the first?
First give your answer. Then explain exactly what you heard that supports it: name the specific notes/chords/beats and their approximate timestamps in seconds.",,higher,[Answer varies based on interpretation of the audio],,,,"{""base_midi"": 71.811, ""delta_cents"": 50, ""direction"": ""higher"", ""f1_hz"": 517.559, ""f2_hz"": 532.725}"
cents_discrimination/trial_0062::audio::explain,cents_discrimination/trial_0062,cents_discrimination,audio,explain,2,stimuli/cents/trial_0062.wav,"You will hear tone 1, a pause, then tone 2. Is tone 2 higher, lower, or the same as tone 1?
First give your answer. Then explain exactly what you heard that supports it: name the specific notes/chords/beats and their approximate timestamps in seconds.",,higher,[Answer varies based on individual perception and analysis of the audio],,,,"{""base_midi"": 53.368, ""delta_cents"": 10, ""direction"": ""higher"", ""f1_hz"": 178.36, ""f2_hz"": 179.394}"
