job_id,stimulus_id,task,condition,format,paraphrase_idx,audio_path,prompt,options,ground_truth,raw_response,parsed,correct,error,factors
note_count/count1_00::audio::mcq,note_count/count1_00,note_count,audio,mcq,0,stimuli/polyphony/count1_00.wav,"How many distinct notes are sounding simultaneously in this clip?
A. 1
B. 2
C. 3
Answer with the letter of the correct option only (A, B, C, or D). Do not explain.",1|2|3,1,A,1,True,,"{""n_notes"": 1, ""pitches"": [66], ""program"": ""piano"", ""soundfont"": ""fluidr3""}"
note_count/count1_00::audio::open,note_count/count1_00,note_count,audio,open,0,stimuli/polyphony/count1_00.wav,"How many distinct notes are sounding simultaneously in this clip?
Give a short, direct answer.",,1,1,1,True,,"{""n_notes"": 1, ""pitches"": [66], ""program"": ""piano"", ""soundfont"": ""fluidr3""}"
note_count/count1_01::audio::mcq,note_count/count1_01,note_count,audio,mcq,0,stimuli/polyphony/count1_01.wav,"How many distinct notes are sounding simultaneously in this clip?
A. 1
B. 3
C. 2
Answer with the letter of the correct option only (A, B, C, or D). Do not explain.",1|3|2,1,A,1,True,,"{""n_notes"": 1, ""pitches"": [61], ""program"": ""violin"", ""soundfont"": ""fluidr3""}"
note_count/count1_02::audio::mcq,note_count/count1_02,note_count,audio,mcq,2,stimuli/polyphony/count1_02.wav,"How many notes make up the sound you hear (played together at once)?
A. 1
B. 3
C. 2
Answer with the letter of the correct option only (A, B, C, or D). Do not explain.",1|3|2,1,A,1,True,,"{""n_notes"": 1, ""pitches"": [78], ""program"": ""flute"", ""soundfont"": ""fluidr3""}"
note_count/count1_03::audio::mcq,note_count/count1_03,note_count,audio,mcq,1,stimuli/polyphony/count1_03.wav,"Count the number of different pitches played at the same time. How many are there?
A. 3
B. 1
C. 2
Answer with the letter of the correct option only (A, B, C, or D). Do not explain.",3|1|2,1,B,1,True,,"{""n_notes"": 1, ""pitches"": [59], ""program"": ""piano"", ""soundfont"": ""timgm""}"
note_count/count1_03::audio::open,note_count/count1_03,note_count,audio,open,2,stimuli/polyphony/count1_03.wav,"How many notes make up the sound you hear (played together at once)?
Give a short, direct answer.",,1,One.,One.,False,,"{""n_notes"": 1, ""pitches"": [59], ""program"": ""piano"", ""soundfont"": ""timgm""}"
note_count/count1_04::audio::mcq,note_count/count1_04,note_count,audio,mcq,2,stimuli/polyphony/count1_04.wav,"How many notes make up the sound you hear (played together at once)?
A. 3
B. 1
C. 2
Answer with the letter of the correct option only (A, B, C, or D). Do not explain.",3|1|2,1,B,1,True,,"{""n_notes"": 1, ""pitches"": [76], ""program"": ""piano"", ""soundfont"": ""timgm""}"
note_count/count1_05::audio::mcq,note_count/count1_05,note_count,audio,mcq,2,stimuli/polyphony/count1_05.wav,"How many notes make up the sound you hear (played together at once)?
A. 1
B. 2
C. 3
Answer with the letter of the correct option only (A, B, C, or D). Do not explain.",1|2|3,1,A,1,True,,"{""n_notes"": 1, ""pitches"": [56], ""program"": ""violin"", ""soundfont"": ""musescore""}"
note_count/count1_06::audio::mcq,note_count/count1_06,note_count,audio,mcq,0,stimuli/polyphony/count1_06.wav,"How many distinct notes are sounding simultaneously in this clip?
A. 2
B. 1
C. 3
Answer with the letter of the correct option only (A, B, C, or D). Do not explain.",2|1|3,1,B,1,True,,"{""n_notes"": 1, ""pitches"": [71], ""program"": ""piano"", ""soundfont"": ""fluidr3""}"
note_count/count1_07::audio::mcq,note_count/count1_07,note_count,audio,mcq,1,stimuli/polyphony/count1_07.wav,"Count the number of different pitches played at the same time. How many are there?
A. 1
B. 2
C. 3
Answer with the letter of the correct option only (A, B, C, or D). Do not explain.",1|2|3,1,A,1,True,,"{""n_notes"": 1, ""pitches"": [73], ""program"": ""flute"", ""soundfont"": ""musescore""}"
note_count/count1_07::audio::open,note_count/count1_07,note_count,audio,open,1,stimuli/polyphony/count1_07.wav,"Count the number of different pitches played at the same time. How many are there?
Give a short, direct answer.",,1,1,1,True,,"{""n_notes"": 1, ""pitches"": [73], ""program"": ""flute"", ""soundfont"": ""musescore""}"
