job_id,stimulus_id,task,condition,format,paraphrase_idx,audio_path,prompt,options,ground_truth,raw_response,parsed,correct,error,factors
beats_per_bar/meter_3-4_00::audio::mcq,beats_per_bar/meter_3-4_00,beats_per_bar,audio,mcq,2,stimuli/meter/meter_3-4_00.wav,"Count the beats between the strong accents. How many beats per measure does this rhythm have?
A. 7
B. 4
C. 5
D. 3
Answer with the letter of the correct option only (A, B, C, or D). Do not explain.",7|4|5|3,3,A,7,False,,"{""beats"": 3, ""bpm"": 111.7, ""meter"": ""3/4"", ""n_bars"": 7}"
beats_per_bar/meter_3-4_00::audio::open,beats_per_bar/meter_3-4_00,beats_per_bar,audio,open,1,stimuli/meter/meter_3-4_00.wav,"This rhythm repeats in cycles, each starting with a stronger beat. How many beats long is each cycle?
Give a short, direct answer.",,3,Four beats,Four beats,False,,"{""beats"": 3, ""bpm"": 111.7, ""meter"": ""3/4"", ""n_bars"": 7}"
beats_per_bar/meter_3-4_01::audio::mcq,beats_per_bar/meter_3-4_01,beats_per_bar,audio,mcq,1,stimuli/meter/meter_3-4_01.wav,"This rhythm repeats in cycles, each starting with a stronger beat. How many beats long is each cycle?
A. 6
B. 3
C. 5
D. 4
Answer with the letter of the correct option only (A, B, C, or D). Do not explain.",6|3|5|4,3,D,4,False,,"{""beats"": 3, ""bpm"": 136.6, ""meter"": ""3/4"", ""n_bars"": 8}"
beats_per_bar/meter_3-4_02::audio::mcq,beats_per_bar/meter_3-4_02,beats_per_bar,audio,mcq,2,stimuli/meter/meter_3-4_02.wav,"Count the beats between the strong accents. How many beats per measure does this rhythm have?
A. 4
B. 3
C. 6
D. 7
Answer with the letter of the correct option only (A, B, C, or D). Do not explain.",4|3|6|7,3,B,3,True,,"{""beats"": 3, ""bpm"": 110.9, ""meter"": ""3/4"", ""n_bars"": 7}"
beats_per_bar/meter_3-4_03::audio::mcq,beats_per_bar/meter_3-4_03,beats_per_bar,audio,mcq,0,stimuli/meter/meter_3-4_03.wav,"Listen to the accent pattern of this rhythm. How many beats are there per bar (one accented beat starts each bar)?
A. 3
B. 4
C. 6
D. 5
Answer with the letter of the correct option only (A, B, C, or D). Do not explain.",3|4|6|5,3,B,4,False,,"{""beats"": 3, ""bpm"": 134.7, ""meter"": ""3/4"", ""n_bars"": 8}"
beats_per_bar/meter_3-4_04::audio::mcq,beats_per_bar/meter_3-4_04,beats_per_bar,audio,mcq,0,stimuli/meter/meter_3-4_04.wav,"Listen to the accent pattern of this rhythm. How many beats are there per bar (one accented beat starts each bar)?
A. 4
B. 3
C. 5
D. 6
Answer with the letter of the correct option only (A, B, C, or D). Do not explain.",4|3|5|6,3,A,4,False,,"{""beats"": 3, ""bpm"": 90.7, ""meter"": ""3/4"", ""n_bars"": 6}"
beats_per_bar/meter_3-4_04::audio::explain,beats_per_bar/meter_3-4_04,beats_per_bar,audio,explain,1,stimuli/meter/meter_3-4_04.wav,"This rhythm repeats in cycles, each starting with a stronger beat. How many beats long is each cycle?
First give your answer. Then explain exactly what you heard that supports it: name the specific notes/chords/beats and their approximate timestamps in seconds.",,3,"Each cycle is 2 beats long. I heard a clear downbeat at 0.00s, followed by a second beat at 0.50s, forming a two-beat pattern that repeats throughout the clip.",,,,"{""beats"": 3, ""bpm"": 90.7, ""meter"": ""3/4"", ""n_bars"": 6}"
beats_per_bar/meter_3-4_05::audio::mcq,beats_per_bar/meter_3-4_05,beats_per_bar,audio,mcq,2,stimuli/meter/meter_3-4_05.wav,"Count the beats between the strong accents. How many beats per measure does this rhythm have?
A. 3
B. 5
C. 4
D. 6
Answer with the letter of the correct option only (A, B, C, or D). Do not explain.",3|5|4|6,3,C,4,False,,"{""beats"": 3, ""bpm"": 106.7, ""meter"": ""3/4"", ""n_bars"": 6}"
beats_per_bar/meter_3-4_05::audio::open,beats_per_bar/meter_3-4_05,beats_per_bar,audio,open,0,stimuli/meter/meter_3-4_05.wav,"Listen to the accent pattern of this rhythm. How many beats are there per bar (one accented beat starts each bar)?
Give a short, direct answer.",,3,4,4,False,,"{""beats"": 3, ""bpm"": 106.7, ""meter"": ""3/4"", ""n_bars"": 6}"
beats_per_bar/meter_3-4_06::audio::mcq,beats_per_bar/meter_3-4_06,beats_per_bar,audio,mcq,1,stimuli/meter/meter_3-4_06.wav,"This rhythm repeats in cycles, each starting with a stronger beat. How many beats long is each cycle?
A. 3
B. 7
C. 5
D. 6
Answer with the letter of the correct option only (A, B, C, or D). Do not explain.",3|7|5|6,3,C,5,False,,"{""beats"": 3, ""bpm"": 120.8, ""meter"": ""3/4"", ""n_bars"": 7}"
beats_per_bar/meter_3-4_07::audio::mcq,beats_per_bar/meter_3-4_07,beats_per_bar,audio,mcq,0,stimuli/meter/meter_3-4_07.wav,"Listen to the accent pattern of this rhythm. How many beats are there per bar (one accented beat starts each bar)?
A. 6
B. 3
C. 5
D. 7
Answer with the letter of the correct option only (A, B, C, or D). Do not explain.",6|3|5|7,3,A,6,False,,"{""beats"": 3, ""bpm"": 119.6, ""meter"": ""3/4"", ""n_bars"": 7}"
beats_per_bar/meter_3-4_07::audio::open,beats_per_bar/meter_3-4_07,beats_per_bar,audio,open,0,stimuli/meter/meter_3-4_07.wav,"Listen to the accent pattern of this rhythm. How many beats are there per bar (one accented beat starts each bar)?
Give a short, direct answer.",,3,4,4,False,,"{""beats"": 3, ""bpm"": 119.6, ""meter"": ""3/4"", ""n_bars"": 7}"
beats_per_bar/meter_3-4_08::audio::mcq,beats_per_bar/meter_3-4_08,beats_per_bar,audio,mcq,2,stimuli/meter/meter_3-4_08.wav,"Count the beats between the strong accents. How many beats per measure does this rhythm have?
A. 5
B. 6
C. 4
D. 3
Answer with the letter of the correct option only (A, B, C, or D). Do not explain.",5|6|4|3,3,C,4,False,,"{""beats"": 3, ""bpm"": 130.4, ""meter"": ""3/4"", ""n_bars"": 8}"
