job_id,stimulus_id,task,condition,format,paraphrase_idx,audio_path,prompt,options,ground_truth,raw_response,parsed,correct,error,factors
octave_id/pitch/048_synth_lead_musescore_1::audio::mcq,octave_id/pitch/048_synth_lead_musescore_1,octave_id,audio,mcq,0,stimuli/pitch/048_synth_lead_musescore_1.wav,"Listen to this note. In which octave is it, in scientific pitch notation (middle C = C4)?
A. 2
B. 3
C. 4
D. 1
Answer with the letter of the correct option only (A, B, C, or D). Do not explain.",2|3|4|1,3,C,4,False,,"{""midi"": 48, ""note_name"": ""C3"", ""octave"": 3, ""pitch_class"": ""C"", ""program"": ""synth_lead"", ""soundfont"": ""musescore""}"
octave_id/pitch/048_violin_timgm_0::audio::mcq,octave_id/pitch/048_violin_timgm_0,octave_id,audio,mcq,1,stimuli/pitch/048_violin_timgm_0.wav,"A single note is played. What octave number does it fall in (C4 = middle C)?
A. 1
B. 4
C. 2
D. 3
Answer with the letter of the correct option only (A, B, C, or D). Do not explain.",1|4|2|3,3,C,2,False,,"{""midi"": 48, ""note_name"": ""C3"", ""octave"": 3, ""pitch_class"": ""C"", ""program"": ""violin"", ""soundfont"": ""timgm""}"
octave_id/pitch/048_violin_timgm_0::audio::open,octave_id/pitch/048_violin_timgm_0,octave_id,audio,open,0,stimuli/pitch/048_violin_timgm_0.wav,"Listen to this note. In which octave is it, in scientific pitch notation (middle C = C4)?
Give a short, direct answer.",,3,C3.,C3.,True,,"{""midi"": 48, ""note_name"": ""C3"", ""octave"": 3, ""pitch_class"": ""C"", ""program"": ""violin"", ""soundfont"": ""timgm""}"
octave_id/pitch/049_piano_timgm_1::audio::mcq,octave_id/pitch/049_piano_timgm_1,octave_id,audio,mcq,1,stimuli/pitch/049_piano_timgm_1.wav,"A single note is played. What octave number does it fall in (C4 = middle C)?
A. 2
B. 4
C. 3
D. 5
Answer with the letter of the correct option only (A, B, C, or D). Do not explain.",2|4|3|5,3,C,3,True,,"{""midi"": 49, ""note_name"": ""C#3"", ""octave"": 3, ""pitch_class"": ""C#"", ""program"": ""piano"", ""soundfont"": ""timgm""}"
octave_id/pitch/049_synth_lead_fluidr3_0::audio::mcq,octave_id/pitch/049_synth_lead_fluidr3_0,octave_id,audio,mcq,1,stimuli/pitch/049_synth_lead_fluidr3_0.wav,"A single note is played. What octave number does it fall in (C4 = middle C)?
A. 1
B. 4
C. 2
D. 3
Answer with the letter of the correct option only (A, B, C, or D). Do not explain.",1|4|2|3,3,C,2,False,,"{""midi"": 49, ""note_name"": ""C#3"", ""octave"": 3, ""pitch_class"": ""C#"", ""program"": ""synth_lead"", ""soundfont"": ""fluidr3""}"
octave_id/pitch/050_flute_fluidr3_0::audio::mcq,octave_id/pitch/050_flute_fluidr3_0,octave_id,audio,mcq,1,stimuli/pitch/050_flute_fluidr3_0.wav,"A single note is played. What octave number does it fall in (C4 = middle C)?
A. 3
B. 1
C. 4
D. 2
Answer with the letter of the correct option only (A, B, C, or D). Do not explain.",3|1|4|2,3,C,4,False,,"{""midi"": 50, ""note_name"": ""D3"", ""octave"": 3, ""pitch_class"": ""D"", ""program"": ""flute"", ""soundfont"": ""fluidr3""}"
octave_id/pitch/050_flute_fluidr3_1::audio::mcq,octave_id/pitch/050_flute_fluidr3_1,octave_id,audio,mcq,1,stimuli/pitch/050_flute_fluidr3_1.wav,"A single note is played. What octave number does it fall in (C4 = middle C)?
A. 3
B. 4
C. 5
D. 2
Answer with the letter of the correct option only (A, B, C, or D). Do not explain.",3|4|5|2,3,C,5,False,,"{""midi"": 50, ""note_name"": ""D3"", ""octave"": 3, ""pitch_class"": ""D"", ""program"": ""flute"", ""soundfont"": ""fluidr3""}"
octave_id/pitch/051_flute_timgm_0::audio::mcq,octave_id/pitch/051_flute_timgm_0,octave_id,audio,mcq,1,stimuli/pitch/051_flute_timgm_0.wav,"A single note is played. What octave number does it fall in (C4 = middle C)?
A. 4
B. 5
C. 3
D. 2
Answer with the letter of the correct option only (A, B, C, or D). Do not explain.",4|5|3|2,3,C,3,True,,"{""midi"": 51, ""note_name"": ""D#3"", ""octave"": 3, ""pitch_class"": ""D#"", ""program"": ""flute"", ""soundfont"": ""timgm""}"
octave_id/pitch/051_piano_fluidr3_1::audio::mcq,octave_id/pitch/051_piano_fluidr3_1,octave_id,audio,mcq,2,stimuli/pitch/051_piano_fluidr3_1.wav,"Identify the octave of the note you hear, where middle C is octave 4.
A. 5
B. 2
C. 3
D. 4
Answer with the letter of the correct option only (A, B, C, or D). Do not explain.",5|2|3|4,3,D,4,False,,"{""midi"": 51, ""note_name"": ""D#3"", ""octave"": 3, ""pitch_class"": ""D#"", ""program"": ""piano"", ""soundfont"": ""fluidr3""}"
octave_id/pitch/051_piano_fluidr3_1::audio::explain,octave_id/pitch/051_piano_fluidr3_1,octave_id,audio,explain,0,stimuli/pitch/051_piano_fluidr3_1.wav,"Listen to this note. In which octave is it, in scientific pitch notation (middle C = C4)?
First give your answer. Then explain exactly what you heard that supports it: name the specific notes/chords/beats and their approximate timestamps in seconds.",,3,"The note is in D3. I heard a clean, distorted e-guitar sound playing a single chord, D major, with a slight distortion effect. The chord was played between approximately 0.56 and 2.87 seconds.",,,,"{""midi"": 51, ""note_name"": ""D#3"", ""octave"": 3, ""pitch_class"": ""D#"", ""program"": ""piano"", ""soundfont"": ""fluidr3""}"
octave_id/pitch/052_violin_fluidr3_0::audio::mcq,octave_id/pitch/052_violin_fluidr3_0,octave_id,audio,mcq,0,stimuli/pitch/052_violin_fluidr3_0.wav,"Listen to this note. In which octave is it, in scientific pitch notation (middle C = C4)?
A. 2
B. 1
C. 3
D. 4
Answer with the letter of the correct option only (A, B, C, or D). Do not explain.",2|1|3|4,3,C,3,True,,"{""midi"": 52, ""note_name"": ""E3"", ""octave"": 3, ""pitch_class"": ""E"", ""program"": ""violin"", ""soundfont"": ""fluidr3""}"
octave_id/pitch/052_violin_musescore_1::audio::mcq,octave_id/pitch/052_violin_musescore_1,octave_id,audio,mcq,1,stimuli/pitch/052_violin_musescore_1.wav,"A single note is played. What octave number does it fall in (C4 = middle C)?
A. 1
B. 4
C. 3
D. 2
Answer with the letter of the correct option only (A, B, C, or D). Do not explain.",1|4|3|2,3,C,3,True,,"{""midi"": 52, ""note_name"": ""E3"", ""octave"": 3, ""pitch_class"": ""E"", ""program"": ""violin"", ""soundfont"": ""musescore""}"
octave_id/pitch/053_flute_fluidr3_1::audio::mcq,octave_id/pitch/053_flute_fluidr3_1,octave_id,audio,mcq,1,stimuli/pitch/053_flute_fluidr3_1.wav,"A single note is played. What octave number does it fall in (C4 = middle C)?
A. 3
B. 4
C. 2
D. 1
Answer with the letter of the correct option only (A, B, C, or D). Do not explain.",3|4|2|1,3,C,2,False,,"{""midi"": 53, ""note_name"": ""F3"", ""octave"": 3, ""pitch_class"": ""F"", ""program"": ""flute"", ""soundfont"": ""fluidr3""}"
octave_id/pitch/053_flute_fluidr3_1::audio::explain,octave_id/pitch/053_flute_fluidr3_1,octave_id,audio,explain,0,stimuli/pitch/053_flute_fluidr3_1.wav,"Listen to this note. In which octave is it, in scientific pitch notation (middle C = C4)?
First give your answer. Then explain exactly what you heard that supports it: name the specific notes/chords/beats and their approximate timestamps in seconds.",,3,The note is F3. I heard an F3 note at approximately 0.72 seconds into the audio.,,,,"{""midi"": 53, ""note_name"": ""F3"", ""octave"": 3, ""pitch_class"": ""F"", ""program"": ""flute"", ""soundfont"": ""fluidr3""}"
