job_id,stimulus_id,task,condition,format,paraphrase_idx,audio_path,prompt,options,ground_truth,raw_response,parsed,correct,error,factors
pitch_note_id/pitch/048_synth_lead_musescore_1::audio::mcq,pitch_note_id/pitch/048_synth_lead_musescore_1,pitch_note_id,audio,mcq,1,stimuli/pitch/048_synth_lead_musescore_1.wav,"A single note is played. Which note is it (C, C#, D, ...)?
A. C
B. B
C. C#
D. F#
Answer with the letter of the correct option only (A, B, C, or D). Do not explain.",C|B|C#|F#,C,C,C#,True,,"{""midi"": 48, ""note_name"": ""C3"", ""octave"": 3, ""pitch_class"": ""C"", ""program"": ""synth_lead"", ""soundfont"": ""musescore""}"
pitch_note_id/pitch/048_violin_timgm_0::audio::mcq,pitch_note_id/pitch/048_violin_timgm_0,pitch_note_id,audio,mcq,1,stimuli/pitch/048_violin_timgm_0.wav,"A single note is played. Which note is it (C, C#, D, ...)?
A. A#
B. B
C. C#
D. C
Answer with the letter of the correct option only (A, B, C, or D). Do not explain.",A#|B|C#|C,C,C,C#,True,,"{""midi"": 48, ""note_name"": ""C3"", ""octave"": 3, ""pitch_class"": ""C"", ""program"": ""violin"", ""soundfont"": ""timgm""}"
pitch_note_id/pitch/048_violin_timgm_0::audio::explain,pitch_note_id/pitch/048_violin_timgm_0,pitch_note_id,audio,explain,0,stimuli/pitch/048_violin_timgm_0.wav,"Listen to this note. What is its pitch class (note name, ignoring octave)?
First give your answer. Then explain exactly what you heard that supports it: name the specific notes/chords/beats and their approximate timestamps in seconds.",,C,"The note heard in the audio is a C. It is a single, sustained tone with no additional harmonic content, so the chord is effectively “no chord” (N) and the time signature is not applicable. The note’s pitch class is C, and it is presented without any accompanying chords or rhythmic elements.",,,,"{""midi"": 48, ""note_name"": ""C3"", ""octave"": 3, ""pitch_class"": ""C"", ""program"": ""violin"", ""soundfont"": ""timgm""}"
pitch_note_id/pitch/049_piano_timgm_1::audio::mcq,pitch_note_id/pitch/049_piano_timgm_1,pitch_note_id,audio,mcq,1,stimuli/pitch/049_piano_timgm_1.wav,"A single note is played. Which note is it (C, C#, D, ...)?
A. C#
B. C
C. F#
D. D
Answer with the letter of the correct option only (A, B, C, or D). Do not explain.",C#|C|F#|D,C#,A,C#,True,,"{""midi"": 49, ""note_name"": ""C#3"", ""octave"": 3, ""pitch_class"": ""C#"", ""program"": ""piano"", ""soundfont"": ""timgm""}"
pitch_note_id/pitch/049_piano_timgm_1::audio::explain,pitch_note_id/pitch/049_piano_timgm_1,pitch_note_id,audio,explain,2,stimuli/pitch/049_piano_timgm_1.wav,"Identify the musical note you hear, by letter name only.
First give your answer. Then explain exactly what you heard that supports it: name the specific notes/chords/beats and their approximate timestamps in seconds.",,C#,"The note present in this audio is C# minor. This is identified by the pitch of the sound, which corresponds to the C# minor scale, and the absence of any other notes or chords in the short excerpt.",,,,"{""midi"": 49, ""note_name"": ""C#3"", ""octave"": 3, ""pitch_class"": ""C#"", ""program"": ""piano"", ""soundfont"": ""timgm""}"
pitch_note_id/pitch/049_synth_lead_fluidr3_0::audio::mcq,pitch_note_id/pitch/049_synth_lead_fluidr3_0,pitch_note_id,audio,mcq,0,stimuli/pitch/049_synth_lead_fluidr3_0.wav,"Listen to this note. What is its pitch class (note name, ignoring octave)?
A. D
B. A#
C. C
D. C#
Answer with the letter of the correct option only (A, B, C, or D). Do not explain.",D|A#|C|C#,C#,C,C,False,,"{""midi"": 49, ""note_name"": ""C#3"", ""octave"": 3, ""pitch_class"": ""C#"", ""program"": ""synth_lead"", ""soundfont"": ""fluidr3""}"
pitch_note_id/pitch/050_flute_fluidr3_0::audio::mcq,pitch_note_id/pitch/050_flute_fluidr3_0,pitch_note_id,audio,mcq,0,stimuli/pitch/050_flute_fluidr3_0.wav,"Listen to this note. What is its pitch class (note name, ignoring octave)?
A. D#
B. C#
C. D
D. C
Answer with the letter of the correct option only (A, B, C, or D). Do not explain.",D#|C#|D|C,D,C,D,True,,"{""midi"": 50, ""note_name"": ""D3"", ""octave"": 3, ""pitch_class"": ""D"", ""program"": ""flute"", ""soundfont"": ""fluidr3""}"
pitch_note_id/pitch/050_flute_fluidr3_0::audio::open,pitch_note_id/pitch/050_flute_fluidr3_0,pitch_note_id,audio,open,1,stimuli/pitch/050_flute_fluidr3_0.wav,"A single note is played. Which note is it (C, C#, D, ...)?
Give a short, direct answer.",,D,D,D,True,,"{""midi"": 50, ""note_name"": ""D3"", ""octave"": 3, ""pitch_class"": ""D"", ""program"": ""flute"", ""soundfont"": ""fluidr3""}"
pitch_note_id/pitch/050_flute_fluidr3_1::audio::mcq,pitch_note_id/pitch/050_flute_fluidr3_1,pitch_note_id,audio,mcq,2,stimuli/pitch/050_flute_fluidr3_1.wav,"Identify the musical note you hear, by letter name only.
A. D
B. D#
C. C#
D. E
Answer with the letter of the correct option only (A, B, C, or D). Do not explain.",D|D#|C#|E,D,A,D,True,,"{""midi"": 50, ""note_name"": ""D3"", ""octave"": 3, ""pitch_class"": ""D"", ""program"": ""flute"", ""soundfont"": ""fluidr3""}"
pitch_note_id/pitch/051_flute_timgm_0::audio::mcq,pitch_note_id/pitch/051_flute_timgm_0,pitch_note_id,audio,mcq,0,stimuli/pitch/051_flute_timgm_0.wav,"Listen to this note. What is its pitch class (note name, ignoring octave)?
A. B
B. E
C. D
D. D#
Answer with the letter of the correct option only (A, B, C, or D). Do not explain.",B|E|D|D#,D#,D,D#,True,,"{""midi"": 51, ""note_name"": ""D#3"", ""octave"": 3, ""pitch_class"": ""D#"", ""program"": ""flute"", ""soundfont"": ""timgm""}"
