job_id,stimulus_id,task,condition,format,paraphrase_idx,audio_path,prompt,options,ground_truth,raw_response,parsed,correct,error,factors
progression_id/12-bar-blues_54_1::audio::mcq,progression_id/12-bar-blues_54_1,progression_id,audio,mcq,2,stimuli/progressions/12-bar-blues_54_1.wav,"Identify the chord progression in this passage.
A. 12-bar-blues
B. I-IV-V-I
C. ii-V-I
D. I-V-vi-IV
Answer with the letter of the correct option only (A, B, C, or D). Do not explain.",12-bar-blues|I-IV-V-I|ii-V-I|I-V-vi-IV,12-bar-blues,B,I-IV-V-I,False,,"{""program"": ""flute"", ""progression"": ""12-bar-blues"", ""soundfont"": ""fluidr3"", ""tonic"": 54}"
progression_id/12-bar-blues_54_1::audio::open,progression_id/12-bar-blues_54_1,progression_id,audio,open,1,stimuli/progressions/12-bar-blues_54_1.wav,"Listen to the harmony. What progression is being played?
Give a short, direct answer.",,12-bar-blues,"The harmony is a simple, repetitive progression of F# major and B major chords.","The harmony is a simple, repetitive progression of F# major and B major chords.",False,,"{""program"": ""flute"", ""progression"": ""12-bar-blues"", ""soundfont"": ""fluidr3"", ""tonic"": 54}"
progression_id/12-bar-blues_54_1::audio::explain,progression_id/12-bar-blues_54_1,progression_id,audio,explain,0,stimuli/progressions/12-bar-blues_54_1.wav,"Which chord progression does this clip follow?
First give your answer. Then explain exactly what you heard that supports it: name the specific notes/chords/beats and their approximate timestamps in seconds.",,12-bar-blues,"This clip follows a simple two‑chord progression: F♯ major (F♯–A♯–C♯) for the first 4.8 seconds, then B major (B–D♯–F♯) for the remaining 2.6 seconds. The downbeats confirm a steady 4/4 meter, and the chord changes align with the beat structure.",,,,"{""program"": ""flute"", ""progression"": ""12-bar-blues"", ""soundfont"": ""fluidr3"", ""tonic"": 54}"
progression_id/12-bar-blues_54_4::audio::mcq,progression_id/12-bar-blues_54_4,progression_id,audio,mcq,0,stimuli/progressions/12-bar-blues_54_4.wav,"Which chord progression does this clip follow?
A. I-IV-V-I
B. I-V-vi-IV
C. 12-bar-blues
D. ii-V-I
Answer with the letter of the correct option only (A, B, C, or D). Do not explain.",I-IV-V-I|I-V-vi-IV|12-bar-blues|ii-V-I,12-bar-blues,A,I-IV-V-I,False,,"{""program"": ""violin"", ""progression"": ""12-bar-blues"", ""soundfont"": ""musescore"", ""tonic"": 54}"
progression_id/12-bar-blues_54_4::audio::open,progression_id/12-bar-blues_54_4,progression_id,audio,open,1,stimuli/progressions/12-bar-blues_54_4.wav,"Listen to the harmony. What progression is being played?
Give a short, direct answer.",,12-bar-blues,"The harmony consists of a single chord, F# minor, played throughout the entire clip.","The harmony consists of a single chord, F# minor, played throughout the entire clip.",False,,"{""program"": ""violin"", ""progression"": ""12-bar-blues"", ""soundfont"": ""musescore"", ""tonic"": 54}"
progression_id/12-bar-blues_54_7::audio::mcq,progression_id/12-bar-blues_54_7,progression_id,audio,mcq,0,stimuli/progressions/12-bar-blues_54_7.wav,"Which chord progression does this clip follow?
A. I-V-vi-IV
B. 12-bar-blues
C. I-IV-V-I
D. ii-V-I
Answer with the letter of the correct option only (A, B, C, or D). Do not explain.",I-V-vi-IV|12-bar-blues|I-IV-V-I|ii-V-I,12-bar-blues,C,I-IV-V-I,False,,"{""program"": ""piano"", ""progression"": ""12-bar-blues"", ""soundfont"": ""musescore"", ""tonic"": 54}"
progression_id/12-bar-blues_56_5::audio::mcq,progression_id/12-bar-blues_56_5,progression_id,audio,mcq,0,stimuli/progressions/12-bar-blues_56_5.wav,"Which chord progression does this clip follow?
A. I-V-vi-IV
B. ii-V-I
C. I-IV-V-I
D. 12-bar-blues
Answer with the letter of the correct option only (A, B, C, or D). Do not explain.",I-V-vi-IV|ii-V-I|I-IV-V-I|12-bar-blues,12-bar-blues,C,I-IV-V-I,False,,"{""program"": ""flute"", ""progression"": ""12-bar-blues"", ""soundfont"": ""fluidr3"", ""tonic"": 56}"
progression_id/12-bar-blues_56_5::audio::open,progression_id/12-bar-blues_56_5,progression_id,audio,open,0,stimuli/progressions/12-bar-blues_56_5.wav,"Which chord progression does this clip follow?
Give a short, direct answer.",,12-bar-blues,"The chord progression in this clip is G# major, C# major, G# major, C# major, G# major, C# major, G# major, C# major.","The chord progression in this clip is G# major, C# major, G# major, C# major, G# major, C# major, G# major, C# major.",False,,"{""program"": ""flute"", ""progression"": ""12-bar-blues"", ""soundfont"": ""fluidr3"", ""tonic"": 56}"
progression_id/12-bar-blues_58_0::audio::mcq,progression_id/12-bar-blues_58_0,progression_id,audio,mcq,1,stimuli/progressions/12-bar-blues_58_0.wav,"Listen to the harmony. What progression is being played?
A. I-V-vi-IV
B. 12-bar-blues
C. I-IV-V-I
D. ii-V-I
Answer with the letter of the correct option only (A, B, C, or D). Do not explain.",I-V-vi-IV|12-bar-blues|I-IV-V-I|ii-V-I,12-bar-blues,C,I-IV-V-I,False,,"{""program"": ""violin"", ""progression"": ""12-bar-blues"", ""soundfont"": ""fluidr3"", ""tonic"": 58}"
progression_id/12-bar-blues_58_2::audio::mcq,progression_id/12-bar-blues_58_2,progression_id,audio,mcq,0,stimuli/progressions/12-bar-blues_58_2.wav,"Which chord progression does this clip follow?
A. I-V-vi-IV
B. ii-V-I
C. 12-bar-blues
D. I-IV-V-I
Answer with the letter of the correct option only (A, B, C, or D). Do not explain.",I-V-vi-IV|ii-V-I|12-bar-blues|I-IV-V-I,12-bar-blues,D,I-IV-V-I,False,,"{""program"": ""synth_lead"", ""progression"": ""12-bar-blues"", ""soundfont"": ""musescore"", ""tonic"": 58}"
