job_id,stimulus_id,task,condition,format,paraphrase_idx,audio_path,prompt,options,ground_truth,raw_response,parsed,correct,error,factors
chord_quality/augmented_arpeggio_53_2::audio::mcq,chord_quality/augmented_arpeggio_53_2,chord_quality,audio,mcq,2,stimuli/chords/augmented_arpeggio_53_2.wav,"Listen to this chord. What kind of chord is it?
A. dominant seventh
B. minor seventh
C. augmented
D. diminished
Answer with the letter of the correct option only (A, B, C, or D). Do not explain.",dominant seventh|minor seventh|augmented|diminished,augmented,C,augmented,True,,"{""inversion"": 0, ""presentation"": ""arpeggio"", ""program"": ""violin"", ""quality"": ""augmented"", ""root"": 53, ""root_name"": ""F"", ""soundfont"": ""fluidr3""}"
chord_quality/augmented_arpeggio_54_1::audio::mcq,chord_quality/augmented_arpeggio_54_1,chord_quality,audio,mcq,1,stimuli/chords/augmented_arpeggio_54_1.wav,"Identify the type of the chord you hear.
A. augmented
B. major
C. diminished
D. minor
Answer with the letter of the correct option only (A, B, C, or D). Do not explain.",augmented|major|diminished|minor,augmented,B,major,False,,"{""inversion"": 0, ""presentation"": ""arpeggio"", ""program"": ""flute"", ""quality"": ""augmented"", ""root"": 54, ""root_name"": ""F#"", ""soundfont"": ""timgm""}"
chord_quality/augmented_arpeggio_59_4::audio::mcq,chord_quality/augmented_arpeggio_59_4,chord_quality,audio,mcq,0,stimuli/chords/augmented_arpeggio_59_4.wav,"A chord is played. What is its quality (e.g. major, minor, diminished)?
A. major seventh
B. diminished
C. augmented
D. suspended fourth (sus4)
Answer with the letter of the correct option only (A, B, C, or D). Do not explain.",major seventh|diminished|augmented|suspended fourth (sus4),augmented,A,major seventh,False,,"{""inversion"": 1, ""presentation"": ""arpeggio"", ""program"": ""flute"", ""quality"": ""augmented"", ""root"": 59, ""root_name"": ""B"", ""soundfont"": ""timgm""}"
chord_quality/augmented_arpeggio_60_3::audio::mcq,chord_quality/augmented_arpeggio_60_3,chord_quality,audio,mcq,0,stimuli/chords/augmented_arpeggio_60_3.wav,"A chord is played. What is its quality (e.g. major, minor, diminished)?
A. diminished
B. major seventh
C. augmented
D. major
Answer with the letter of the correct option only (A, B, C, or D). Do not explain.",diminished|major seventh|augmented|major,augmented,D,major,False,,"{""inversion"": 0, ""presentation"": ""arpeggio"", ""program"": ""violin"", ""quality"": ""augmented"", ""root"": 60, ""root_name"": ""C"", ""soundfont"": ""fluidr3""}"
chord_quality/augmented_arpeggio_60_3::audio::open,chord_quality/augmented_arpeggio_60_3,chord_quality,audio,open,2,stimuli/chords/augmented_arpeggio_60_3.wav,"Listen to this chord. What kind of chord is it?
Give a short, direct answer.",,augmented,A major,A major,False,,"{""inversion"": 0, ""presentation"": ""arpeggio"", ""program"": ""violin"", ""quality"": ""augmented"", ""root"": 60, ""root_name"": ""C"", ""soundfont"": ""fluidr3""}"
chord_quality/augmented_arpeggio_63_0::audio::mcq,chord_quality/augmented_arpeggio_63_0,chord_quality,audio,mcq,2,stimuli/chords/augmented_arpeggio_63_0.wav,"Listen to this chord. What kind of chord is it?
A. suspended fourth (sus4)
B. major seventh
C. diminished
D. augmented
Answer with the letter of the correct option only (A, B, C, or D). Do not explain.",suspended fourth (sus4)|major seventh|diminished|augmented,augmented,B,major seventh,False,,"{""inversion"": 0, ""presentation"": ""arpeggio"", ""program"": ""synth_lead"", ""quality"": ""augmented"", ""root"": 63, ""root_name"": ""D#"", ""soundfont"": ""timgm""}"
chord_quality/augmented_arpeggio_63_5::audio::mcq,chord_quality/augmented_arpeggio_63_5,chord_quality,audio,mcq,2,stimuli/chords/augmented_arpeggio_63_5.wav,"Listen to this chord. What kind of chord is it?
A. diminished
B. augmented
C. minor seventh
D. major
Answer with the letter of the correct option only (A, B, C, or D). Do not explain.",diminished|augmented|minor seventh|major,augmented,D,major,False,,"{""inversion"": 0, ""presentation"": ""arpeggio"", ""program"": ""violin"", ""quality"": ""augmented"", ""root"": 63, ""root_name"": ""D#"", ""soundfont"": ""timgm""}"
chord_quality/augmented_arpeggio_63_5::audio::explain,chord_quality/augmented_arpeggio_63_5,chord_quality,audio,explain,2,stimuli/chords/augmented_arpeggio_63_5.wav,"Listen to this chord. What kind of chord is it?
First give your answer. Then explain exactly what you heard that supports it: name the specific notes/chords/beats and their approximate timestamps in seconds.",,augmented,The chord is G. It occurs from 0.464s to 5.740s.,,,,"{""inversion"": 0, ""presentation"": ""arpeggio"", ""program"": ""violin"", ""quality"": ""augmented"", ""root"": 63, ""root_name"": ""D#"", ""soundfont"": ""timgm""}"
chord_quality/augmented_block_50_5::audio::mcq,chord_quality/augmented_block_50_5,chord_quality,audio,mcq,1,stimuli/chords/augmented_block_50_5.wav,"Identify the type of the chord you hear.
A. minor seventh
B. suspended fourth (sus4)
C. dominant seventh
D. augmented
Answer with the letter of the correct option only (A, B, C, or D). Do not explain.",minor seventh|suspended fourth (sus4)|dominant seventh|augmented,augmented,B,suspended fourth (sus4),False,,"{""inversion"": 0, ""presentation"": ""block"", ""program"": ""violin"", ""quality"": ""augmented"", ""root"": 50, ""root_name"": ""D"", ""soundfont"": ""musescore""}"
chord_quality/augmented_block_55_2::audio::mcq,chord_quality/augmented_block_55_2,chord_quality,audio,mcq,2,stimuli/chords/augmented_block_55_2.wav,"Listen to this chord. What kind of chord is it?
A. augmented
B. minor seventh
C. dominant seventh
D. major
Answer with the letter of the correct option only (A, B, C, or D). Do not explain.",augmented|minor seventh|dominant seventh|major,augmented,D,major,False,,"{""inversion"": 0, ""presentation"": ""block"", ""program"": ""violin"", ""quality"": ""augmented"", ""root"": 55, ""root_name"": ""G"", ""soundfont"": ""musescore""}"
