job_id,stimulus_id,task,condition,format,paraphrase_idx,audio_path,prompt,options,ground_truth,raw_response,parsed,correct,error,factors
cents_discrimination/trial_0000::audio::open,cents_discrimination/trial_0000,cents_discrimination,audio,open,1,stimuli/cents/trial_0000.wav,"Compare the two tones you hear. Relative to the first, is the second one higher in pitch, lower, or identical?
Answer with exactly one word: higher, lower, or same.",,higher,same,same,False,,"{""base_midi"": 62.305, ""delta_cents"": 5, ""direction"": ""higher"", ""f1_hz"": 298.884, ""f2_hz"": 299.748}"
cents_discrimination/trial_0000::audio::explain,cents_discrimination/trial_0000,cents_discrimination,audio,explain,0,stimuli/cents/trial_0000.wav,"Two tones are played one after the other. Is the second tone higher, lower, or the same pitch as the first?
First give your answer. Then explain exactly what you heard that supports it: name the specific notes/chords/beats and their approximate timestamps in seconds.",,higher,"The second tone is higher than the first. I heard this because the second note, F5, has a higher MIDI pitch value () than the first note, G4, which has a MIDI pitch value of ().",,,,"{""base_midi"": 62.305, ""delta_cents"": 5, ""direction"": ""higher"", ""f1_hz"": 298.884, ""f2_hz"": 299.748}"
cents_discrimination/trial_0001::audio::open,cents_discrimination/trial_0001,cents_discrimination,audio,open,2,stimuli/cents/trial_0001.wav,"You will hear tone 1, a pause, then tone 2. Is tone 2 higher, lower, or the same as tone 1?
Answer with exactly one word: higher, lower, or same.",,lower,same,same,False,,"{""base_midi"": 71.349, ""delta_cents"": 5, ""direction"": ""lower"", ""f1_hz"": 503.927, ""f2_hz"": 502.474}"
cents_discrimination/trial_0002::audio::open,cents_discrimination/trial_0002,cents_discrimination,audio,open,2,stimuli/cents/trial_0002.wav,"You will hear tone 1, a pause, then tone 2. Is tone 2 higher, lower, or the same as tone 1?
Answer with exactly one word: higher, lower, or same.",,higher,same.,same,False,,"{""base_midi"": 63.112, ""delta_cents"": 10, ""direction"": ""higher"", ""f1_hz"": 313.145, ""f2_hz"": 314.959}"
cents_discrimination/trial_0003::audio::open,cents_discrimination/trial_0003,cents_discrimination,audio,open,0,stimuli/cents/trial_0003.wav,"Two tones are played one after the other. Is the second tone higher, lower, or the same pitch as the first?
Answer with exactly one word: higher, lower, or same.",,lower,same.,same,False,,"{""base_midi"": 62.003, ""delta_cents"": 10, ""direction"": ""lower"", ""f1_hz"": 293.721, ""f2_hz"": 292.029}"
cents_discrimination/trial_0004::audio::open,cents_discrimination/trial_0004,cents_discrimination,audio,open,2,stimuli/cents/trial_0004.wav,"You will hear tone 1, a pause, then tone 2. Is tone 2 higher, lower, or the same as tone 1?
Answer with exactly one word: higher, lower, or same.",,higher,same,same,False,,"{""base_midi"": 56.171, ""delta_cents"": 25, ""direction"": ""higher"", ""f1_hz"": 209.718, ""f2_hz"": 212.768}"
cents_discrimination/trial_0005::audio::open,cents_discrimination/trial_0005,cents_discrimination,audio,open,1,stimuli/cents/trial_0005.wav,"Compare the two tones you hear. Relative to the first, is the second one higher in pitch, lower, or identical?
Answer with exactly one word: higher, lower, or same.",,lower,same,same,False,,"{""base_midi"": 62.631, ""delta_cents"": 25, ""direction"": ""lower"", ""f1_hz"": 304.558, ""f2_hz"": 300.191}"
cents_discrimination/trial_0006::audio::open,cents_discrimination/trial_0006,cents_discrimination,audio,open,1,stimuli/cents/trial_0006.wav,"Compare the two tones you hear. Relative to the first, is the second one higher in pitch, lower, or identical?
Answer with exactly one word: higher, lower, or same.",,higher,same,same,False,,"{""base_midi"": 62.378, ""delta_cents"": 50, ""direction"": ""higher"", ""f1_hz"": 300.155, ""f2_hz"": 308.95}"
cents_discrimination/trial_0007::audio::open,cents_discrimination/trial_0007,cents_discrimination,audio,open,2,stimuli/cents/trial_0007.wav,"You will hear tone 1, a pause, then tone 2. Is tone 2 higher, lower, or the same as tone 1?
Answer with exactly one word: higher, lower, or same.",,lower,same.,same,False,,"{""base_midi"": 65.076, ""delta_cents"": 50, ""direction"": ""lower"", ""f1_hz"": 350.756, ""f2_hz"": 340.771}"
cents_discrimination/trial_0008::audio::open,cents_discrimination/trial_0008,cents_discrimination,audio,open,0,stimuli/cents/trial_0008.wav,"Two tones are played one after the other. Is the second tone higher, lower, or the same pitch as the first?
Answer with exactly one word: higher, lower, or same.",,higher,same.,same,False,,"{""base_midi"": 71.864, ""delta_cents"": 100, ""direction"": ""higher"", ""f1_hz"": 519.15, ""f2_hz"": 550.02}"
