job_id,stimulus_id,task,condition,format,paraphrase_idx,audio_path,prompt,options,ground_truth,raw_response,parsed,correct,error,factors
tempo_bpm/tempo_000::audio::open,tempo_bpm/tempo_000,tempo_bpm,audio,open,2,stimuli/tempo/tempo_000.wav,"How fast is this clip in beats per minute? Give only a numeric answer.
Give a short, direct answer.",,134.1,125,125,True,,"{""bpm"": 134.1, ""meter"": ""4/4"", ""n_bars"": 6}"
tempo_bpm/tempo_001::audio::open,tempo_bpm/tempo_001,tempo_bpm,audio,open,2,stimuli/tempo/tempo_001.wav,"How fast is this clip in beats per minute? Give only a numeric answer.
Give a short, direct answer.",,143.0,120 BPM,120,False,,"{""bpm"": 143.0, ""meter"": ""4/4"", ""n_bars"": 6}"
tempo_bpm/tempo_002::audio::open,tempo_bpm/tempo_002,tempo_bpm,audio,open,0,stimuli/tempo/tempo_002.wav,"What is the tempo of this clip, in beats per minute? Answer with a number only.
Give a short, direct answer.",,150.2,139,139,True,,"{""bpm"": 150.2, ""meter"": ""4/4"", ""n_bars"": 7}"
tempo_bpm/tempo_003::audio::open,tempo_bpm/tempo_003,tempo_bpm,audio,open,0,stimuli/tempo/tempo_003.wav,"What is the tempo of this clip, in beats per minute? Answer with a number only.
Give a short, direct answer.",,179.5,100,100,False,,"{""bpm"": 179.5, ""meter"": ""4/4"", ""n_bars"": 8}"
tempo_bpm/tempo_004::audio::open,tempo_bpm/tempo_004,tempo_bpm,audio,open,1,stimuli/tempo/tempo_004.wav,"Estimate the BPM (beats per minute) of this rhythm. Reply with just the number.
Give a short, direct answer.",,100.3,100,100,True,,"{""bpm"": 100.3, ""meter"": ""4/4"", ""n_bars"": 5}"
tempo_bpm/tempo_005::audio::open,tempo_bpm/tempo_005,tempo_bpm,audio,open,1,stimuli/tempo/tempo_005.wav,"Estimate the BPM (beats per minute) of this rhythm. Reply with just the number.
Give a short, direct answer.",,173.4,83,83,False,,"{""bpm"": 173.4, ""meter"": ""4/4"", ""n_bars"": 8}"
tempo_bpm/tempo_006::audio::open,tempo_bpm/tempo_006,tempo_bpm,audio,open,1,stimuli/tempo/tempo_006.wav,"Estimate the BPM (beats per minute) of this rhythm. Reply with just the number.
Give a short, direct answer.",,70.0,120,120,False,,"{""bpm"": 70.0, ""meter"": ""4/4"", ""n_bars"": 4}"
tempo_bpm/tempo_007::audio::open,tempo_bpm/tempo_007,tempo_bpm,audio,open,1,stimuli/tempo/tempo_007.wav,"Estimate the BPM (beats per minute) of this rhythm. Reply with just the number.
Give a short, direct answer.",,142.2,120,120,False,,"{""bpm"": 142.2, ""meter"": ""4/4"", ""n_bars"": 6}"
tempo_bpm/tempo_008::audio::open,tempo_bpm/tempo_008,tempo_bpm,audio,open,2,stimuli/tempo/tempo_008.wav,"How fast is this clip in beats per minute? Give only a numeric answer.
Give a short, direct answer.",,75.5,120 BPM,120,False,,"{""bpm"": 75.5, ""meter"": ""4/4"", ""n_bars"": 4}"
tempo_bpm/tempo_009::audio::open,tempo_bpm/tempo_009,tempo_bpm,audio,open,2,stimuli/tempo/tempo_009.wav,"How fast is this clip in beats per minute? Give only a numeric answer.
Give a short, direct answer.",,99.0,125 BPM,125,False,,"{""bpm"": 99.0, ""meter"": ""4/4"", ""n_bars"": 5}"
tempo_bpm/tempo_010::audio::open,tempo_bpm/tempo_010,tempo_bpm,audio,open,0,stimuli/tempo/tempo_010.wav,"What is the tempo of this clip, in beats per minute? Answer with a number only.
Give a short, direct answer.",,79.4,125,125,False,,"{""bpm"": 79.4, ""meter"": ""4/4"", ""n_bars"": 4}"
tempo_bpm/tempo_010::audio::explain,tempo_bpm/tempo_010,tempo_bpm,audio,explain,2,stimuli/tempo/tempo_010.wav,"How fast is this clip in beats per minute? Give only a numeric answer.
First give your answer. Then explain exactly what you heard that supports it: name the specific notes/chords/beats and their approximate timestamps in seconds.",,79.4,"120 BPM

The audio features a consistent rhythmic pattern of beeps, with each beep occurring approximately every half second. This results in a tempo of 120 beats per minute.",,,,"{""bpm"": 79.4, ""meter"": ""4/4"", ""n_bars"": 4}"
tempo_bpm/tempo_011::audio::open,tempo_bpm/tempo_011,tempo_bpm,audio,open,0,stimuli/tempo/tempo_011.wav,"What is the tempo of this clip, in beats per minute? Answer with a number only.
Give a short, direct answer.",,82.7,125,125,False,,"{""bpm"": 82.7, ""meter"": ""4/4"", ""n_bars"": 4}"
tempo_bpm/tempo_012::audio::open,tempo_bpm/tempo_012,tempo_bpm,audio,open,2,stimuli/tempo/tempo_012.wav,"How fast is this clip in beats per minute? Give only a numeric answer.
Give a short, direct answer.",,85.5,120 BPM,120,False,,"{""bpm"": 85.5, ""meter"": ""4/4"", ""n_bars"": 4}"
tempo_bpm/tempo_013::audio::open,tempo_bpm/tempo_013,tempo_bpm,audio,open,2,stimuli/tempo/tempo_013.wav,"How fast is this clip in beats per minute? Give only a numeric answer.
Give a short, direct answer.",,133.3,120 BPM,120,False,,"{""bpm"": 133.3, ""meter"": ""4/4"", ""n_bars"": 6}"
tempo_bpm/tempo_014::audio::open,tempo_bpm/tempo_014,tempo_bpm,audio,open,0,stimuli/tempo/tempo_014.wav,"What is the tempo of this clip, in beats per minute? Answer with a number only.
Give a short, direct answer.",,75.0,120,120,False,,"{""bpm"": 75.0, ""meter"": ""4/4"", ""n_bars"": 4}"
tempo_bpm/tempo_015::audio::open,tempo_bpm/tempo_015,tempo_bpm,audio,open,1,stimuli/tempo/tempo_015.wav,"Estimate the BPM (beats per minute) of this rhythm. Reply with just the number.
Give a short, direct answer.",,149.8,125,125,False,,"{""bpm"": 149.8, ""meter"": ""4/4"", ""n_bars"": 7}"
tempo_bpm/tempo_016::audio::open,tempo_bpm/tempo_016,tempo_bpm,audio,open,0,stimuli/tempo/tempo_016.wav,"What is the tempo of this clip, in beats per minute? Answer with a number only.
Give a short, direct answer.",,120.8,120,120,True,,"{""bpm"": 120.8, ""meter"": ""4/4"", ""n_bars"": 6}"
tempo_bpm/tempo_017::audio::open,tempo_bpm/tempo_017,tempo_bpm,audio,open,0,stimuli/tempo/tempo_017.wav,"What is the tempo of this clip, in beats per minute? Answer with a number only.
Give a short, direct answer.",,64.7,139,139,False,,"{""bpm"": 64.7, ""meter"": ""4/4"", ""n_bars"": 4}"
tempo_bpm/tempo_018::audio::open,tempo_bpm/tempo_018,tempo_bpm,audio,open,1,stimuli/tempo/tempo_018.wav,"Estimate the BPM (beats per minute) of this rhythm. Reply with just the number.
Give a short, direct answer.",,56.6,125,125,False,,"{""bpm"": 56.6, ""meter"": ""4/4"", ""n_bars"": 4}"
tempo_bpm/tempo_018::audio::explain,tempo_bpm/tempo_018,tempo_bpm,audio,explain,1,stimuli/tempo/tempo_018.wav,"Estimate the BPM (beats per minute) of this rhythm. Reply with just the number.
First give your answer. Then explain exactly what you heard that supports it: name the specific notes/chords/beats and their approximate timestamps in seconds.",,56.6,"120 BPM

The rhythm consists of a repeating pattern of two notes, a high note followed by a lower note, played in a steady tempo. The high note is played at approximately 0.00 seconds, and the lower note is played at approximately 0.25 seconds. This pattern repeats every 0.25 seconds, resulting in a tempo of 120 beats per minute.",,,,"{""bpm"": 56.6, ""meter"": ""4/4"", ""n_bars"": 4}"
tempo_bpm/tempo_019::audio::open,tempo_bpm/tempo_019,tempo_bpm,audio,open,0,stimuli/tempo/tempo_019.wav,"What is the tempo of this clip, in beats per minute? Answer with a number only.
Give a short, direct answer.",,85.3,125,125,False,,"{""bpm"": 85.3, ""meter"": ""4/4"", ""n_bars"": 4}"
tempo_bpm/tempo_020::audio::open,tempo_bpm/tempo_020,tempo_bpm,audio,open,2,stimuli/tempo/tempo_020.wav,"How fast is this clip in beats per minute? Give only a numeric answer.
Give a short, direct answer.",,133.2,125,125,True,,"{""bpm"": 133.2, ""meter"": ""4/4"", ""n_bars"": 6}"
tempo_bpm/tempo_021::audio::open,tempo_bpm/tempo_021,tempo_bpm,audio,open,2,stimuli/tempo/tempo_021.wav,"How fast is this clip in beats per minute? Give only a numeric answer.
Give a short, direct answer.",,156.4,143,143,False,,"{""bpm"": 156.4, ""meter"": ""4/4"", ""n_bars"": 7}"
tempo_bpm/tempo_022::audio::open,tempo_bpm/tempo_022,tempo_bpm,audio,open,1,stimuli/tempo/tempo_022.wav,"Estimate the BPM (beats per minute) of this rhythm. Reply with just the number.
Give a short, direct answer.",,121.7,120,120,True,,"{""bpm"": 121.7, ""meter"": ""4/4"", ""n_bars"": 6}"
tempo_bpm/tempo_023::audio::open,tempo_bpm/tempo_023,tempo_bpm,audio,open,0,stimuli/tempo/tempo_023.wav,"What is the tempo of this clip, in beats per minute? Answer with a number only.
Give a short, direct answer.",,90.6,120,120,False,,"{""bpm"": 90.6, ""meter"": ""4/4"", ""n_bars"": 4}"
tempo_bpm/tempo_024::audio::open,tempo_bpm/tempo_024,tempo_bpm,audio,open,2,stimuli/tempo/tempo_024.wav,"How fast is this clip in beats per minute? Give only a numeric answer.
Give a short, direct answer.",,126.0,120 BPM,120,True,,"{""bpm"": 126.0, ""meter"": ""4/4"", ""n_bars"": 6}"
tempo_bpm/tempo_025::audio::open,tempo_bpm/tempo_025,tempo_bpm,audio,open,2,stimuli/tempo/tempo_025.wav,"How fast is this clip in beats per minute? Give only a numeric answer.
Give a short, direct answer.",,140.4,139 BPM,139,True,,"{""bpm"": 140.4, ""meter"": ""4/4"", ""n_bars"": 6}"
tempo_bpm/tempo_026::audio::open,tempo_bpm/tempo_026,tempo_bpm,audio,open,0,stimuli/tempo/tempo_026.wav,"What is the tempo of this clip, in beats per minute? Answer with a number only.
Give a short, direct answer.",,92.8,120,120,False,,"{""bpm"": 92.8, ""meter"": ""4/4"", ""n_bars"": 4}"
tempo_bpm/tempo_027::audio::open,tempo_bpm/tempo_027,tempo_bpm,audio,open,1,stimuli/tempo/tempo_027.wav,"Estimate the BPM (beats per minute) of this rhythm. Reply with just the number.
Give a short, direct answer.",,168.0,80,80,False,,"{""bpm"": 168.0, ""meter"": ""4/4"", ""n_bars"": 7}"
tempo_bpm/tempo_027::audio::explain,tempo_bpm/tempo_027,tempo_bpm,audio,explain,1,stimuli/tempo/tempo_027.wav,"Estimate the BPM (beats per minute) of this rhythm. Reply with just the number.
First give your answer. Then explain exactly what you heard that supports it: name the specific notes/chords/beats and their approximate timestamps in seconds.",,168.0,"120 BPM

The rhythm consists of a repeating pattern of two notes, a high note followed by a lower note, played in a steady sequence. The high note is played at approximately 0.00-0.20 seconds, and the lower note is played at approximately 0.20-0.40 seconds. This pattern repeats throughout the audio, creating a consistent rhythm.",,,,"{""bpm"": 168.0, ""meter"": ""4/4"", ""n_bars"": 7}"
tempo_bpm/tempo_028::audio::open,tempo_bpm/tempo_028,tempo_bpm,audio,open,0,stimuli/tempo/tempo_028.wav,"What is the tempo of this clip, in beats per minute? Answer with a number only.
Give a short, direct answer.",,169.7,125,125,False,,"{""bpm"": 169.7, ""meter"": ""4/4"", ""n_bars"": 8}"
tempo_bpm/tempo_029::audio::open,tempo_bpm/tempo_029,tempo_bpm,audio,open,2,stimuli/tempo/tempo_029.wav,"How fast is this clip in beats per minute? Give only a numeric answer.
Give a short, direct answer.",,78.0,120 BPM,120,False,,"{""bpm"": 78.0, ""meter"": ""4/4"", ""n_bars"": 4}"
tempo_bpm/tempo_030::audio::open,tempo_bpm/tempo_030,tempo_bpm,audio,open,1,stimuli/tempo/tempo_030.wav,"Estimate the BPM (beats per minute) of this rhythm. Reply with just the number.
Give a short, direct answer.",,141.1,120,120,False,,"{""bpm"": 141.1, ""meter"": ""4/4"", ""n_bars"": 6}"
tempo_bpm/tempo_031::audio::open,tempo_bpm/tempo_031,tempo_bpm,audio,open,0,stimuli/tempo/tempo_031.wav,"What is the tempo of this clip, in beats per minute? Answer with a number only.
Give a short, direct answer.",,81.9,120,120,False,,"{""bpm"": 81.9, ""meter"": ""4/4"", ""n_bars"": 4}"
tempo_bpm/tempo_032::audio::open,tempo_bpm/tempo_032,tempo_bpm,audio,open,1,stimuli/tempo/tempo_032.wav,"Estimate the BPM (beats per minute) of this rhythm. Reply with just the number.
Give a short, direct answer.",,183.0,100,100,False,,"{""bpm"": 183.0, ""meter"": ""4/4"", ""n_bars"": 8}"
tempo_bpm/tempo_033::audio::open,tempo_bpm/tempo_033,tempo_bpm,audio,open,2,stimuli/tempo/tempo_033.wav,"How fast is this clip in beats per minute? Give only a numeric answer.
Give a short, direct answer.",,145.2,139,139,True,,"{""bpm"": 145.2, ""meter"": ""4/4"", ""n_bars"": 7}"
