job_id,stimulus_id,task,condition,format,paraphrase_idx,audio_path,prompt,options,ground_truth,raw_response,parsed,correct,error,factors
note_count/count1_00::audio::mcq,note_count/count1_00,note_count,audio,mcq,0,stimuli/polyphony/count1_00.wav,"How many distinct notes are sounding simultaneously in this clip?
A. 1
B. 2
C. 3
Answer with the letter of the correct option only (A, B, C, or D). Do not explain.",1|2|3,1,A,1,True,,"{""n_notes"": 1, ""pitches"": [66], ""program"": ""piano"", ""soundfont"": ""fluidr3""}"
note_count/count1_00::audio::open,note_count/count1_00,note_count,audio,open,0,stimuli/polyphony/count1_00.wav,"How many distinct notes are sounding simultaneously in this clip?
Give a short, direct answer.",,1,One,One,False,,"{""n_notes"": 1, ""pitches"": [66], ""program"": ""piano"", ""soundfont"": ""fluidr3""}"
note_count/count1_01::audio::mcq,note_count/count1_01,note_count,audio,mcq,0,stimuli/polyphony/count1_01.wav,"How many distinct notes are sounding simultaneously in this clip?
A. 1
B. 3
C. 2
Answer with the letter of the correct option only (A, B, C, or D). Do not explain.",1|3|2,1,A,1,True,,"{""n_notes"": 1, ""pitches"": [61], ""program"": ""violin"", ""soundfont"": ""fluidr3""}"
note_count/count1_02::audio::mcq,note_count/count1_02,note_count,audio,mcq,2,stimuli/polyphony/count1_02.wav,"How many notes make up the sound you hear (played together at once)?
A. 1
B. 3
C. 2
Answer with the letter of the correct option only (A, B, C, or D). Do not explain.",1|3|2,1,A,1,True,,"{""n_notes"": 1, ""pitches"": [78], ""program"": ""flute"", ""soundfont"": ""fluidr3""}"
note_count/count1_03::audio::mcq,note_count/count1_03,note_count,audio,mcq,1,stimuli/polyphony/count1_03.wav,"Count the number of different pitches played at the same time. How many are there?
A. 3
B. 1
C. 2
Answer with the letter of the correct option only (A, B, C, or D). Do not explain.",3|1|2,1,B,1,True,,"{""n_notes"": 1, ""pitches"": [59], ""program"": ""piano"", ""soundfont"": ""timgm""}"
note_count/count1_03::audio::open,note_count/count1_03,note_count,audio,open,2,stimuli/polyphony/count1_03.wav,"How many notes make up the sound you hear (played together at once)?
Give a short, direct answer.",,1,One note,One note,False,,"{""n_notes"": 1, ""pitches"": [59], ""program"": ""piano"", ""soundfont"": ""timgm""}"
note_count/count1_04::audio::mcq,note_count/count1_04,note_count,audio,mcq,2,stimuli/polyphony/count1_04.wav,"How many notes make up the sound you hear (played together at once)?
A. 3
B. 1
C. 2
Answer with the letter of the correct option only (A, B, C, or D). Do not explain.",3|1|2,1,B,1,True,,"{""n_notes"": 1, ""pitches"": [76], ""program"": ""piano"", ""soundfont"": ""timgm""}"
note_count/count1_05::audio::mcq,note_count/count1_05,note_count,audio,mcq,2,stimuli/polyphony/count1_05.wav,"How many notes make up the sound you hear (played together at once)?
A. 1
B. 2
C. 3
Answer with the letter of the correct option only (A, B, C, or D). Do not explain.",1|2|3,1,A,1,True,,"{""n_notes"": 1, ""pitches"": [56], ""program"": ""violin"", ""soundfont"": ""musescore""}"
note_count/count1_06::audio::mcq,note_count/count1_06,note_count,audio,mcq,0,stimuli/polyphony/count1_06.wav,"How many distinct notes are sounding simultaneously in this clip?
A. 2
B. 1
C. 3
Answer with the letter of the correct option only (A, B, C, or D). Do not explain.",2|1|3,1,B,1,True,,"{""n_notes"": 1, ""pitches"": [71], ""program"": ""piano"", ""soundfont"": ""fluidr3""}"
note_count/count1_07::audio::mcq,note_count/count1_07,note_count,audio,mcq,1,stimuli/polyphony/count1_07.wav,"Count the number of different pitches played at the same time. How many are there?
A. 1
B. 2
C. 3
Answer with the letter of the correct option only (A, B, C, or D). Do not explain.",1|2|3,1,A,1,True,,"{""n_notes"": 1, ""pitches"": [73], ""program"": ""flute"", ""soundfont"": ""musescore""}"
note_count/count1_07::audio::open,note_count/count1_07,note_count,audio,open,1,stimuli/polyphony/count1_07.wav,"Count the number of different pitches played at the same time. How many are there?
Give a short, direct answer.",,1,1,1,True,,"{""n_notes"": 1, ""pitches"": [73], ""program"": ""flute"", ""soundfont"": ""musescore""}"
note_count/count1_07::audio::explain,note_count/count1_07,note_count,audio,explain,1,stimuli/polyphony/count1_07.wav,"Count the number of different pitches played at the same time. How many are there?
First give your answer. Then explain exactly what you heard that supports it: name the specific notes/chords/beats and their approximate timestamps in seconds.",,1,"There is 1 pitch played at the same time. The pitch is G#5, which is sustained throughout the entire 5.33-second clip from 0.00s to 5.33s.",,,,"{""n_notes"": 1, ""pitches"": [73], ""program"": ""flute"", ""soundfont"": ""musescore""}"
note_count/count1_08::audio::mcq,note_count/count1_08,note_count,audio,mcq,0,stimuli/polyphony/count1_08.wav,"How many distinct notes are sounding simultaneously in this clip?
A. 3
B. 2
C. 1
Answer with the letter of the correct option only (A, B, C, or D). Do not explain.",3|2|1,1,C,1,True,,"{""n_notes"": 1, ""pitches"": [70], ""program"": ""flute"", ""soundfont"": ""timgm""}"
note_count/count1_09::audio::mcq,note_count/count1_09,note_count,audio,mcq,1,stimuli/polyphony/count1_09.wav,"Count the number of different pitches played at the same time. How many are there?
A. 1
B. 2
C. 3
Answer with the letter of the correct option only (A, B, C, or D). Do not explain.",1|2|3,1,A,1,True,,"{""n_notes"": 1, ""pitches"": [77], ""program"": ""synth_lead"", ""soundfont"": ""timgm""}"
note_count/count1_09::audio::open,note_count/count1_09,note_count,audio,open,1,stimuli/polyphony/count1_09.wav,"Count the number of different pitches played at the same time. How many are there?
Give a short, direct answer.",,1,one,one,False,,"{""n_notes"": 1, ""pitches"": [77], ""program"": ""synth_lead"", ""soundfont"": ""timgm""}"
note_count/count1_10::audio::mcq,note_count/count1_10,note_count,audio,mcq,1,stimuli/polyphony/count1_10.wav,"Count the number of different pitches played at the same time. How many are there?
A. 2
B. 1
C. 3
Answer with the letter of the correct option only (A, B, C, or D). Do not explain.",2|1|3,1,B,1,True,,"{""n_notes"": 1, ""pitches"": [73], ""program"": ""flute"", ""soundfont"": ""musescore""}"
note_count/count1_11::audio::mcq,note_count/count1_11,note_count,audio,mcq,0,stimuli/polyphony/count1_11.wav,"How many distinct notes are sounding simultaneously in this clip?
A. 1
B. 3
C. 2
Answer with the letter of the correct option only (A, B, C, or D). Do not explain.",1|3|2,1,A,1,True,,"{""n_notes"": 1, ""pitches"": [60], ""program"": ""violin"", ""soundfont"": ""timgm""}"
note_count/count1_12::audio::mcq,note_count/count1_12,note_count,audio,mcq,2,stimuli/polyphony/count1_12.wav,"How many notes make up the sound you hear (played together at once)?
A. 3
B. 2
C. 1
Answer with the letter of the correct option only (A, B, C, or D). Do not explain.",3|2|1,1,C,1,True,,"{""n_notes"": 1, ""pitches"": [57], ""program"": ""flute"", ""soundfont"": ""musescore""}"
note_count/count1_12::audio::open,note_count/count1_12,note_count,audio,open,1,stimuli/polyphony/count1_12.wav,"Count the number of different pitches played at the same time. How many are there?
Give a short, direct answer.",,1,1,1,True,,"{""n_notes"": 1, ""pitches"": [57], ""program"": ""flute"", ""soundfont"": ""musescore""}"
note_count/count1_13::audio::mcq,note_count/count1_13,note_count,audio,mcq,1,stimuli/polyphony/count1_13.wav,"Count the number of different pitches played at the same time. How many are there?
A. 3
B. 1
C. 2
Answer with the letter of the correct option only (A, B, C, or D). Do not explain.",3|1|2,1,B,1,True,,"{""n_notes"": 1, ""pitches"": [64], ""program"": ""flute"", ""soundfont"": ""timgm""}"
note_count/count1_13::audio::explain,note_count/count1_13,note_count,audio,explain,0,stimuli/polyphony/count1_13.wav,"How many distinct notes are sounding simultaneously in this clip?
First give your answer. Then explain exactly what you heard that supports it: name the specific notes/chords/beats and their approximate timestamps in seconds.",,1,"One distinct note is sounding throughout the entire clip. The note is A, which begins at 0.000s and continues uninterrupted until 5.333s. There are no other pitches, harmonies, or rhythmic elements present—only a single sustained tone.",,,,"{""n_notes"": 1, ""pitches"": [64], ""program"": ""flute"", ""soundfont"": ""timgm""}"
note_count/count1_14::audio::mcq,note_count/count1_14,note_count,audio,mcq,2,stimuli/polyphony/count1_14.wav,"How many notes make up the sound you hear (played together at once)?
A. 3
B. 2
C. 1
Answer with the letter of the correct option only (A, B, C, or D). Do not explain.",3|2|1,1,C,1,True,,"{""n_notes"": 1, ""pitches"": [67], ""program"": ""flute"", ""soundfont"": ""timgm""}"
note_count/count1_14::audio::open,note_count/count1_14,note_count,audio,open,0,stimuli/polyphony/count1_14.wav,"How many distinct notes are sounding simultaneously in this clip?
Give a short, direct answer.",,1,One,One,False,,"{""n_notes"": 1, ""pitches"": [67], ""program"": ""flute"", ""soundfont"": ""timgm""}"
note_count/count1_15::audio::mcq,note_count/count1_15,note_count,audio,mcq,0,stimuli/polyphony/count1_15.wav,"How many distinct notes are sounding simultaneously in this clip?
A. 1
B. 3
C. 2
Answer with the letter of the correct option only (A, B, C, or D). Do not explain.",1|3|2,1,A,1,True,,"{""n_notes"": 1, ""pitches"": [58], ""program"": ""piano"", ""soundfont"": ""fluidr3""}"
note_count/count1_16::audio::mcq,note_count/count1_16,note_count,audio,mcq,0,stimuli/polyphony/count1_16.wav,"How many distinct notes are sounding simultaneously in this clip?
A. 1
B. 2
C. 3
Answer with the letter of the correct option only (A, B, C, or D). Do not explain.",1|2|3,1,A,1,True,,"{""n_notes"": 1, ""pitches"": [66], ""program"": ""flute"", ""soundfont"": ""timgm""}"
