job_id,stimulus_id,task,condition,format,paraphrase_idx,audio_path,prompt,options,ground_truth,raw_response,parsed,correct,error,factors
octave_id/pitch/048_synth_lead_musescore_1::audio::mcq,octave_id/pitch/048_synth_lead_musescore_1,octave_id,audio,mcq,0,stimuli/pitch/048_synth_lead_musescore_1.wav,"Listen to this note. In which octave is it, in scientific pitch notation (middle C = C4)?
A. 2
B. 3
C. 4
D. 1
Answer with the letter of the correct option only (A, B, C, or D). Do not explain.",2|3|4|1,3,A,2,False,,"{""midi"": 48, ""note_name"": ""C3"", ""octave"": 3, ""pitch_class"": ""C"", ""program"": ""synth_lead"", ""soundfont"": ""musescore""}"
octave_id/pitch/048_violin_timgm_0::audio::mcq,octave_id/pitch/048_violin_timgm_0,octave_id,audio,mcq,1,stimuli/pitch/048_violin_timgm_0.wav,"A single note is played. What octave number does it fall in (C4 = middle C)?
A. 1
B. 4
C. 2
D. 3
Answer with the letter of the correct option only (A, B, C, or D). Do not explain.",1|4|2|3,3,C,2,False,,"{""midi"": 48, ""note_name"": ""C3"", ""octave"": 3, ""pitch_class"": ""C"", ""program"": ""violin"", ""soundfont"": ""timgm""}"
octave_id/pitch/048_violin_timgm_0::audio::open,octave_id/pitch/048_violin_timgm_0,octave_id,audio,open,0,stimuli/pitch/048_violin_timgm_0.wav,"Listen to this note. In which octave is it, in scientific pitch notation (middle C = C4)?
Give a short, direct answer.",,3,The 3rd octave.,The 3rd octave.,True,,"{""midi"": 48, ""note_name"": ""C3"", ""octave"": 3, ""pitch_class"": ""C"", ""program"": ""violin"", ""soundfont"": ""timgm""}"
octave_id/pitch/049_piano_timgm_1::audio::mcq,octave_id/pitch/049_piano_timgm_1,octave_id,audio,mcq,1,stimuli/pitch/049_piano_timgm_1.wav,"A single note is played. What octave number does it fall in (C4 = middle C)?
A. 2
B. 4
C. 3
D. 5
Answer with the letter of the correct option only (A, B, C, or D). Do not explain.",2|4|3|5,3,C,3,True,,"{""midi"": 49, ""note_name"": ""C#3"", ""octave"": 3, ""pitch_class"": ""C#"", ""program"": ""piano"", ""soundfont"": ""timgm""}"
octave_id/pitch/049_synth_lead_fluidr3_0::audio::mcq,octave_id/pitch/049_synth_lead_fluidr3_0,octave_id,audio,mcq,1,stimuli/pitch/049_synth_lead_fluidr3_0.wav,"A single note is played. What octave number does it fall in (C4 = middle C)?
A. 1
B. 4
C. 2
D. 3
Answer with the letter of the correct option only (A, B, C, or D). Do not explain.",1|4|2|3,3,C,2,False,,"{""midi"": 49, ""note_name"": ""C#3"", ""octave"": 3, ""pitch_class"": ""C#"", ""program"": ""synth_lead"", ""soundfont"": ""fluidr3""}"
octave_id/pitch/050_flute_fluidr3_0::audio::mcq,octave_id/pitch/050_flute_fluidr3_0,octave_id,audio,mcq,1,stimuli/pitch/050_flute_fluidr3_0.wav,"A single note is played. What octave number does it fall in (C4 = middle C)?
A. 3
B. 1
C. 4
D. 2
Answer with the letter of the correct option only (A, B, C, or D). Do not explain.",3|1|4|2,3,D,2,False,,"{""midi"": 50, ""note_name"": ""D3"", ""octave"": 3, ""pitch_class"": ""D"", ""program"": ""flute"", ""soundfont"": ""fluidr3""}"
octave_id/pitch/050_flute_fluidr3_1::audio::mcq,octave_id/pitch/050_flute_fluidr3_1,octave_id,audio,mcq,1,stimuli/pitch/050_flute_fluidr3_1.wav,"A single note is played. What octave number does it fall in (C4 = middle C)?
A. 3
B. 4
C. 5
D. 2
Answer with the letter of the correct option only (A, B, C, or D). Do not explain.",3|4|5|2,3,A,3,True,,"{""midi"": 50, ""note_name"": ""D3"", ""octave"": 3, ""pitch_class"": ""D"", ""program"": ""flute"", ""soundfont"": ""fluidr3""}"
octave_id/pitch/051_flute_timgm_0::audio::mcq,octave_id/pitch/051_flute_timgm_0,octave_id,audio,mcq,1,stimuli/pitch/051_flute_timgm_0.wav,"A single note is played. What octave number does it fall in (C4 = middle C)?
A. 4
B. 5
C. 3
D. 2
Answer with the letter of the correct option only (A, B, C, or D). Do not explain.",4|5|3|2,3,D,2,False,,"{""midi"": 51, ""note_name"": ""D#3"", ""octave"": 3, ""pitch_class"": ""D#"", ""program"": ""flute"", ""soundfont"": ""timgm""}"
octave_id/pitch/051_piano_fluidr3_1::audio::mcq,octave_id/pitch/051_piano_fluidr3_1,octave_id,audio,mcq,2,stimuli/pitch/051_piano_fluidr3_1.wav,"Identify the octave of the note you hear, where middle C is octave 4.
A. 5
B. 2
C. 3
D. 4
Answer with the letter of the correct option only (A, B, C, or D). Do not explain.",5|2|3|4,3,C,3,True,,"{""midi"": 51, ""note_name"": ""D#3"", ""octave"": 3, ""pitch_class"": ""D#"", ""program"": ""piano"", ""soundfont"": ""fluidr3""}"
octave_id/pitch/051_piano_fluidr3_1::audio::explain,octave_id/pitch/051_piano_fluidr3_1,octave_id,audio,explain,0,stimuli/pitch/051_piano_fluidr3_1.wav,"Listen to this note. In which octave is it, in scientific pitch notation (middle C = C4)?
First give your answer. Then explain exactly what you heard that supports it: name the specific notes/chords/beats and their approximate timestamps in seconds.",,3,"The note is in the **3rd octave**.

Here is the explanation of what was heard:

*   **00:00:** A single note is played on an instrument that sounds like a piano. The note is a C.
*   This C is clearly lower in pitch than Middle C (C4). It is exactly one octave below Middle C.
*   In scientific pitch notation, the C one octave below C4 is designated **C3**. By definition, any note from C3 up to B3 is in the 3rd octave.",,,,"{""midi"": 51, ""note_name"": ""D#3"", ""octave"": 3, ""pitch_class"": ""D#"", ""program"": ""piano"", ""soundfont"": ""fluidr3""}"
