job_id,stimulus_id,task,condition,format,paraphrase_idx,audio_path,prompt,options,ground_truth,raw_response,parsed,correct,error,factors
tuning_judgment/tune_0000::audio::open,tuning_judgment/tune_0000,tuning_judgment,audio,open,0,stimuli/tuning/tune_0000.wav,"A single note is played. Is it in tune (matching standard concert pitch, like a piano note) or out of tune?
Answer with exactly: in tune, or out of tune.",,in tune,in tune,in tune,True,,"{""base_midi"": 70, ""base_name"": ""A#4"", ""detune_cents"": 0, ""midi_exact"": 70.0, ""sign"": 1}"
tuning_judgment/tune_0000::audio::explain,tuning_judgment/tune_0000,tuning_judgment,audio,explain,2,stimuli/tuning/tune_0000.wav,"Is the note you hear in tune or out of tune relative to standard Western tuning?
First give your answer. Then explain exactly what you heard that supports it: name the specific notes/chords/beats and their approximate timestamps in seconds.",,in tune,"The note is out of tune relative to standard Western tuning.

The audio contains a note that is approximately in the key of A♯4, which is slightly flat relative to the standard Western tuning. The note is played from approximately 0.00 to 1.00 seconds.",,,,"{""base_midi"": 70, ""base_name"": ""A#4"", ""detune_cents"": 0, ""midi_exact"": 70.0, ""sign"": 1}"
tuning_judgment/tune_0001::audio::open,tuning_judgment/tune_0001,tuning_judgment,audio,open,1,stimuli/tuning/tune_0001.wav,"Listen to this note. Would it match a key on a well-tuned piano, or is it off-pitch (between piano notes)?
Answer with exactly: in tune, or out of tune.",,in tune,in tune,in tune,True,,"{""base_midi"": 74, ""base_name"": ""D5"", ""detune_cents"": 0, ""midi_exact"": 74.0, ""sign"": 1}"
tuning_judgment/tune_0002::audio::open,tuning_judgment/tune_0002,tuning_judgment,audio,open,0,stimuli/tuning/tune_0002.wav,"A single note is played. Is it in tune (matching standard concert pitch, like a piano note) or out of tune?
Answer with exactly: in tune, or out of tune.",,in tune,in tune,in tune,True,,"{""base_midi"": 65, ""base_name"": ""F4"", ""detune_cents"": 0, ""midi_exact"": 65.0, ""sign"": 1}"
tuning_judgment/tune_0002::audio::explain,tuning_judgment/tune_0002,tuning_judgment,audio,explain,1,stimuli/tuning/tune_0002.wav,"Listen to this note. Would it match a key on a well-tuned piano, or is it off-pitch (between piano notes)?
First give your answer. Then explain exactly what you heard that supports it: name the specific notes/chords/beats and their approximate timestamps in seconds.",,in tune,"The note is off-pitch. It is between the notes F4 and F#4.

The audio contains a note that is slightly higher than F4. It is played from approximately 0.00 to 1.00 seconds.",,,,"{""base_midi"": 65, ""base_name"": ""F4"", ""detune_cents"": 0, ""midi_exact"": 65.0, ""sign"": 1}"
tuning_judgment/tune_0003::audio::open,tuning_judgment/tune_0003,tuning_judgment,audio,open,1,stimuli/tuning/tune_0003.wav,"Listen to this note. Would it match a key on a well-tuned piano, or is it off-pitch (between piano notes)?
Answer with exactly: in tune, or out of tune.",,in tune,out of tune,out of tune,False,,"{""base_midi"": 69, ""base_name"": ""A4"", ""detune_cents"": 0, ""midi_exact"": 69.0, ""sign"": -1}"
tuning_judgment/tune_0004::audio::open,tuning_judgment/tune_0004,tuning_judgment,audio,open,1,stimuli/tuning/tune_0004.wav,"Listen to this note. Would it match a key on a well-tuned piano, or is it off-pitch (between piano notes)?
Answer with exactly: in tune, or out of tune.",,in tune,in tune,in tune,True,,"{""base_midi"": 60, ""base_name"": ""C4"", ""detune_cents"": 0, ""midi_exact"": 60.0, ""sign"": -1}"
tuning_judgment/tune_0005::audio::open,tuning_judgment/tune_0005,tuning_judgment,audio,open,2,stimuli/tuning/tune_0005.wav,"Is the note you hear in tune or out of tune relative to standard Western tuning?
Answer with exactly: in tune, or out of tune.",,in tune,out of tune,out of tune,False,,"{""base_midi"": 68, ""base_name"": ""G#4"", ""detune_cents"": 0, ""midi_exact"": 68.0, ""sign"": 1}"
tuning_judgment/tune_0006::audio::open,tuning_judgment/tune_0006,tuning_judgment,audio,open,2,stimuli/tuning/tune_0006.wav,"Is the note you hear in tune or out of tune relative to standard Western tuning?
Answer with exactly: in tune, or out of tune.",,in tune,out of tune,out of tune,False,,"{""base_midi"": 68, ""base_name"": ""G#4"", ""detune_cents"": 0, ""midi_exact"": 68.0, ""sign"": -1}"
tuning_judgment/tune_0007::audio::open,tuning_judgment/tune_0007,tuning_judgment,audio,open,2,stimuli/tuning/tune_0007.wav,"Is the note you hear in tune or out of tune relative to standard Western tuning?
Answer with exactly: in tune, or out of tune.",,in tune,in tune,in tune,True,,"{""base_midi"": 67, ""base_name"": ""G4"", ""detune_cents"": 0, ""midi_exact"": 67.0, ""sign"": -1}"
tuning_judgment/tune_0008::audio::open,tuning_judgment/tune_0008,tuning_judgment,audio,open,1,stimuli/tuning/tune_0008.wav,"Listen to this note. Would it match a key on a well-tuned piano, or is it off-pitch (between piano notes)?
Answer with exactly: in tune, or out of tune.",,in tune,out of tune,out of tune,False,,"{""base_midi"": 54, ""base_name"": ""F#3"", ""detune_cents"": 0, ""midi_exact"": 54.0, ""sign"": 1}"
tuning_judgment/tune_0009::audio::open,tuning_judgment/tune_0009,tuning_judgment,audio,open,2,stimuli/tuning/tune_0009.wav,"Is the note you hear in tune or out of tune relative to standard Western tuning?
Answer with exactly: in tune, or out of tune.",,in tune,in tune,in tune,True,,"{""base_midi"": 74, ""base_name"": ""D5"", ""detune_cents"": 0, ""midi_exact"": 74.0, ""sign"": 1}"
tuning_judgment/tune_0010::audio::open,tuning_judgment/tune_0010,tuning_judgment,audio,open,0,stimuli/tuning/tune_0010.wav,"A single note is played. Is it in tune (matching standard concert pitch, like a piano note) or out of tune?
Answer with exactly: in tune, or out of tune.",,in tune,out of tune,out of tune,False,,"{""base_midi"": 61, ""base_name"": ""C#4"", ""detune_cents"": 0, ""midi_exact"": 61.0, ""sign"": -1}"
