job_id,stimulus_id,task,condition,format,paraphrase_idx,audio_path,prompt,options,ground_truth,raw_response,parsed,correct,error,factors
instrument_id/pitch/048_synth_lead_musescore_1::audio::mcq,instrument_id/pitch/048_synth_lead_musescore_1,instrument_id,audio,mcq,2,stimuli/pitch/048_synth_lead_musescore_1.wav,"Identify the instrument that plays the note in this clip.
A. violin
B. flute
C. piano
D. synth lead
Answer with the letter of the correct option only (A, B, C, or D). Do not explain.",violin|flute|piano|synth lead,synth lead,D,synth lead,True,,"{""midi"": 48, ""note_name"": ""C3"", ""octave"": 3, ""pitch_class"": ""C"", ""program"": ""synth_lead"", ""soundfont"": ""musescore""}"
instrument_id/pitch/048_violin_timgm_0::audio::mcq,instrument_id/pitch/048_violin_timgm_0,instrument_id,audio,mcq,1,stimuli/pitch/048_violin_timgm_0.wav,"Listen to this recording. Which instrument do you hear?
A. piano
B. flute
C. synth lead
D. violin
Answer with the letter of the correct option only (A, B, C, or D). Do not explain.",piano|flute|synth lead|violin,violin,C,synth lead,False,,"{""midi"": 48, ""note_name"": ""C3"", ""octave"": 3, ""pitch_class"": ""C"", ""program"": ""violin"", ""soundfont"": ""timgm""}"
instrument_id/pitch/048_violin_timgm_0::audio::explain,instrument_id/pitch/048_violin_timgm_0,instrument_id,audio,explain,0,stimuli/pitch/048_violin_timgm_0.wav,"What instrument is playing in this clip?
First give your answer. Then explain exactly what you heard that supports it: name the specific notes/chords/beats and their approximate timestamps in seconds.",,violin,"The instrument is a reed. The note played is C3 with a duration of approximately 0.5 seconds, from timestamp 2.47 to 3.07.",,,,"{""midi"": 48, ""note_name"": ""C3"", ""octave"": 3, ""pitch_class"": ""C"", ""program"": ""violin"", ""soundfont"": ""timgm""}"
instrument_id/pitch/049_piano_timgm_1::audio::mcq,instrument_id/pitch/049_piano_timgm_1,instrument_id,audio,mcq,0,stimuli/pitch/049_piano_timgm_1.wav,"What instrument is playing in this clip?
A. flute
B. violin
C. piano
D. synth lead
Answer with the letter of the correct option only (A, B, C, or D). Do not explain.",flute|violin|piano|synth lead,piano,C,piano,True,,"{""midi"": 49, ""note_name"": ""C#3"", ""octave"": 3, ""pitch_class"": ""C#"", ""program"": ""piano"", ""soundfont"": ""timgm""}"
instrument_id/pitch/049_piano_timgm_1::audio::explain,instrument_id/pitch/049_piano_timgm_1,instrument_id,audio,explain,2,stimuli/pitch/049_piano_timgm_1.wav,"Identify the instrument that plays the note in this clip.
First give your answer. Then explain exactly what you heard that supports it: name the specific notes/chords/beats and their approximate timestamps in seconds.",,piano,"The instrument is a keyboard. The note played is C♯3, which has a MIDI pitch of.",,,,"{""midi"": 49, ""note_name"": ""C#3"", ""octave"": 3, ""pitch_class"": ""C#"", ""program"": ""piano"", ""soundfont"": ""timgm""}"
instrument_id/pitch/049_synth_lead_fluidr3_0::audio::mcq,instrument_id/pitch/049_synth_lead_fluidr3_0,instrument_id,audio,mcq,0,stimuli/pitch/049_synth_lead_fluidr3_0.wav,"What instrument is playing in this clip?
A. flute
B. piano
C. synth lead
D. violin
Answer with the letter of the correct option only (A, B, C, or D). Do not explain.",flute|piano|synth lead|violin,synth lead,C,synth lead,True,,"{""midi"": 49, ""note_name"": ""C#3"", ""octave"": 3, ""pitch_class"": ""C#"", ""program"": ""synth_lead"", ""soundfont"": ""fluidr3""}"
instrument_id/pitch/050_flute_fluidr3_0::audio::mcq,instrument_id/pitch/050_flute_fluidr3_0,instrument_id,audio,mcq,0,stimuli/pitch/050_flute_fluidr3_0.wav,"What instrument is playing in this clip?
A. synth lead
B. piano
C. flute
D. violin
Answer with the letter of the correct option only (A, B, C, or D). Do not explain.",synth lead|piano|flute|violin,flute,C,flute,True,,"{""midi"": 50, ""note_name"": ""D3"", ""octave"": 3, ""pitch_class"": ""D"", ""program"": ""flute"", ""soundfont"": ""fluidr3""}"
instrument_id/pitch/050_flute_fluidr3_0::audio::open,instrument_id/pitch/050_flute_fluidr3_0,instrument_id,audio,open,2,stimuli/pitch/050_flute_fluidr3_0.wav,"Identify the instrument that plays the note in this clip.
Give a short, direct answer.",,flute,reed,,,,"{""midi"": 50, ""note_name"": ""D3"", ""octave"": 3, ""pitch_class"": ""D"", ""program"": ""flute"", ""soundfont"": ""fluidr3""}"
instrument_id/pitch/050_flute_fluidr3_1::audio::mcq,instrument_id/pitch/050_flute_fluidr3_1,instrument_id,audio,mcq,0,stimuli/pitch/050_flute_fluidr3_1.wav,"What instrument is playing in this clip?
A. piano
B. synth lead
C. flute
D. violin
Answer with the letter of the correct option only (A, B, C, or D). Do not explain.",piano|synth lead|flute|violin,flute,C,flute,True,,"{""midi"": 50, ""note_name"": ""D3"", ""octave"": 3, ""pitch_class"": ""D"", ""program"": ""flute"", ""soundfont"": ""fluidr3""}"
instrument_id/pitch/051_flute_timgm_0::audio::mcq,instrument_id/pitch/051_flute_timgm_0,instrument_id,audio,mcq,0,stimuli/pitch/051_flute_timgm_0.wav,"What instrument is playing in this clip?
A. piano
B. violin
C. synth lead
D. flute
Answer with the letter of the correct option only (A, B, C, or D). Do not explain.",piano|violin|synth lead|flute,flute,C,synth lead,False,,"{""midi"": 51, ""note_name"": ""D#3"", ""octave"": 3, ""pitch_class"": ""D#"", ""program"": ""flute"", ""soundfont"": ""timgm""}"
