job_id,stimulus_id,task,condition,format,paraphrase_idx,audio_path,prompt,options,ground_truth,raw_response,parsed,correct,error,factors
beats_per_bar/meter_3-4_04::audio::explain,beats_per_bar/meter_3-4_04,beats_per_bar,audio,explain,1,stimuli/meter/meter_3-4_04.wav,"This rhythm repeats in cycles, each starting with a stronger beat. How many beats long is each cycle?
First give your answer. Then explain exactly what you heard that supports it: name the specific notes/chords/beats and their approximate timestamps in seconds.",,3,"Each cycle is 4 beats long. This is evident from the repeating pattern of four distinct beats: a strong beat followed by three weaker beats, as heard throughout the clip (e.g., the first beat at 0.01 s, the second at 0.06 s, the third at 0.11 s, and the fourth at 0.16 s, repeating in the same order).",,,,"{""beats"": 3, ""bpm"": 90.7, ""meter"": ""3/4"", ""n_bars"": 6}"
beats_per_bar/meter_3-4_11::audio::explain,beats_per_bar/meter_3-4_11,beats_per_bar,audio,explain,2,stimuli/meter/meter_3-4_11.wav,"Count the beats between the strong accents. How many beats per measure does this rhythm have?
First give your answer. Then explain exactly what you heard that supports it: name the specific notes/chords/beats and their approximate timestamps in seconds.",,3,"The rhythm has 4 beats per measure. This is evident from the steady pulse of the electronic beeps, which repeat in a regular pattern of four distinct clicks before the cycle restarts.",,,,"{""beats"": 3, ""bpm"": 92.3, ""meter"": ""3/4"", ""n_bars"": 6}"
beats_per_bar/meter_3-4_16::audio::explain,beats_per_bar/meter_3-4_16,beats_per_bar,audio,explain,2,stimuli/meter/meter_3-4_16.wav,"Count the beats between the strong accents. How many beats per measure does this rhythm have?
First give your answer. Then explain exactly what you heard that supports it: name the specific notes/chords/beats and their approximate timestamps in seconds.",,3,"The rhythm has 4 beats per measure. This is evident from the steady pulse of the electronic percussion, which repeats in a regular pattern of four beats before the next cycle begins.",,,,"{""beats"": 3, ""bpm"": 138.5, ""meter"": ""3/4"", ""n_bars"": 8}"
beats_per_bar/meter_4-4_01::audio::explain,beats_per_bar/meter_4-4_01,beats_per_bar,audio,explain,2,stimuli/meter/meter_4-4_01.wav,"Count the beats between the strong accents. How many beats per measure does this rhythm have?
First give your answer. Then explain exactly what you heard that supports it: name the specific notes/chords/beats and their approximate timestamps in seconds.",,4,"The rhythm has 4 beats per measure. This is evident from the steady pulse of the electronic percussion, which repeats in a regular pattern of four beats before the next cycle begins.",,,,"{""beats"": 4, ""bpm"": 147.2, ""meter"": ""4/4"", ""n_bars"": 7}"
beats_per_bar/meter_4-4_10::audio::explain,beats_per_bar/meter_4-4_10,beats_per_bar,audio,explain,1,stimuli/meter/meter_4-4_10.wav,"This rhythm repeats in cycles, each starting with a stronger beat. How many beats long is each cycle?
First give your answer. Then explain exactly what you heard that supports it: name the specific notes/chords/beats and their approximate timestamps in seconds.",,4,"Each cycle is 4 beats long. This is evident from the repeating pattern of four distinct beats: a strong beat followed by three weaker beats, as heard throughout the clip (e.g., the first beat at 0.08 s, the second at 0.64 s, the third at 1.20 s, and the fourth at 1.76 s, repeating in the same order).",,,,"{""beats"": 4, ""bpm"": 102.9, ""meter"": ""4/4"", ""n_bars"": 5}"
beats_per_bar/meter_4-4_16::audio::explain,beats_per_bar/meter_4-4_16,beats_per_bar,audio,explain,0,stimuli/meter/meter_4-4_16.wav,"Listen to the accent pattern of this rhythm. How many beats are there per bar (one accented beat starts each bar)?
First give your answer. Then explain exactly what you heard that supports it: name the specific notes/chords/beats and their approximate timestamps in seconds.",,4,"The rhythm has 4 beats per bar. This is evident from the steady pulse of the kick drum, which lands on every quarter note, and the consistent placement of the snare on beats 2 and 4, creating a classic 4/4 feel.",,,,"{""beats"": 4, ""bpm"": 109.2, ""meter"": ""4/4"", ""n_bars"": 5}"
beats_per_bar/meter_4-4_19::audio::explain,beats_per_bar/meter_4-4_19,beats_per_bar,audio,explain,1,stimuli/meter/meter_4-4_19.wav,"This rhythm repeats in cycles, each starting with a stronger beat. How many beats long is each cycle?
First give your answer. Then explain exactly what you heard that supports it: name the specific notes/chords/beats and their approximate timestamps in seconds.",,4,"Each cycle is 4 beats long. This is evident from the repeating pattern of four distinct beats: a strong beat followed by three weaker beats, as heard throughout the clip (e.g., the first beat at 0.08 s, the second at 0.48 s, the third at 0.88 s, and the fourth at 1.28 s, then repeating).",,,,"{""beats"": 4, ""bpm"": 90.7, ""meter"": ""4/4"", ""n_bars"": 4}"
beats_per_bar/meter_5-4_00::audio::explain,beats_per_bar/meter_5-4_00,beats_per_bar,audio,explain,2,stimuli/meter/meter_5-4_00.wav,"Count the beats between the strong accents. How many beats per measure does this rhythm have?
First give your answer. Then explain exactly what you heard that supports it: name the specific notes/chords/beats and their approximate timestamps in seconds.",,5,"The rhythm has 4 beats per measure. This is evident from the steady pulse of the electronic beeps, which repeat in a regular pattern of four distinct clicks before the cycle restarts.",,,,"{""beats"": 5, ""bpm"": 139.7, ""meter"": ""5/4"", ""n_bars"": 5}"
beats_per_bar/meter_5-4_03::audio::explain,beats_per_bar/meter_5-4_03,beats_per_bar,audio,explain,1,stimuli/meter/meter_5-4_03.wav,"This rhythm repeats in cycles, each starting with a stronger beat. How many beats long is each cycle?
First give your answer. Then explain exactly what you heard that supports it: name the specific notes/chords/beats and their approximate timestamps in seconds.",,5,"Each cycle is 4 beats long. This is evident from the repeating pattern of four distinct beats: a strong beat followed by three weaker beats, as heard throughout the clip (e.g., the first beat at 0.01 s, the second at 0.06 s, the third at 0.11 s, and the fourth at 0.16 s, repeating in the same order).",,,,"{""beats"": 5, ""bpm"": 139.8, ""meter"": ""5/4"", ""n_bars"": 5}"
beats_per_bar/meter_5-4_12::audio::explain,beats_per_bar/meter_5-4_12,beats_per_bar,audio,explain,0,stimuli/meter/meter_5-4_12.wav,"Listen to the accent pattern of this rhythm. How many beats are there per bar (one accented beat starts each bar)?
First give your answer. Then explain exactly what you heard that supports it: name the specific notes/chords/beats and their approximate timestamps in seconds.",,5,"The rhythm has 4 beats per bar. This is evident from the steady pulse of the kick drum, which lands on every quarter note, and the consistent placement of the snare on beats 2 and 4, creating a classic 4/4 feel.",,,,"{""beats"": 5, ""bpm"": 120.8, ""meter"": ""5/4"", ""n_bars"": 5}"
