job_id,stimulus_id,task,condition,format,paraphrase_idx,audio_path,prompt,options,ground_truth,raw_response,parsed,correct,error,factors
pitch_note_id/pitch/048_synth_lead_musescore_1::audio::mcq,pitch_note_id/pitch/048_synth_lead_musescore_1,pitch_note_id,audio,mcq,1,stimuli/pitch/048_synth_lead_musescore_1.wav,"A single note is played. Which note is it (C, C#, D, ...)?
A. C
B. B
C. C#
D. F#
Answer with the letter of the correct option only (A, B, C, or D). Do not explain.",C|B|C#|F#,C,C,C#,True,,"{""midi"": 48, ""note_name"": ""C3"", ""octave"": 3, ""pitch_class"": ""C"", ""program"": ""synth_lead"", ""soundfont"": ""musescore""}"
pitch_note_id/pitch/048_violin_timgm_0::audio::mcq,pitch_note_id/pitch/048_violin_timgm_0,pitch_note_id,audio,mcq,1,stimuli/pitch/048_violin_timgm_0.wav,"A single note is played. Which note is it (C, C#, D, ...)?
A. A#
B. B
C. C#
D. C
Answer with the letter of the correct option only (A, B, C, or D). Do not explain.",A#|B|C#|C,C,D,C,True,,"{""midi"": 48, ""note_name"": ""C3"", ""octave"": 3, ""pitch_class"": ""C"", ""program"": ""violin"", ""soundfont"": ""timgm""}"
pitch_note_id/pitch/048_violin_timgm_0::audio::explain,pitch_note_id/pitch/048_violin_timgm_0,pitch_note_id,audio,explain,0,stimuli/pitch/048_violin_timgm_0.wav,"Listen to this note. What is its pitch class (note name, ignoring octave)?
First give your answer. Then explain exactly what you heard that supports it: name the specific notes/chords/beats and their approximate timestamps in seconds.",,C,"The pitch class of the note is C3.

I heard a sustained, low-pitched sound that corresponds to the note C3. The sound is a single, clear tone, and it lasts from approximately 0.41 seconds to 4.53 seconds.",,,,"{""midi"": 48, ""note_name"": ""C3"", ""octave"": 3, ""pitch_class"": ""C"", ""program"": ""violin"", ""soundfont"": ""timgm""}"
pitch_note_id/pitch/049_piano_timgm_1::audio::mcq,pitch_note_id/pitch/049_piano_timgm_1,pitch_note_id,audio,mcq,1,stimuli/pitch/049_piano_timgm_1.wav,"A single note is played. Which note is it (C, C#, D, ...)?
A. C#
B. C
C. F#
D. D
Answer with the letter of the correct option only (A, B, C, or D). Do not explain.",C#|C|F#|D,C#,B,C,False,,"{""midi"": 49, ""note_name"": ""C#3"", ""octave"": 3, ""pitch_class"": ""C#"", ""program"": ""piano"", ""soundfont"": ""timgm""}"
pitch_note_id/pitch/049_piano_timgm_1::audio::explain,pitch_note_id/pitch/049_piano_timgm_1,pitch_note_id,audio,explain,2,stimuli/pitch/049_piano_timgm_1.wav,"Identify the musical note you hear, by letter name only.
First give your answer. Then explain exactly what you heard that supports it: name the specific notes/chords/beats and their approximate timestamps in seconds.",,C#,"C♯3.

The audio contains a single note, C♯3, which is played from 0.40 to 3.00 seconds.",,,,"{""midi"": 49, ""note_name"": ""C#3"", ""octave"": 3, ""pitch_class"": ""C#"", ""program"": ""piano"", ""soundfont"": ""timgm""}"
pitch_note_id/pitch/049_synth_lead_fluidr3_0::audio::mcq,pitch_note_id/pitch/049_synth_lead_fluidr3_0,pitch_note_id,audio,mcq,0,stimuli/pitch/049_synth_lead_fluidr3_0.wav,"Listen to this note. What is its pitch class (note name, ignoring octave)?
A. D
B. A#
C. C
D. C#
Answer with the letter of the correct option only (A, B, C, or D). Do not explain.",D|A#|C|C#,C#,A,D,False,,"{""midi"": 49, ""note_name"": ""C#3"", ""octave"": 3, ""pitch_class"": ""C#"", ""program"": ""synth_lead"", ""soundfont"": ""fluidr3""}"
pitch_note_id/pitch/050_flute_fluidr3_0::audio::mcq,pitch_note_id/pitch/050_flute_fluidr3_0,pitch_note_id,audio,mcq,0,stimuli/pitch/050_flute_fluidr3_0.wav,"Listen to this note. What is its pitch class (note name, ignoring octave)?
A. D#
B. C#
C. D
D. C
Answer with the letter of the correct option only (A, B, C, or D). Do not explain.",D#|C#|D|C,D,A,D#,True,,"{""midi"": 50, ""note_name"": ""D3"", ""octave"": 3, ""pitch_class"": ""D"", ""program"": ""flute"", ""soundfont"": ""fluidr3""}"
pitch_note_id/pitch/050_flute_fluidr3_0::audio::open,pitch_note_id/pitch/050_flute_fluidr3_0,pitch_note_id,audio,open,1,stimuli/pitch/050_flute_fluidr3_0.wav,"A single note is played. Which note is it (C, C#, D, ...)?
Give a short, direct answer.",,D,D3.,D3.,True,,"{""midi"": 50, ""note_name"": ""D3"", ""octave"": 3, ""pitch_class"": ""D"", ""program"": ""flute"", ""soundfont"": ""fluidr3""}"
pitch_note_id/pitch/050_flute_fluidr3_1::audio::mcq,pitch_note_id/pitch/050_flute_fluidr3_1,pitch_note_id,audio,mcq,2,stimuli/pitch/050_flute_fluidr3_1.wav,"Identify the musical note you hear, by letter name only.
A. D
B. D#
C. C#
D. E
Answer with the letter of the correct option only (A, B, C, or D). Do not explain.",D|D#|C#|E,D,A,D,True,,"{""midi"": 50, ""note_name"": ""D3"", ""octave"": 3, ""pitch_class"": ""D"", ""program"": ""flute"", ""soundfont"": ""fluidr3""}"
pitch_note_id/pitch/051_flute_timgm_0::audio::mcq,pitch_note_id/pitch/051_flute_timgm_0,pitch_note_id,audio,mcq,0,stimuli/pitch/051_flute_timgm_0.wav,"Listen to this note. What is its pitch class (note name, ignoring octave)?
A. B
B. E
C. D
D. D#
Answer with the letter of the correct option only (A, B, C, or D). Do not explain.",B|E|D|D#,D#,D,D#,True,,"{""midi"": 51, ""note_name"": ""D#3"", ""octave"": 3, ""pitch_class"": ""D#"", ""program"": ""flute"", ""soundfont"": ""timgm""}"
pitch_note_id/pitch/051_flute_timgm_0::audio::open,pitch_note_id/pitch/051_flute_timgm_0,pitch_note_id,audio,open,0,stimuli/pitch/051_flute_timgm_0.wav,"Listen to this note. What is its pitch class (note name, ignoring octave)?
Give a short, direct answer.",,D#,D♯,D♯,False,,"{""midi"": 51, ""note_name"": ""D#3"", ""octave"": 3, ""pitch_class"": ""D#"", ""program"": ""flute"", ""soundfont"": ""timgm""}"
pitch_note_id/pitch/051_piano_fluidr3_1::audio::mcq,pitch_note_id/pitch/051_piano_fluidr3_1,pitch_note_id,audio,mcq,1,stimuli/pitch/051_piano_fluidr3_1.wav,"A single note is played. Which note is it (C, C#, D, ...)?
A. E
B. D
C. D#
D. A#
Answer with the letter of the correct option only (A, B, C, or D). Do not explain.",E|D|D#|A#,D#,B,D,False,,"{""midi"": 51, ""note_name"": ""D#3"", ""octave"": 3, ""pitch_class"": ""D#"", ""program"": ""piano"", ""soundfont"": ""fluidr3""}"
pitch_note_id/pitch/051_piano_fluidr3_1::audio::explain,pitch_note_id/pitch/051_piano_fluidr3_1,pitch_note_id,audio,explain,1,stimuli/pitch/051_piano_fluidr3_1.wav,"A single note is played. Which note is it (C, C#, D, ...)?
First give your answer. Then explain exactly what you heard that supports it: name the specific notes/chords/beats and their approximate timestamps in seconds.",,D#,"The note played is E♭3.

The audio features a single note played on a piano. The note is E♭3, which is the third octave of the E♭ key. The note is played from approximately 0.10 to 3.00 seconds.",,,,"{""midi"": 51, ""note_name"": ""D#3"", ""octave"": 3, ""pitch_class"": ""D#"", ""program"": ""piano"", ""soundfont"": ""fluidr3""}"
pitch_note_id/pitch/052_violin_fluidr3_0::audio::mcq,pitch_note_id/pitch/052_violin_fluidr3_0,pitch_note_id,audio,mcq,2,stimuli/pitch/052_violin_fluidr3_0.wav,"Identify the musical note you hear, by letter name only.
A. D#
B. E
C. F#
D. F
Answer with the letter of the correct option only (A, B, C, or D). Do not explain.",D#|E|F#|F,E,B,E,True,,"{""midi"": 52, ""note_name"": ""E3"", ""octave"": 3, ""pitch_class"": ""E"", ""program"": ""violin"", ""soundfont"": ""fluidr3""}"
pitch_note_id/pitch/052_violin_musescore_1::audio::mcq,pitch_note_id/pitch/052_violin_musescore_1,pitch_note_id,audio,mcq,1,stimuli/pitch/052_violin_musescore_1.wav,"A single note is played. Which note is it (C, C#, D, ...)?
A. E
B. A
C. F
D. D#
Answer with the letter of the correct option only (A, B, C, or D). Do not explain.",E|A|F|D#,E,A,E,True,,"{""midi"": 52, ""note_name"": ""E3"", ""octave"": 3, ""pitch_class"": ""E"", ""program"": ""violin"", ""soundfont"": ""musescore""}"
